year,code,amount,name,topname,depname,depcat,cat,ref,comment
2015,3202010100,845835000,無細項,總統府主管,總統府,一般行政,國務支出,1.1.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費658,802千元，與上年度同。
2.基本行政工作維持費150,886千元，較上
年度減列房屋建築養護等經費1,792千元
。
3.資訊行政工作維持費30,970千元，較上年
度增列資訊服務等經費429千元。
4.警衛行政工作維持費5,177千元，較上年
度減列購置服裝等經費864千元。"
2015,3202010200,30000000,無細項,總統府主管,總統府,國務機要,國務支出,1.1.2,"本年度預算數30,000千元，係國家元首國內
外訪視、犒賞、獎助、慰問、接待、贈禮及
其他相關經費等，與上年度同。"
2015,3202010300,13919000,無細項,總統府主管,總統府,國家慶典,國務支出,1.1.3,"本年度預算數之內容與上年度之比較如下：
1.慶典佈置經費2,935千元，較上年度減列
佈置會場等經費220千元。
2.慶典接待經費10,984千元，較上年度減列
元旦升旗典禮等經費479千元。"
2015,3202010401,8710000,國家發展研究及諮詢,總統府主管,總統府,研究發展,國務支出,1.1.4.1,"本年度預算數之內容與上年度之比較如下：
1.國政規劃與諮詢經費6,139千元，較上年
度減列辦理第12屆考試委員暨第5屆監察
委員提名幕僚作業等經費1,618千元。
2.國政建言經費1,833千元，較上年度增列
辦理民眾陳情業務等經費43千元。
3.兩岸關係與區域發展經費738千元，與上
年度同。"
2015,3202010500,11473000,無細項,總統府主管,總統府,新聞發布,國務支出,1.1.5,"本年度預算數11,473千元，係辦理新聞聯繫
與發布所需經費，較上年度減列辦理相關新
聞活動等經費249千元。"
2015,3202010600,18740000,無細項,總統府主管,總統府,卸任禮遇,國務支出,1.1.6,"本年度預算數之內容與上年度之比較如下：
1.第9任卸任總統禮遇經費8,590千元，與上
年度同。
2.第11任卸任副總統禮遇經費5,075千元，
與上年度同。
3.第12任卸任副總統禮遇經費5,075千元，
較上年度減列處理事務等禮遇經費500千
元。"
2015,3202010800,24150000,無細項,總統府主管,總統府,公報編印及印信勳章鑄造,國務支出,1.1.7,"本年度預算數之內容與上年度之比較如下：
1.公報編印經費628千元，較上年度減列公
報印刷等經費70千元。
2.印信鑄造頒發經費17,529千元，較上年度
增列各機關印信製(換)發經費10,107千元
。
3.製作勳章及敬老事宜經費5,993千元，較
上年度減列辦理敬老事宜等經費784千元
。"
2015,3202019800,2073000,無細項,總統府主管,總統府,第一預備金,國務支出,1.1.8,仍照上年度預算數編列。
2015,3202100100,183883000,無細項,總統府主管,國家安全會議,一般行政,國務支出,1.2.1,"本年度預算數之內容與上年度之比較如下：
1.人員維持費153,029千元，與上年度同。
2.基本行政工作維持費30,854千元，較上年
度增列維護用電安全之低壓設備檢測及作
業系統軟體升級等經費582千元。"
2015,3202102000,20398000,無細項,總統府主管,國家安全會議,諮詢研究業務,國務支出,1.2.2,"本年度預算數20,398千元，係國家安全諮詢
研究業務經費，較上年度增列國防、外交與
兩岸相關議題之研究經費837千元。"
