年份,科目代碼,當年度金額,上年度金額,款,款名,項,項名,目,目名,節,節名,備註,ref
2016,00190000000,101149000,107973000,19,臺中市政府地政局主管,,,,,,,,19
2016,00193830000,101149000,107973000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,,,,,,19.4
2016,33193830100,89871000,91931000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,1,一般行政,,,,19.4.1
2016,33193830101,89871000,91931000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費75,842千元
　　業務費13,807千元
　　獎補助費222千元三、本年度預算數與上年度比較：
　　減少 2,060千元
　　減列 人事費1,855千元
　　減列 業務費235千元
　　增列 獎補助費30千元",19.4.1.1
2016,33193831300,11178000,13162000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,2,地政業務,,,,19.4.2
2016,33193831302,2668000,2866000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,2,地政業務,1,地價管理,"一、本科目包括地價管理二、本年度預算數包括:
　　人事費30千元
　　業務費2,638千元三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費155千元
　　減列 業務費43千元",19.4.2.1
2016,33193831307,4170000,5064000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,2,地政業務,2,測量管理,"一、本科目包括測量管理二、本年度預算數包括:
　　人事費485千元
　　業務費3,685千元三、本年度預算數與上年度比較：
　　減少 894千元
　　減列 業務費894千元",19.4.2.2
2016,33193831309,4340000,5232000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,2,地政業務,3,登記管理,"一、本科目包括登記管理二、本年度預算數包括:
　　人事費49千元
　　業務費4,291千元三、本年度預算數與上年度比較：
　　減少 892千元
　　減列 人事費4千元
　　減列 業務費888千元",19.4.2.3
2016,33193839000,100000,2880000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,3,一般建築及設備,,,,19.4.3
2016,33193839001,100000,2880000,19,臺中市政府地政局主管,4,臺中市中山地政事務所,3,一般建築及設備,1,一般建築及設備,"一、本科目包括一般建築及設備二、本年度預算數包括:
　　設備及投資100千元三、本年度預算數與上年度比較：
　　減少 2,780千元
　　減列 設備及投資2,780千元",19.4.3.1
2016,00190000000,104996000,105673000,19,臺中市政府地政局主管,,,,,,,,19
2016,00193820000,104996000,105673000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,,,,,,19.3
2016,33193820100,87782000,87880000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,1,一般行政,,,,19.3.1
2016,33193820101,87782000,87880000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,1,一般行政,1,行政管理,"一、本科目包括行政管理二、本年度預算數包括:
　　人事費75,284千元
　　業務費12,306千元
　　獎補助費192千元三、本年度預算數與上年度比較：
　　減少 98千元
　　減列 業務費122千元
　　增列 獎補助費24千元",19.3.1.1
2016,33193821300,16663000,17000000,19,臺中市政府地政局主管,3,臺中市中正地政事務所,2,地政業務,,,,19.3.2
