款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,本年度與上年度比較,說明
1,  ,  ,  ,0002000000,總統府主管,"17,003,582 ","16,537,487 ","466,095 ",  
1,1,  ,  ,0002010000,總統府,"954,900 ","950,897 ","4,003 ",  
1,1,  ,999,3202010000,國務支出,"954,900 ","950,897 ","4,003 ",  
1,1,1,  ,3202010100,一般行政,"845,835 ","848,062 ","-2,227 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費658,802千元，與上年度同。
2.基本行政工作維持費150,886千元，較上
年度減列房屋建築養護等經費1,792千元
。
3.資訊行政工作維持費30,970千元，較上年
度增列資訊服務等經費429千元。
4.警衛行政工作維持費5,177千元，較上年
度減列購置服裝等經費864千元。"
1,1,2,  ,3202010200,國務機要,"30,000 ","30,000 ",-,"本年度預算數30,000千元，係國家元首國內
外訪視、犒賞、獎助、慰問、接待、贈禮及
其他相關經費等，與上年度同。"
1,1,3,  ,3202010300,國家慶典,"13,919 ","14,618 ",-699 ,"本年度預算數之內容與上年度之比較如下：
1.慶典佈置經費2,935千元，較上年度減列
佈置會場等經費220千元。
2.慶典接待經費10,984千元，較上年度減列
元旦升旗典禮等經費479千元。"
1,1,4,  ,3202010400,研究發展,"8,710 ","10,285 ","-1,575 ",  
1,1,4,1,3202010401,國家發展研究及諮詢,"8,710 ","10,285 ","-1,575 ","本年度預算數之內容與上年度之比較如下：
1.國政規劃與諮詢經費6,139千元，較上年
度減列辦理第12屆考試委員暨第5屆監察
委員提名幕僚作業等經費1,618千元。
2.國政建言經費1,833千元，較上年度增列
辦理民眾陳情業務等經費43千元。
3.兩岸關係與區域發展經費738千元，與上
年度同。"
1,1,5,  ,3202010500,新聞發布,"11,473 ","11,722 ",-249 ,"本年度預算數11,473千元，係辦理新聞聯繫
與發布所需經費，較上年度減列辦理相關新
聞活動等經費249千元。"
1,1,6,  ,3202010600,卸任禮遇,"18,740 ","19,240 ",-500 ,"本年度預算數之內容與上年度之比較如下：
1.第9任卸任總統禮遇經費8,590千元，與上
年度同。
2.第11任卸任副總統禮遇經費5,075千元，
與上年度同。
3.第12任卸任副總統禮遇經費5,075千元，
較上年度減列處理事務等禮遇經費500千
元。"
1,1,7,  ,3202010800,公報編印及印信勳章鑄造,"24,150 ","14,897 ","9,253 ","本年度預算數之內容與上年度之比較如下：
1.公報編印經費628千元，較上年度減列公
報印刷等經費70千元。
2.印信鑄造頒發經費17,529千元，較上年度
增列各機關印信製(換)發經費10,107千元
。
3.製作勳章及敬老事宜經費5,993千元，較
上年度減列辦理敬老事宜等經費784千元
。"
1,1,8,  ,3202019800,第一預備金,"2,073 ","2,073 ",-,仍照上年度預算數編列。
1,2,  ,  ,0002100000,國家安全會議,"204,781 ","205,405 ",-624 ,  
1,2,  ,999,3202100000,國務支出,"204,781 ","205,405 ",-624 ,  
