,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","101,149","107,973","98,888","-6,824",
,004,,,"　00193830000
　臺中市中山地政事
　務所","101,149","107,973","98,888","-6,824",
,,01,,"　　33193830100
　　一般行政","89,871","91,931","84,957","-2,060",
,,,01,"　　　33193830101
　　　行政管理","89,871","91,931","84,957","-2,060","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費75,842千元
　　業務費13,807千元
　　獎補助費222千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,060千元
　　減列 人事費1,855千元
　　減列 業務費235千元
　　增列 獎補助費30千元
　"
,,02,,"　　33193831300
　　地政業務","11,178","13,162","8,889","-1,984",
,,,01,"　　　33193831302
　　　地價管理","2,668","2,866","2,230",-198,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費2,638千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費155千元
　　減列 業務費43千元
　"
,,,02,"　　　33193831307
　　　測量管理","4,170","5,064","3,124",-894,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費485千元
　　業務費3,685千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 894千元
　　減列 業務費894千元
　"
,,,03,"　　　33193831309
　　　登記管理","4,340","5,232","3,535",-892,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費49千元
　　業務費4,291千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 892千元
　　減列 人事費4千元
　　減列 業務費888千元
　"
,,03,,"　　33193839000
　　一般建築及設備",100,"2,880","5,042","-2,780",
,,,01,"　　　33193839001
　　　一般建築及設
　　　備",100,"2,880","5,042","-2,780","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,780千元
　　減列 設備及投資2,780千元
　"
