,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","104,996","105,673","105,250",-677,
,003,,,"　00193820000
　臺中市中正地政事
　務所","104,996","105,673","105,250",-677,
,,01,,"　　33193820100
　　一般行政","87,782","87,880","81,901",-98,
,,,01,"　　　33193820101
　　　行政管理","87,782","87,880","81,901",-98,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費75,284千元
　　業務費12,306千元
　　獎補助費192千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 98千元
　　減列 業務費122千元
　　增列 獎補助費24千元
　"
,,02,,"　　33193821300
　　地政業務","16,663","17,000","15,384",-337,
,,,01,"　　　33193821302
　　　地價管理","2,349","2,547","1,978",-198,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費23千元
　　業務費2,326千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費85千元
　　減列 業務費113千元
　"
,,,02,"　　　33193821307
　　　測量管理","7,367","6,575","7,591",792,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費798千元
　　業務費6,569千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 792千元
　　增列 人事費40千元
　　增列 業務費752千元
　"
,,,03,"　　　33193821309
　　　登記管理","6,947","7,878","5,815",-931,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44千元
　　業務費6,903千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 931千元
　　減列 人事費4千元
　　減列 業務費927千元
　"
,,03,,"　　33193829000
　　一般建築及設備",551,793,"7,965",-242,
,,,01,"　　　33193829001
　　　一般建築及設
　　　備",551,793,"7,965",-242,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資551千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 242千元
　　減列 設備及投資242千元
　"
