,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","111,390","109,090","100,402","2,300",
,002,,,"　00193810000
　臺中市中興地政事
　務所","111,390","109,090","100,402","2,300",
,,01,,"　　33193810100
　　一般行政","89,652","92,311","82,933","-2,659",
,,,01,"　　　33193810101
　　　行政管理","89,652","92,311","82,933","-2,659","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費73,171千元
　　業務費16,361千元
　　獎補助費120千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,659千元
　　減列 人事費2,409千元
　　減列 業務費250千元
　"
,,02,,"　　33193811300
　　地政業務","16,445","14,804","13,617","1,641",
,,,01,"　　　33193811302
　　　地價管理","2,918","3,116","2,453",-198,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56千元
　　業務費2,862千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 198千元
　　減列 人事費40千元
　　減列 業務費158千元
　"
,,,02,"　　　33193811307
　　　測量管理","7,539","6,265","6,347","1,274","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費526千元
　　業務費7,013千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,274千元
　　增列 人事費60千元
　　增列 業務費1,214千元
　"
,,,03,"　　　33193811309
　　　登記管理","5,988","5,423","4,817",565,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費211千元
　　業務費5,777千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 565千元
　　減列 人事費4千元
　　增列 業務費569千元
　"
,,03,,"　　33193819000
　　一般建築及設備","5,293","1,975","3,852","3,318",
,,,01,"　　　33193819001
　　　一般建築及設
　　　備","5,293","1,975","3,852","3,318","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資5,293千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,318千元
　　增列 設備及投資3,318千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
