,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
08,,,,"00080000000
臺中市政府交通局主管","663,721","522,859","415,326","140,862",
,001,,,"　00081900000
　臺中市政府交通局","663,721","522,859","415,326","140,862",
,,01,,"　　60081900100
　　一般行政","101,826","102,368","87,086",-542,
,,,01,"　　　60081900101
　　　行政管理","101,826","102,368","87,086",-542,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費88,987千元
　　業務費12,773千元
　　獎補助費66千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 542千元
　　減列 人事費1,307千元
　　增列 業務費759千元
　　增列 獎補助費6千元
　"
,,02,,"　　60081900200
　　交通管理業務","323,815","262,871","129,059","60,944",
,,,01,"　　　60081900201
　　　交通規劃","30,584","34,327","28,263","-3,743","一、本科目包括交通規劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費30,584千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,743千元
　　減列 業務費3,743千元
　"
,,,02,"　　　60081900202
　　　交通工程","125,502","61,519","58,891","63,983","一、本科目包括交通工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費75,502千元
　　獎補助費50,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 63,983千元
　　增列 業務費43,983千元
　　增列 獎補助費20,000千元
　"
,,,03,"　　　60081900203
　　　交通行政","2,797","3,903","26,563","-1,106","一、本科目包括交通行政
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,797千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,106千元
　　減列 業務費1,106千元
　"
,,,04,"　　　60081900205
　　　運輸管理","164,932","163,122","15,342","1,810","一、本科目包括運輸管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費6,702千元
　　獎補助費158,230千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,810千元
　　增列 業務費2,810千元
　　減列 獎補助費1,000千元
　"
,,03,,"　　60081907900
　　第一預備金","1,000","1,000",-,-,
,,,01,"　　　60081907901
　　　第一預備金","1,000","1,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金1,000千元
　"
,,04,,"　　60081909000
　　一般建築及設備","237,080","156,620","199,181","80,460",
,,,01,"　　　60081909001
　　　一般建築及設
　　　備","237,080","156,620","199,181","80,460","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資237,080千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 80,460千元
　　增列 設備及投資81,210千元
　　減列 獎補助費750千元
　"
