,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
08,,,,"00080000000
臺中市政府交通局主管","2,620,269","2,480,655","2,910,121","139,614",
,002,,,"　00081910000
　臺中市公共運輸處","2,620,269","2,480,655","2,910,121","139,614",
,,01,,"　　60081910100
　　一般行政","23,147","22,813","19,335",334,
,,,01,"　　　60081910101
　　　行政管理","23,147","22,813","19,335",334,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20,930千元
　　業務費2,211千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 334千元
　　增列 業務費328千元
　　增列 獎補助費6千元
　"
,,02,,"　　60081910700
　　公共運輸業務","2,487,761","2,321,324","2,388,479","166,437",
,,,01,"　　　60081910701
　　　綜合規劃","34,585","9,000","2,385,325","25,585","一、本科目包括綜合規劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費34,585千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 25,585千元
　　增列 業務費25,585千元
　"
,,,02,"　　　60081910702
　　　營運與管理","2,422,943","2,292,710","3,154","130,233","一、本科目包括營運與管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,498千元
　　獎補助費2,421,445千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 130,233千元
　　減列 業務費1,802千元
　　增列 獎補助費132,035千元
　"
,,,03,"　　　60081910703
　　　運輸稽查","30,233","19,614",-,"10,619","一、本科目包括運輸稽查
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費30,233千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,619千元
　　增列 業務費10,619千元
　"
,,03,,"　　60081919000
　　一般建築及設備","109,361","136,518","502,307","-27,157",
,,,01,"　　　60081919001
　　　一般建築及設
　　　備","109,361","136,518","502,307","-27,157","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資24,660千元
　　獎補助費84,701千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 27,157千元
　　減列 設備及投資1,626千元
　　減列 獎補助費25,531千元
　"
