,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
13,,,,"00130000000
臺中市政府勞工局主管","459,506","436,107","323,782","23,399",
,001,,,"　00132600000
　臺中市政府勞工局","358,917","345,157","258,894","13,760",
,,01,,"　　66132600300
　　勞工保險","13,247","13,247","21,395",-,
,,,01,"　　　66132600301
　　　勞工保險","13,247","13,247","21,395",-,"一、本科目包括勞工保險
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費13,247千元
　"
,,02,,"　　68132600100
　　一般行政","94,887","101,775","78,851","-6,888",
,,,01,"　　　68132600101
　　　行政管理","94,887","101,775","78,851","-6,888","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費85,700千元
　　業務費9,115千元
　　獎補助費72千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,888千元
　　減列 人事費5,796千元
　　減列 業務費1,092千元
　"
,,03,,"　　68132600900
　　勞政業務","247,743","218,855","154,783","28,888",
,,,01,"　　　68132600901
　　　勞資關係","28,619","23,619","21,836","5,000","一、本科目包括勞資關係
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費6,573千元
　　獎補助費22,006千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,000千元
　　增列 獎補助費5,000千元
　"
,,,02,"　　　68132600902
　　　勞動基準","54,718","30,045","28,299","24,673","一、本科目包括勞動基準
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,849千元
　　業務費11,699千元
　　獎補助費29,170千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 24,673千元
　　增列 人事費13,824千元
　　增列 業務費2,849千元
　　增列 獎補助費8,000千元
　"
,,,03,"　　　68132600903
　　　綜合規劃","18,578","17,528","13,718","1,050","一、本科目包括綜合規劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費14千元
　　業務費17,214千元
　　獎補助費1,350千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,050千元
　　增列 業務費1,050千元
　"
,,,04,"　　　68132600904
　　　勞工福利","76,068","82,952","71,732","-6,884","一、本科目包括勞工福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費15千元
　　業務費17,664千元
　　獎補助費58,389千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,884千元
　　減列 業務費423千元
　　減列 獎補助費6,461千元
　"
,,,05,"　　　68132600905
　　　外勞管理","2,273","2,273","1,712",-,"一、本科目包括外勞管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費18千元
　　業務費2,255千元
　"
,,,06,"　　　68132600906
　　　就業安全","67,487","62,438","17,486","5,049","一、本科目包括就業安全
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費19,699千元
　　獎補助費47,768千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,049千元
　　減列 業務費2,721千元
　　增列 獎補助費7,770千元
　"
,,04,,"　　68132607900
　　第一預備金",500,500,-,-,
,,,01,"　　　68132607901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,05,,"　　68132609000
　　一般建築及設備","2,540","10,780","3,865","-8,240",
,,,01,"　　　68132609001
　　　一般建築及設
　　　備","2,540","10,780","3,865","-8,240","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,540千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 8,240千元
　　減列 設備及投資8,240千元
　"
,002,,,"　00132610000
　臺中市勞動檢查處","46,023","46,392","30,758",-369,
,,01,,"　　68132610100
　　一般行政","40,351","41,009","24,200",-658,
,,,01,"　　　68132610101
　　　行政管理","40,351","41,009","24,200",-658,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費37,562千元
　　業務費2,783千元
　　獎補助費6千元
　"
