,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","375,359","330,707","396,741","44,652",
,001,,,"　00193800000
　臺中市政府地政局","375,359","330,707","396,741","44,652",
,,01,,"　　33193800100
　　一般行政","157,615","162,959","145,409","-5,344",
,,,01,"　　　33193800101
　　　行政管理","157,615","162,959","145,409","-5,344","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費143,246千元
　　業務費14,087千元
　　獎補助費282千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,344千元
　　增列 人事費677千元
　　減列 業務費6,021千元
　"
,,02,,"　　33193801300
　　地政業務","75,994","88,508","76,111","-12,514",
,,,01,"　　　33193801301
　　　地籍管理","63,371","69,845","66,390","-6,474","一、本科目包括地籍管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費505千元
　　業務費2,615千元
　　獎補助費60,251千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,474千元
　　減列 人事費2,321千元
　　減列 業務費3,453千元
　　減列 獎補助費700千元
　"
,,,02,"　　　33193801302
　　　地價管理","2,091","2,151","1,378",-60,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費91千元
　　業務費2,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 60千元
　　減列 人事費120千元
　　增列 業務費60千元
　"
,,,,,,,,,
,,,03,"　　　33193801303
　　　地權管理","1,136",686,735,450,"一、本科目包括地權管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費84千元
　　業務費1,052千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 450千元
　　增列 業務費450千元
　"
,,,04,"　　　33193801304
　　　地用管理",643,443,390,200,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費643千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 200千元
　　增列 業務費200千元
　"
,,,05,"　　　33193801305
　　　重劃管理","1,546",746,"1,282",800,"一、本科目包括重劃管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費4千元
　　業務費1,542千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 800千元
　　增列 業務費800千元
　"
,,,06,"　　　33193801306
　　　區段徵收管理",477,"8,477",360,"-8,000","一、本科目包括區段徵收管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費4千元
　　業務費473千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 8,000千元
　　減列 業務費8,000千元
　"
,,,07,"　　　33193801307
　　　測量管理","5,615","5,445","4,935",170,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費846千元
　　業務費4,769千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 170千元
　　減列 人事費32千元
　　增列 業務費202千元
　"
,,,08,"　　　33193801308
　　　土地編定管理","1,115",715,641,400,"一、本科目包括土地編定管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費1,065千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 400千元
　　增列 業務費400千元
　"
,,03,,"　　33193807900
　　第一預備金","1,000","1,000",-,-,
,,,01,"　　　33193807901
　　　第一預備金","1,000","1,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金1,000千元
　"
,,04,,"　　33193809000
　　一般建築及設備","140,750","78,240","175,221","62,510",
,,,01,"　　　33193809001
　　　一般建築及設
　　　備","140,750","78,240","175,221","62,510","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資140,750千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 62,510千元
　　增列 設備及投資63,150千元
　　減列 獎補助費640千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
