,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
22,,,,"00220000000
臺中市政府地方稅務局主管","1,101,658","901,570","836,375","200,088",
,001,,,"　00224200000
　臺中市政府地方稅
　務局","1,101,658","901,570","836,375","200,088",
,,01,,"　　34224200100
　　一般行政","564,020","565,963","540,743","-1,943",
,,,01,"　　　34224200101
　　　行政管理","564,020","565,963","540,743","-1,943","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費496,000千元
　　業務費65,686千元
　　獎補助費2,334千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,943千元
　　增列 人事費1,324千元
　　減列 業務費3,267千元
　"
,,02,,"　　34224200300
　　稅捐稽徵業務","300,284","305,359","261,815","-5,075",
,,,01,"　　　34224200301
　　　財產稅稽徵業
　　　務","118,124","118,648","101,294",-524,"一、本科目包括財產稅稽徵業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費14,062千元
　　業務費104,062千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 524千元
　　增列 人事費468千元
　　減列 業務費992千元
　"
,,,02,"　　　34224200302
　　　消費稅稽徵業
　　　務","98,922","96,767","93,356","2,155","一、本科目包括消費稅稽徵業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費97,739千元
　　獎補助費1,183千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,155千元
　　增列 業務費2,155千元
　"
,,,03,"　　　34224200303
　　　稅務行政管理","17,676","17,676","15,325",-,"一、本科目包括稅務行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費17,676千元
　"
　,　,　,　,　,　,　,　,　,　
,,,04,"　　　34224200304
　　　處理違章案件
　　　與行政救濟案
　　　件","1,441",791,645,650,"一、本科目包括處理違章案件與行政救濟案件
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費441千元
　　獎補助費1,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 650千元
　　減列 業務費100千元
　　增列 獎補助費750千元
　"
,,,05,"　　　34224200305
　　　企劃服務","4,848","5,248","4,796",-400,"一、本科目包括企劃服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費4,848千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 400千元
　　減列 業務費400千元
　"
,,,06,"　　　34224200306
　　　稅務資料電子
　　　處理","59,273","66,229","46,399","-6,956","一、本科目包括稅務資料電子處理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費31,628千元
　　業務費21,355千元
　　設備及投資6,290千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,956千元
　　增列 人事費40千元
　　增列 業務費68千元
　　減列 設備及投資7,064千元
　"
,,03,,"　　34224207900
　　第一預備金","2,500","2,500",-,-,
,,,01,"　　　34224207901
　　　第一預備金","2,500","2,500",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金2,500千元
　"
,,04,,"　　34224209000
　　一般建築及設備","234,854","27,748","33,817","207,106",
,,,01,"　　　34224209001
　　　一般建築及設
　　　備","234,854","27,748","33,817","207,106","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資234,854千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 207,106千元
　　增列 設備及投資207,106千元
　"
