,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","61,162","61,187","54,799",-25,
,007,,,"　00193860000
　臺中市大甲地政事
　務所","61,162","61,187","54,799",-25,
,,01,,"　　33193860100
　　一般行政","53,676","54,158","49,416",-482,
,,,01,"　　　33193860101
　　　行政管理","53,676","54,158","49,416",-482,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費46,235千元
　　業務費7,339千元
　　獎補助費102千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 482千元
　　減列 人事費519千元
　　增列 業務費31千元
　　增列 獎補助費6千元
　"
,,02,,"　　33193861300
　　地政業務","6,740","6,857","4,747",-117,
,,,01,"　　　33193861302
　　　地價管理",589,643,480,-54,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費34千元
　　業務費555千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 54千元
　　減列 人事費99千元
　　增列 業務費45千元
　"
,,,02,"　　　33193861307
　　　測量管理","5,466","5,760","3,860",-294,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,261千元
　　業務費4,205千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 294千元
　　增列 人事費48千元
　　減列 業務費342千元
　"
,,,03,"　　　33193861309
　　　登記管理",685,454,407,231,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費115千元
　　業務費570千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 231千元
　　減列 人事費4千元
　　增列 業務費235千元
　"
,,03,,"　　33193869000
　　一般建築及設備",746,172,636,574,
,,,01,"　　　33193869001
　　　一般建築及設
　　　備",746,172,636,574,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資746千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 574千元
　　增列 設備及投資574千元
　"
