,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","94,634","101,800","83,841","-7,166",
,010,,,"　00193890000
　臺中市大里地政事
　務所","94,634","101,800","83,841","-7,166",
,,01,,"　　33193890100
　　一般行政","84,977","85,009","77,283",-32,
,,,01,"　　　33193890101
　　　行政管理","84,977","85,009","77,283",-32,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費69,719千元
　　業務費15,126千元
　　獎補助費132千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 32千元
　　減列 人事費471千元
　　增列 業務費439千元
　"
,,02,,"　　33193891300
　　地政業務","9,052","9,577","5,707",-525,
,,,01,"　　　33193891302
　　　地價管理",367,506,215,-139,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費347千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 139千元
　　減列 人事費60千元
　　減列 業務費79千元
　"
,,,02,"　　　33193891304
　　　地用管理",172,172,153,-,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費10千元
　　業務費162千元
　"
,,,03,"　　　33193891307
　　　測量管理","6,669","7,164","4,453",-495,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,897千元
　　業務費4,772千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 495千元
　　減列 人事費48千元
　　減列 業務費447千元
　"
　,　,　,　,　,　,　,　,　,　
,,,04,"　　　33193891309
　　　登記管理","1,844","1,735",886,109,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費109千元
　　業務費1,735千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 109千元
　　減列 人事費4千元
　　增列 業務費113千元
　"
,,03,,"　　33193899000
　　一般建築及設備",605,"7,214",851,"-6,609",
,,,01,"　　　33193899001
　　　一般建築及設
　　　備",605,"7,214",851,"-6,609","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資605千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,609千元
　　減列 設備及投資6,609千元
　"
