,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","59,913","62,235","59,039","-2,322",
,011,,,"　00193900000
　臺中市太平地政事
　務所","59,913","62,235","59,039","-2,322",
,,01,,"　　33193900100
　　一般行政","55,490","54,713","52,380",777,
,,,01,"　　　33193900101
　　　行政管理","55,490","54,713","52,380",777,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費45,728千元
　　業務費9,672千元
　　獎補助費90千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 777千元
　　增列 人事費901千元
　　減列 業務費136千元
　　增列 獎補助費12千元
　"
,,02,,"　　33193901300
　　地政業務","3,348","4,414","2,939","-1,066",
,,,01,"　　　33193901302
　　　地價管理",216,257,139,-41,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費0千元
　　業務費216千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 41千元
　　減列 人事費30千元
　　減列 業務費11千元
　"
,,,02,"　　　33193901304
　　　地用管理",56,56,50,-,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費56千元
　"
,,,03,"　　　33193901307
　　　測量管理","1,755","3,105","2,296","-1,350","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費336千元
　　業務費1,419千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,350千元
　　減列 業務費1,350千元
　"
,,,04,"　　　33193901309
　　　登記管理","1,321",996,454,325,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費9千元
　　業務費1,312千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 325千元
　　減列 人事費4千元
　　增列 業務費329千元
　"
,,03,,"　　33193909000
　　一般建築及設備","1,075","3,108","3,720","-2,033",
,,,01,"　　　33193909001
　　　一般建築及設
　　　備","1,075","3,108","3,720","-2,033","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,075千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,033千元
　　減列 設備及投資2,033千元
　"
