,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
02,,,,"00020000000
臺中市政府主管","7,091,393","6,855,089","6,203,714","236,304",
,001,,,"　00020020000
　臺中市政府","73,521","75,783","58,213","-2,262",
,,01,,"　　32020020600
　　市政綜理業務","73,226","75,488","57,920","-2,262",
,,,01,"　　　32020020601
　　　市政綜理","73,226","75,488","57,920","-2,262","一、本科目包括市政綜理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費65,432千元
　　業務費7,794千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,262千元
　　減列 人事費2,262千元
　"
,,02,,"　　32020029000
　　一般建築及設備",295,295,293,-,
,,,01,"　　　32020029001
　　　一般建築及設
　　　備",295,295,293,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資295千元
　"
,002,,,"　00020030000
　臺中市政府秘書處","623,060","474,768","387,282","148,292",
,,01,,"　　32020030100
　　一般行政","216,562","223,212","176,374","-6,650",
,,,01,"　　　32020030101
　　　行政管理","216,562","223,212","176,374","-6,650","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費159,254千元
　　業務費56,138千元
　　獎補助費1,170千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,650千元
　　減列 人事費5,660千元
　　減列 業務費990千元
　"
,,02,,"　　32020030200
　　機要業務","10,120","10,120","9,311",-,
,,,01,"　　　32020030201
　　　處理機要","10,120","10,120","9,311",-,"一、本科目包括處理機要
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費240千元
　　業務費9,880千元
　"
,,03,,"　　32020030300
　　文書業務","4,187","5,877","3,392","-1,690",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　32020030301
　　　文書管理","1,843","2,313","1,776",-470,"一、本科目包括文書管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費1,793千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 470千元
　　減列 業務費470千元
　"
,,,02,"　　　32020030302
　　　檔案管理","2,344","3,564","1,616","-1,220","一、本科目包括檔案管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費66千元
　　業務費2,278千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,220千元
　　減列 業務費1,220千元
　"
,,04,,"　　32020030400
　　公共關係業務","27,345","30,345","21,298","-3,000",
,,,01,"　　　32020030401
　　　公共關係","13,974","16,974","12,577","-3,000","一、本科目包括公共關係
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費280千元
　　業務費13,694千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,000千元
　　減列 業務費3,000千元
　"
,,,02,"　　　32020030402
　　　國際事務","13,371","13,371","8,721",-,"一、本科目包括國際事務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費150千元
　　業務費13,221千元
　"
,,05,,"　　32020030500
　　業務管理","170,820","172,834","144,995","-2,014",
,,,01,"　　　32020030501
　　　辦公大樓公管
　　　業務","143,536","144,619","123,038","-1,083","一、本科目包括辦公大樓公管業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費660千元
　　業務費142,876千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,083千元
　　減列 業務費1,083千元
　"
,,,02,"　　　32020030502
　　　庶務管理","13,374","12,797","11,618",577,"一、本科目包括庶務管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費180千元
　　業務費13,194千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 577千元
　　增列 業務費577千元
　"
,,,03,"　　　32020030503
　　　採購管理","5,660","5,709","3,013",-49,"一、本科目包括採購管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費60千元
　　業務費5,600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 49千元
　　減列 人事費50千元
　　增列 業務費1千元
　"
,,,04,"　　　32020030504
　　　車輛管理","8,250","9,709","7,326","-1,459","一、本科目包括車輛管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費8,250千元
　"
