,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
07,,,,"00070000000
臺中市政府建設局主管","12,283,361","7,325,539","9,407,548","4,957,822",
,001,,,"　00071800000
　臺中市政府建設局","12,283,361","7,325,539","9,407,548","4,957,822",
,,01,,"　　59071800100
　　一般行政","260,088","255,941","203,111","4,147",
,,,01,"　　　59071800101
　　　行政管理","260,088","255,941","203,111","4,147","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費220,585千元
　　業務費38,975千元
　　獎補助費528千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,147千元
　　增列 人事費2千元
　　增列 業務費4,121千元
　　增列 獎補助費24千元
　"
,,02,,"　　59071800200
　　公共建築業務","2,740","2,490","10,850",250,
,,,01,"　　　59071800201
　　　公共建築企劃
　　　興建","2,740","2,490","10,850",250,"一、本科目包括公共建築企劃興建
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費400千元
　　業務費2,340千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 250千元
　　增列 業務費250千元
　"
,,03,,"　　59071809000
　　一般建築及設備",450,450,"1,924",-,
,,,01,"　　　59071809001
　　　一般建築及設
　　　備",450,450,"1,924",-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資450千元
　"
,,04,,"　　60071800300
　　交通管理業務","113,664","98,424","90,654","15,240",
,,,01,"　　　60071800301
　　　道路養護","63,750","47,750","42,778","16,000","一、本科目包括道路養護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費63,550千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 16,000千元
　　增列 業務費16,000千元
　"
,,,02,"　　　60071800302
　　　車輛及機械管
　　　理維護","49,914","50,674","47,876",-760,"一、本科目包括車輛及機械管理維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費49,914千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 760千元
　　減列 業務費760千元
　"
,,05,,"　　60071800400
　　道路橋樑工程","10,115,193","5,386,066","7,196,749","4,729,127",
,,,01,"　　　60071800401
　　　道路橋樑工程
　　　養護","2,265,502","1,203,500","1,751,125","1,062,002","一、本科目包括道路橋樑工程養護
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,265,502千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,062,002千元
　　增列 設備及投資1,067,002千元
　　減列 獎補助費5,000千元
　"
,,,02,"　　　60071800402
　　　土木工程業務","7,435","5,142","11,667","2,293","一、本科目包括土木工程業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費400千元
　　業務費7,035千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,293千元
　　增列 業務費2,293千元
　"
,,,03,"　　　60071800403
　　　道路工程","7,842,256","4,177,424","5,321,752","3,664,832","一、本科目包括道路工程
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資7,842,256千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,664,832千元
　　增列 設備及投資3,664,832千元
　"
,,,04,"　　　60071800404
　　　橋樑工程",-,-,"112,205",-,本計畫僅有前年度決算數　
,,06,,"　　60071800500
　　路燈管理","557,490","521,477","521,937","36,013",
,,,01,"　　　60071800501
　　　路燈養護及增
　　　設","557,490","521,477","521,937","36,013","一、本科目包括路燈養護及增設
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費300千元
　　業務費411,190千元
　　設備及投資146,000千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 36,013千元
　　增列 業務費19,013千元
　　增列 設備及投資21,500千元
　　減列 獎補助費4,500千元
　"
,,07,,"　　60071800600
　　管線業務","127,782","124,751","68,993","3,031",
,,,01,"　　　60071800601
　　　管線管理與維
　　　護","127,782","124,751","68,993","3,031","一、本科目包括管線管理與維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費400千元
　　業務費69,228千元
　　設備及投資38,954千元
　　獎補助費19,200千元
　"
