,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
05,,,,"00050000000
臺中市政府教育局主管","41,855,836","39,655,023","38,407,123","2,200,813",
,001,,,"　00051600000
　臺中市政府教育局","40,895,817","39,187,881","37,585,915","1,707,936",
,,01,,"　　51051600300
　　教育資源管理","31,174,711","29,682,892","28,818,617","1,491,819",
,,,01,"　　　51051600301
　　　各項教育業務","29,710,426","28,725,030","27,720,718","985,396","一、本科目包括各項教育業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費29,710,426千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 985,396千元
　　增列 獎補助費985,396千元
　"
,,,02,"　　　51051600302
　　　各項教育建設
　　　工程及設備","1,464,285","957,862","1,097,899","506,423","一、本科目包括各項教育建設工程及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費1,464,285千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 506,423千元
　　增列 獎補助費506,423千元
　"
,,02,,"　　51051600500
　　接受補助業務支
　　出","2,254,444","2,074,948","2,014,996","179,496",
,,,01,"　　　51051600501
　　　接受中央各部
　　　會補助業務支
　　　出","2,254,444","2,074,948","2,014,996","179,496","一、本科目包括接受中央各部會補助業務支出
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費2,254,444千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 179,496千元
　　增列 獎補助費179,496千元
　"
,,03,,"　　51051600600
　　接受補助建設支
　　出","107,371","150,030","74,558","-42,659",
,,,01,"　　　51051600601
　　　接受中央各部
　　　會補助建設支
　　　出","107,371","150,030","74,558","-42,659","一、本科目包括接受中央各部會補助建設支出
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費107,371千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 42,659千元
　　減列 獎補助費42,659千元
　"
,,04,,"　　51051600700
　　教育人員退休給
　　付","6,896,691",-,-,"6,896,691",
,,,01,"　　　51051600701
　　　教育人員退休
　　　給付","6,896,691",-,-,"6,896,691","一、本科目包括教育人員退休給付
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費6,896,691千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,896,691千元
　　增列 獎補助費6,896,691千元
　"
,,05,,"　　51051600800
　　提撥勞工退休金
　　準備(教育)","7,600",-,-,"7,600",
,,,01,"　　　51051600801
　　　提撥勞工退休
　　　金準備(教育
　　　)","7,600",-,-,"7,600","一、本科目包括提撥勞工退休金準備(教育)
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費7,600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7,600千元
　　增列 獎補助費7,600千元
　"
,,06,,"　　51051600900
　　教育人員撫卹給
　　付","30,000",-,-,"30,000",
,,,01,"　　　51051600901
　　　教育人員撫卹
　　　給付","30,000",-,-,"30,000","一、本科目包括教育人員撫卹給付
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費30,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 30,000千元
　　增列 獎補助費30,000千元
　"
,,07,,"　　51051601000
　　教育人員因公致
　　殘死亡慰問金","2,000",-,-,"2,000",
,,,01,"　　　51051601001
　　　教育人員因公
　　　致殘死亡慰問
　　　金","2,000",-,-,"2,000","一、本科目包括教育人員因公致殘死亡慰問金
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費2,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,000千元
　　增列 獎補助費2,000千元
　"
,,08,,"　　51051601100
　　教育人員各項補
　　助","410,000",-,-,"410,000",
,,,01,"　　　51051601101
　　　教育人員各項
　　　補助","410,000",-,-,"410,000","一、本科目包括教育人員各項補助
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費410,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 410,000千元
　　增列 獎補助費410,000千元
　"
,,09,,"　　51051607900
　　第一預備金","13,000","13,000",-,-,
,,,01,"　　　51051607901
　　　第一預備金","13,000","13,000",-,-,"一、本科目包括第一預備金
　"
