,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
18,,,,"00180000000
臺中市政府文化局主管","1,484,750","1,084,962","1,249,223","399,788",
,001,,,"　00183600000
　臺中市政府文化局","1,259,607","927,978","1,022,939","331,629",
,,01,,"　　53183600100
　　一般行政","306,989","303,006","270,344","3,983",
,,,01,"　　　53183600101
　　　行政管理","306,989","303,006","270,344","3,983","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費259,480千元
　　業務費47,329千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,983千元
　　增列 人事費1,849千元
　　增列 業務費2,134千元
　"
,,02,,"　　53183600600
　　文教活動","690,523","477,176","454,493","213,347",
,,,01,"　　　53183600601
　　　藝文推廣","97,996","48,501","61,032","49,495","一、本科目包括藝文推廣
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費210千元
　　業務費85,786千元
　　獎補助費12,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 49,495千元
　　增列 人事費50千元
　　增列 業務費46,095千元
　　增列 獎補助費3,350千元
　"
,,,02,"　　　53183600602
　　　視覺藝術","55,870","18,990","16,202","36,880","一、本科目包括視覺藝術
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費160千元
　　業務費49,450千元
　　獎補助費6,260千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 36,880千元
　　增列 業務費35,970千元
　　增列 獎補助費910千元
　"
,,,03,"　　　53183600603
　　　表演藝術","178,500","117,007","111,506","61,493","一、本科目包括表演藝術
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費340千元
　　業務費168,860千元
　　獎補助費9,300千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 61,493千元
　　增列 人事費100千元
　　增列 業務費57,093千元
　　增列 獎補助費4,300千元
　"
,,,04,"　　　53183600604
　　　圖書資訊","41,552","35,385","26,541","6,167","一、本科目包括圖書資訊
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費240千元
　　業務費38,612千元
　　獎補助費2,700千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,167千元
　　增列 人事費50千元
　　增列 業務費5,037千元
　　增列 獎補助費1,080千元
　"
,,,05,"　　　53183600605
　　　圖書館管理","169,648","125,256","112,526","44,392","一、本科目包括圖書館管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費650千元
　　業務費167,998千元
　　獎補助費1,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 44,392千元
　　減列 人事費150千元
　　增列 業務費47,688千元
　　減列 獎補助費3,146千元
　"
,,,06,"　　　53183600611
　　　港區藝術中心","32,970","29,720","28,521","3,250","一、本科目包括港區藝術中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費250千元
　　業務費31,520千元
　　獎補助費1,200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,250千元
　　減列 人事費50千元
　　增列 業務費3,300千元
　"
,,,07,"　　　53183600612
　　　屯區藝文中心","35,738","33,776","32,117","1,962","一、本科目包括屯區藝文中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費190千元
　　業務費35,548千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,962千元
　　增列 業務費1,962千元
　"
,,,08,"　　　53183600613
　　　大墩文化中心","48,117","42,829","39,675","5,288","一、本科目包括大墩文化中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費350千元
　　業務費47,767千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,288千元
　　增列 業務費5,288千元
　"
,,,09,"　　　53183600614
　　　葫蘆墩文化中
　　　心","30,132","25,712","26,373","4,420","一、本科目包括葫蘆墩文化中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費190千元
　　業務費29,942千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,420千元
　　增列 業務費5,020千元
　　減列 獎補助費600千元
　"
