,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
21,,,,"00210000000
臺中市政府新聞局主管","429,514","215,332","202,329","214,182",
,001,,,"　00214100000
　臺中市政府新聞局","429,514","215,332","202,329","214,182",
,,01,,"　　53214100100
　　一般行政","68,233","67,033","56,450","1,200",
,,,01,"　　　53214100101
　　　行政管理","68,233","67,033","56,450","1,200","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費54,211千元
　　業務費13,992千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,200千元
　　增列 人事費732千元
　　增列 業務費462千元
　　增列 獎補助費6千元
　"
,,02,,"　　53214100700
　　新聞行政","123,426","40,786","63,333","82,640",
,,,01,"　　　53214100701
　　　出版及視聽事
　　　業之管理與輔
　　　導","106,491","40,786","45,000","65,705","一、本科目包括出版及視聽事業之管理與輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費300千元
　　業務費41,191千元
　　獎補助費65,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 65,705千元
　　增列 人事費30千元
　　增列 業務費30,675千元
　　增列 獎補助費35,000千元
　"
,,,02,"　　　53214100703
　　　有線廣播電視
　　　發展基金","16,935",-,"18,333","16,935","一、本科目包括有線廣播電視發展基金
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,101千元
　　業務費12,834千元
　　設備及投資3,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 16,935千元
　　增列 人事費1,101千元
　　增列 業務費12,834千元
　　增列 設備及投資3,000千元
　"
,,03,,"　　53214100800
　　新聞聯繫","7,261","6,467","6,003",794,
,,,01,"　　　53214100801
　　　新聞發布與公
　　　關","7,261","6,467","6,003",794,"一、本科目包括新聞發布與公關
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費530千元
　　業務費6,731千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 794千元
　　增列 人事費144千元
　　增列 業務費650千元
　"
,,04,,"　　53214100900
　　行銷企劃","88,644","76,077","69,270","12,567",
,,,01,"　　　53214100901
　　　政令政績宣導","88,644","76,077","69,270","12,567","一、本科目包括政令政績宣導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費180千元
　　業務費87,964千元
　　獎補助費500千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 12,567千元
　　減列 人事費148千元
　　增列 業務費12,715千元
　"
,,05,,"　　53214107900
　　第一預備金",500,500,-,-,
,,,01,"　　　53214107901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,06,,"　　53214109000
　　一般建築及設備","141,450","24,469","7,273","116,981",
,,,01,"　　　53214109001
　　　一般建築及設
　　　備","141,450","24,469","7,273","116,981","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資141,450千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 116,981千元
　　增列 設備及投資116,981千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
