,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","61,847","64,558","56,488","-2,711",
,008,,,"　00193870000
　臺中市東勢地政事
　務所","61,847","64,558","56,488","-2,711",
,,01,,"　　33193870100
　　一般行政","57,425","58,350","52,984",-925,
,,,01,"　　　33193870101
　　　行政管理","57,425","58,350","52,984",-925,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費47,639千元
　　業務費9,672千元
　　獎補助費114千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 925千元
　　減列 人事費688千元
　　減列 業務費237千元
　"
,,02,,"　　33193871300
　　地政業務","3,958","4,816","3,379",-858,
,,,01,"　　　33193871302
　　　地價管理",307,379,204,-72,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費0千元
　　業務費307千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 72千元
　　減列 人事費77千元
　　增列 業務費5千元
　"
,,,02,"　　　33193871304
　　　地用管理",35,35,35,-,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費35千元
　"
,,,03,"　　　33193871307
　　　測量管理","2,496","3,978","2,682","-1,482","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費384千元
　　業務費2,112千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,482千元
　　減列 人事費100千元
　　減列 業務費1,382千元
　"
,,,04,"　　　33193871309
　　　登記管理","1,120",424,458,696,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費9千元
　　業務費1,111千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 696千元
　　減列 人事費4千元
　　增列 業務費700千元
　"
,,03,,"　　33193879000
　　一般建築及設備",464,"1,392",125,-928,
,,,01,"　　　33193879001
　　　一般建築及設
　　　備",464,"1,392",125,-928,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資464千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 928千元
　　減列 設備及投資928千元
　"
