,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
03,,,,"00030000000
臺中市政府民政局主管","1,430,213","1,359,678","1,455,849","70,535",
,001,,,"　00031000000
　臺中市政府民政局","363,147","344,753","616,747","18,394",
,,01,,"　　33031000100
　　一般行政","123,957","122,087","108,645","1,870",
,,,01,"　　　33031000101
　　　行政管理","123,957","122,087","108,645","1,870","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費108,696千元
　　業務費14,901千元
　　獎補助費360千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,870千元
　　增列 人事費24千元
　　增列 業務費1,846千元
　"
,,02,,"　　33031000600
　　區里行政","31,065","29,449","26,412","1,616",
,,,01,"　　　33031000601
　　　區政監督及里
　　　鄰組織","31,065","29,449","26,412","1,616","一、本科目包括區政監督及里鄰組織
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費224千元
　　業務費30,841千元
　　　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,616千元
　　增列 人事費16千元
　　增列 業務費7,600千元
　　減列 獎補助費6,000千元
　"
,,03,,"　　33031000700
　　自治業務","9,016","10,120","271,339","-1,104",
,,,01,"　　　33031000701
　　　自治業務管理","5,016","6,120","19,520","-1,104","一、本科目包括自治業務管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費196千元
　　業務費2,820千元
　　獎補助費2,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,104千元
　　增列 人事費16千元
　　增列 業務費380千元
　　減列 獎補助費1,500千元
　"
　,　,　,　,　,　,　,　,　,　
,,,02,"　　　33031000702
　　　選舉業務","4,000","4,000","251,819",-,"一、本科目包括選舉業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費4,000千元
　"
,,04,,"　　33031000800
　　禮俗宗教","14,929","17,952","8,885","-3,023",
,,,01,"　　　33031000801
　　　禮俗宗教業務","14,929","17,952","8,885","-3,023","一、本科目包括禮俗宗教業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費134千元
　　業務費14,795千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,023千元
　　增列 人事費24千元
　　減列 業務費3,047千元
　"
,,05,,"　　33031000900
　　戶政業務","26,054","25,422","18,164",632,
,,,01,"　　　33031000901
　　　戶政業務","26,054","25,422","18,164",632,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費232千元
　　業務費25,822千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 632千元
　　增列 人事費32千元
　　增列 業務費600千元
　"
,,06,,"　　33031001000
　　兵員徵集","40,271","6,201","35,601","34,070",
,,,01,"　　　33031001001
　　　兵員徵集業務","40,271","6,201","35,601","34,070","一、本科目包括兵員徵集業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費160千元
　　業務費5,921千元
　　獎補助費34,190千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 34,070千元
　　減列 人事費120千元
　　增列 獎補助費34,190千元
　"
,,07,,"　　33031001100
　　勤務管理","59,905","36,042","41,597","23,863",
,,,01,"　　　33031001101
　　　勤務管理業務","59,905","36,042","41,597","23,863","一、本科目包括勤務管理業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費128千元
　　業務費12,882千元
　　獎補助費46,895千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 23,863千元
　　增列 人事費8千元
　　增列 業務費2,696千元
　　增列 獎補助費21,159千元
　"
,,08,,"　　33031007900
　　第一預備金","1,850","1,850",-,-,
,,,01,"　　　33031007901
　　　第一預備金","1,850","1,850",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金1,850千元
　"
,,09,,"　　33031009000
　　一般建築及設備","56,100","95,630","106,104","-39,530",
,,,01,"　　　33031009001
　　　一般建築及設
　　　備","56,100","95,630","106,104","-39,530","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資44,600千元
　　獎補助費11,500千元
　"
