,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
23,,,,"00230000000
臺中市政府水利局主管","4,135,454","3,331,990","2,486,193","803,464",
,001,,,"　00234300000
　臺中市政府水利局","4,135,454","3,331,990","2,486,193","803,464",
,,01,,"　　58234300100
　　一般行政","156,444","168,426","135,247","-11,982",
,,,01,"　　　58234300101
　　　行政管理","156,444","168,426","135,247","-11,982","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費145,233千元
　　業務費11,169千元
　　獎補助費42千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 11,982千元
　　減列 人事費12,153千元
　　增列 業務費153千元
　　增列 獎補助費18千元
　"
,,02,,"　　58234301100
　　水利事務","2,389,836","1,753,476","1,778,469","636,360",
,,,01,"　　　58234301101
　　　河川及區域排
　　　水","1,376,525","552,055","526,818","824,470","一、本科目包括河川及區域排水
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費4,645千元
　　設備及投資1,371,680千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 824,470千元
　　減列 業務費7,060千元
　　增列 設備及投資831,530千元
　"
,,,02,"　　　58234301102
　　　雨水下水道及
　　　市區排水","211,751","322,008","299,900","-110,257","一、本科目包括雨水下水道及市區排水
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費1,071千元
　　設備及投資210,480千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 110,257千元
　　減列 業務費37千元
　　減列 設備及投資110,220千元
　"
,,,03,"　　　58234301103
　　　水利規劃","19,630","15,541","19,288","4,089","一、本科目包括水利規劃
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費154千元
　　業務費19,476千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,089千元
　　增列 業務費4,089千元
　"
,,,04,"　　　58234301104
　　　水利管理及水
　　　權登記","4,051","33,006","33,521","-28,955","一、本科目包括水利管理及水權登記
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費150千元
　　業務費2,801千元
　　設備及投資1,100千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 28,955千元
　　減列 業務費10,779千元
　　減列 設備及投資17,666千元
　　減列 獎補助費510千元
　"
,,,05,"　　　58234301106
　　　防災工程及防
　　　災整備","29,793","24,738","40,337","5,055","一、本科目包括防災工程及防災整備
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費180千元
　　業務費21,153千元
　　設備及投資8,460千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,055千元
　　減列 業務費3,405千元
　　增列 設備及投資8,460千元
　"
,,,06,"　　　58234301107
　　　水土保持、野
　　　溪及農路維護","415,321","493,355","476,566","-78,034","一、本科目包括水土保持、野溪及農路維護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費1,121千元
　　設備及投資414,000千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 78,034千元
　　減列 業務費34千元
　　減列 設備及投資71,000千元
　　減列 獎補助費7,000千元
　"
,,,07,"　　　58234301108
　　　坡地保育、利
　　　用及管理","8,659","8,373","10,337",286,"一、本科目包括坡地保育、利用及管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費280千元
　　業務費8,323千元
　　獎補助費56千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 286千元
　　增列 業務費286千元
　"
,,,08,"　　　58234301109
　　　水利設施養護","324,106","304,400","371,702","19,706","一、本科目包括水利設施養護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費27,506千元
　　設備及投資296,400千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 19,706千元
　　減列 業務費4,294千元
　　增列 設備及投資24,000千元
　"
,,03,,"　　58234307900
　　第一預備金","2,100","2,100",-,-,
,,,01,"　　　58234307901
　　　第一預備金","2,100","2,100",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金2,100千元
　"
,,04,,"　　58234309000
　　一般建築及設備",450,450,"1,169",-,
