,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
20,,,,"00200000000
臺中市政府法制局主管","155,497","154,818","128,341",679,
,001,,,"　00204000000
　臺中市政府法制局","155,497","154,818","128,341",679,
,,01,,"　　32204000100
　　一般行政","85,747","85,330","76,143",417,
,,,01,"　　　32204000101
　　　行政管理","85,747","85,330","76,143",417,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費78,984千元
　　業務費6,709千元
　　獎補助費54千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 417千元
　　增列 業務費405千元
　　增列 獎補助費12千元
　"
,,02,,"　　32204001800
　　法制業務","26,543","28,538","24,294","-1,995",
,,,01,"　　　32204001801
　　　法規審議","2,120","2,619","1,811",-499,"一、本科目包括法規審議
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費671千元
　　業務費1,449千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 499千元
　　增列 人事費1千元
　　減列 業務費500千元
　"
,,,02,"　　　32204001802
　　　法規諮詢","1,555","1,554","1,440",1,"一、本科目包括法規諮詢
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費651千元
　　業務費904千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1千元
　　增列 人事費1千元
　"
,,,03,"　　　32204001803
　　　行政救濟","2,199","2,639","2,021",-440,"一、本科目包括行政救濟
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費220千元
　　業務費1,979千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 440千元
　　減列 業務費440千元
　"
,,,04,"　　　32204001804
　　　採購申訴審議","13,330","13,589","11,874",-259,"一、本科目包括採購申訴審議
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費120千元
　　業務費12,110千元
　　獎補助費1,100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 259千元
　　減列 獎補助費259千元
　"
,,,05,"　　　32204001805
　　　消費者保護","3,973","4,271","3,838",-298,"一、本科目包括消費者保護
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,201千元
　　業務費2,732千元
　　獎補助費40千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 298千元
　　增列 人事費2千元
　　減列 業務費260千元
　　減列 獎補助費40千元
　"
,,,06,"　　　32204001806
　　　行政執行","3,366","3,866","3,310",-500,"一、本科目包括行政執行
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費132千元
　　業務費3,234千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 500千元
　　減列 業務費500千元
　"
,,03,,"　　32204007900
　　第一預備金",500,500,-,-,
,,,01,"　　　32204007901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,04,,"　　32204009000
　　一般建築及設備","2,707",450,516,"2,257",
,,,01,"　　　32204009001
　　　一般建築及設
　　　備","2,707",450,516,"2,257","一、本科目包括一般建築及設備
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,707千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,257千元
　　增列 設備及投資2,257千元
　"
,,05,,"　　89204000100
　　國家賠償金","40,000","40,000","27,388",-,
,,,01,"　　　89204000101
　　　國家賠償金","40,000","40,000","27,388",-,"一、本科目包括國家賠償金
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費40,000千元
　"
