,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
15,,,,"00150000000
臺中市政府消防局主管","2,151,703","2,115,684","1,698,188","36,019",
,001,,,"　00153000000
　臺中市政府消防局","2,151,703","2,115,684","1,698,188","36,019",
,,01,,"　　33153000100
　　一般行政","1,876,052","1,836,557","1,510,755","39,495",
,,,01,"　　　33153000101
　　　行政管理","1,876,052","1,836,557","1,510,755","39,495","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,781,904千元
　　業務費92,930千元
　　獎補助費1,218千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 39,495千元
　　增列 人事費47,606千元
　　減列 業務費8,111千元
　"
,,02,,"　　33153001200
　　消防業務","121,613","109,793","90,580","11,820",
,,,01,"　　　33153001201
　　　消防行政工作","11,895","15,425","12,102","-3,530","一、本科目包括消防行政工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費7,020千元
　　獎補助費4,875千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,530千元
　　減列 業務費3,530千元
　"
,,,02,"　　　33153001202
　　　火災預防","5,509","3,262","4,994","2,247","一、本科目包括火災預防
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費160千元
　　業務費4,012千元
　　獎補助費1,337千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,247千元
　　增列 業務費1,490千元
　　增列 獎補助費757千元
　"
,,,03,"　　　33153001203
　　　危險物品管理","6,877","6,400","6,912",477,"一、本科目包括危險物品管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費350千元
　　獎補助費6,527千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 477千元
　　增列 獎補助費477千元
　"
,,,04,"　　　33153001204
　　　災害搶救","25,560","21,577","18,142","3,983","一、本科目包括災害搶救
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費23,495千元
　　獎補助費2,065千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,983千元
　　增列 業務費3,983千元
　"
,,,05,"　　　33153001205
　　　災害管理","17,272","14,475","4,293","2,797","一、本科目包括災害管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,000千元
　　業務費16,272千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,797千元
　　增列 業務費2,797千元
　"
,,,06,"　　　33153001206
　　　緊急救護","10,342","12,732","10,178","-2,390","一、本科目包括緊急救護
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費10,342千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,390千元
　　減列 業務費2,390千元
　"
,,,07,"　　　33153001207
　　　教育訓練","7,659","4,716","3,720","2,943","一、本科目包括教育訓練
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費7,659千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,943千元
　　增列 業務費2,943千元
　"
,,,08,"　　　33153001208
　　　火災調查","1,112",768,763,344,"一、本科目包括火災調查
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費100千元
　　業務費1,012千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 344千元
　　增列 業務費344千元
　"
,,,09,"　　　33153001209
　　　救災救護指揮
　　　中心","15,872","13,595","12,671","2,277","一、本科目包括救災救護指揮中心
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費621千元
　　業務費15,251千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,277千元
　　增列 業務費2,277千元
　"
,,,10,"　　　33153001210
　　　特搜大隊","1,274","1,264","1,227",10,"一、本科目包括特搜大隊
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,274千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10千元
　　增列 業務費10千元
　"
,,,11,"　　　33153001211
　　　各救災救護大
　　　隊","18,241","15,579","15,578","2,662","一、本科目包括各救災救護大隊
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費18,241千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,662千元
　　增列 業務費2,662千元
　"
,,03,,"　　33153007900
　　第一預備金","3,800","3,800",-,-,
,,,01,"　　　33153007901
　　　第一預備金","3,800","3,800",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金3,800千元
　"
,,04,,"　　33153009000
　　一般建築及設備","150,238","165,534","96,853","-15,296",
,,,01,"　　　33153009001
　　　一般建築及設
　　　備","150,238","165,534","96,853","-15,296","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資148,988千元
　　獎補助費1,250千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 15,296千元
　　減列 設備及投資15,296千元
　"
