,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","90,498","89,701","89,944",797,
,006,,,"　00193850000
　臺中市清水地政事
　務所","90,498","89,701","89,944",797,
,,01,,"　　33193850100
　　一般行政","64,262","63,921","64,710",341,
,,,01,"　　　33193850101
　　　行政管理","64,262","63,921","64,710",341,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50,975千元
　　業務費13,149千元
　　獎補助費138千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 341千元
　　減列 人事費181千元
　　增列 業務費522千元
　"
,,02,,"　　33193851300
　　地政業務","21,200","25,610","23,402","-4,410",
,,,01,"　　　33193851302
　　　地價管理",198,320,825,-122,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費198千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 122千元
　　減列 業務費122千元
　"
,,,02,"　　　33193851304
　　　地用管理",36,36,"1,038",-,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費36千元
　"
,,,03,"　　　33193851307
　　　測量管理","19,814","23,634","17,734","-3,820","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,492千元
　　業務費18,322千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,820千元
　　減列 人事費4千元
　　減列 業務費3,816千元
　"
,,,04,"　　　33193851309
　　　登記管理","1,152","1,620","3,805",-468,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費9千元
　　業務費1,143千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 468千元
　　減列 人事費4千元
　　減列 業務費464千元
　"
,,03,,"　　33193859000
　　一般建築及設備","5,036",170,"1,832","4,866",
,,,01,"　　　33193859001
　　　一般建築及設
　　　備","5,036",170,"1,832","4,866","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資5,036千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,866千元
　　增列 設備及投資4,866千元
　"
