,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
17,,,,"00170000000
臺中市政府環境保護局主管","4,760,856","4,512,065","4,306,492","248,791",
,001,,,"　00173500000
　臺中市政府環境保
　護局","4,760,856","4,512,065","4,306,492","248,791",
,,01,,"　　73173500100
　　一般行政","1,983,099","1,898,815","1,837,540","84,284",
,,,01,"　　　73173500101
　　　行政管理","1,983,099","1,898,815","1,837,540","84,284","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,944,754千元
　　業務費33,425千元
　　獎補助費4,920千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 84,284千元
　　增列 人事費83,064千元
　　減列 業務費100千元
　　增列 獎補助費1,320千元
　"
,,02,,"　　73173500200
　　環境保護業務","314,078","352,643","343,734","-38,565",
,,,01,"　　　73173500201
　　　綜合計畫業務","7,353","48,803","44,402","-41,450","一、本科目包括綜合計畫業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費584千元
　　業務費6,668千元
　　獎補助費101千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 41,450千元
　　減列 人事費62千元
　　減列 業務費41,388千元
　"
,,,02,"　　　73173500202
　　　空氣及噪音管
　　　制業務","10,942","10,847","6,746",95,"一、本科目包括空氣及噪音管制業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費4,175千元
　　業務費5,731千元
　　獎補助費1,036千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 95千元
　　增列 人事費227千元
　　減列 業務費310千元
　　增列 獎補助費178千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,03,"　　　73173500203
　　　水質及土壤保
　　　護業務","21,634","17,584","19,113","4,050","一、本科目包括水質及土壤保護業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費3,570千元
　　業務費17,284千元
　　獎補助費780千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,050千元
　　減列 人事費468千元
　　增列 業務費4,518千元
　"
,,,04,"　　　73173500204
　　　廢棄物管理","58,431","50,086","47,084","8,345","一、本科目包括廢棄物管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費2,251千元
　　業務費55,930千元
　　獎補助費250千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 8,345千元
　　減列 人事費654千元
　　增列 業務費9,109千元
　　減列 獎補助費110千元
　"
,,,05,"　　　73173500205
　　　資源回收業務","148,700","151,500","137,841","-2,800","一、本科目包括資源回收業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費74,700千元
　　業務費58,000千元
　　獎補助費16,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,800千元
　　減列 業務費2,800千元
　"
,,,06,"　　　73173500206
　　　環境檢驗業務","7,759","7,950","7,294",-191,"一、本科目包括環境檢驗業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費120千元
　　業務費7,639千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 191千元
　　減列 人事費30千元
　　減列 業務費161千元
　"
,,,07,"　　　73173500207
　　　環境及毒化管
　　　理","35,085","41,968","55,598","-6,883","一、本科目包括環境及毒化管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費2,443千元
　　業務費32,519千元
　　獎補助費123千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,883千元
　　減列 人事費56千元
　　減列 業務費6,820千元
　　減列 獎補助費7千元
　"
,,,08,"　　　73173500208
　　　環境稽查業務","24,174","23,905","25,656",269,"一、本科目包括環境稽查業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,754千元
　　業務費8,130千元
　　獎補助費2,290千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 269千元
　　增列 人事費625千元
　　增列 業務費64千元
　　減列 獎補助費420千元
　"
,,03,,"　　73173500400
　　清潔隊業務","1,105,946","973,651","858,889","132,295",
,,,01,"　　　73173500401
　　　清潔隊管理","824,262","654,702","594,750","169,560","一、本科目包括清潔隊管理
　"
