,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
02,,,,"00020000000
臺中市政府主管","146,999","132,304","127,363","14,695",
,006,,,"　00020070000
　臺中市政府研究發
　展考核委員會","146,999","132,304","127,363","14,695",
,,01,,"　　32020070100
　　一般行政","63,953","63,670","55,066",283,
,,,01,"　　　32020070101
　　　行政管理","63,953","63,670","55,066",283,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費57,145千元
　　業務費6,724千元
　　獎補助費84千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 283千元
　　增列 人事費2千元
　　增列 業務費281千元
　"
,,02,,"　　32020071400
　　施政計畫綜合業
　　務","80,426","67,434","71,603","12,992",
,,,01,"　　　32020071401
　　　研究發展","7,513","6,414","4,245","1,099","一、本科目包括研究發展
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費84千元
　　業務費6,829千元
　　獎補助費600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,099千元
　　增列 業務費1,099千元
　"
,,,02,"　　　32020071402
　　　綜合規劃","3,319","3,319","3,460",-,"一、本科目包括綜合規劃
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,577千元
　　業務費1,742千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增列 人事費1千元
　　減列 業務費1千元
　"
,,,03,"　　　32020071403
　　　管制考核","4,506","3,356","2,137","1,150","一、本科目包括管制考核
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費108千元
　　業務費4,398千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,150千元
　　增列 業務費1,150千元
　"
,,,04,"　　　32020071404
　　　為民服務","65,088","54,345","61,761","10,743","一、本科目包括為民服務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費35,027千元
　　業務費27,101千元
　　獎補助費2,960千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,743千元
　　增列 人事費33,222千元
　　減列 業務費25,439千元
　　增列 獎補助費2,960千元
　"
,,03,,"　　32020077900
　　第一預備金",500,500,-,-,
,,,01,"　　　32020077901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,04,,"　　32020079000
　　一般建築及設備","2,120",700,694,"1,420",
,,,01,"　　　32020079001
　　　一般建築及設
　　　備","2,120",700,694,"1,420","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,120千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,420千元
　　增列 設備及投資1,420千元
　"
