,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
12,,,,"00120000000
臺中市政府社會局主管","11,692,607","9,909,115","9,725,452","1,783,492",
,001,,,"　00122300000
　臺中市政府社會局","11,205,898","9,479,126","9,353,502","1,726,772",
,,01,,"　　66122300200
　　社會保險","703,000","563,000","582,271","140,000",
,,,01,"　　　66122300201
　　　社會保險","703,000","563,000","582,271","140,000","一、本科目包括社會保險
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費703,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 140,000千元
　　增列 獎補助費140,000千元
　"
,,02,,"　　67122300100
　　社會救濟","1,816,659","1,242,942","1,156,845","573,717",
,,,01,"　　　67122300101
　　　社會救濟","1,816,659","1,242,942","1,156,845","573,717","一、本科目包括社會救濟
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費911千元
　　業務費40,196千元
　　獎補助費1,775,552千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 573,717千元
　　增列 人事費1千元
　　增列 業務費2,471千元
　　增列 獎補助費571,245千元
　"
,,03,,"　　68122300100
　　一般行政","192,713","175,390","141,970","17,323",
,,,01,"　　　68122300101
　　　行政管理","192,713","175,390","141,970","17,323","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費173,503千元
　　業務費19,018千元
　　獎補助費192千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 17,323千元
　　增列 人事費16,202千元
　　增列 業務費1,121千元
　"
,,04,,"　　68122300200
　　社政業務","8,325,379","7,476,538","7,459,612","848,841",
,,,01,"　　　68122300201
　　　社會福利","8,325,379","7,476,538","7,459,612","848,841","一、本科目包括社會福利
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費63,703千元
　　業務費525,258千元
　　獎補助費7,736,418千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 848,841千元
　　增列 人事費11,220千元
　　增列 業務費5,166千元
　　增列 獎補助費832,455千元
　"
,,05,,"　　68122307900
　　第一預備金","8,000","8,000",-,-,
,,,01,"　　　68122307901
　　　第一預備金","8,000","8,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金8,000千元
　"
,,06,,"　　68122309000
　　一般建築及設備","160,147","13,256","12,804","146,891",
,,,01,"　　　68122309001
　　　一般建築及設
　　　備","160,147","13,256","12,804","146,891","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資138,675千元
　　獎補助費21,472千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 146,891千元
　　增列 設備及投資132,539千元
　　增列 獎補助費14,352千元
　"
,002,,,"　00122310000
　臺中市立仁愛之家","103,996","91,922","82,309","12,074",
,,01,,"　　68122310100
　　一般行政","22,800","24,434","19,981","-1,634",
,,,01,"　　　68122310101
　　　行政管理","22,800","24,434","19,981","-1,634","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費22,049千元
　　業務費673千元
　　獎補助費78千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,634千元
　　減列 人事費1,603千元
　　減列 業務費31千元
　"
,,02,,"　　68122310600
　　福利業務","79,221","67,388","51,653","11,833",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　68122310601
　　　老人安養","79,221","67,388","51,653","11,833","一、本科目包括老人安養
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費220千元
　　業務費55,125千元
　　獎補助費23,876千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 11,833千元
　　增列 人事費72千元
　　增列 業務費11,683千元
　　增列 獎補助費78千元
　"
,,03,,"　　68122319000
　　一般建築及設備","1,975",100,"10,675","1,875",
,,,01,"　　　68122319001
　　　一般建築及設
　　　備","1,975",100,"10,675","1,875","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,975千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,875千元
　　增列 設備及投資1,875千元
　"
