,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
24,,,,"00700000000
統籌支撥科目主管","4,625,151","4,647,662","2,826,902","-22,511",
,001,,,"　00707000000
　公務人員退休給付","2,699,101","2,938,235","2,287,077","-239,134",
,,01,,"　　75707000100
　　公務人員退休給
　　付","2,699,101","2,938,235","2,287,077","-239,134",
,,,01,"　　　75707000101
　　　公務人員退休
　　　給付","2,699,101","2,938,235","2,287,077","-239,134","一、本科目包括公務人員退休給付
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,908,101千元
　　獎補助費791,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 239,134千元
　　減列 人事費247,484千元
　　增列 獎補助費8,350千元
　"
,002,,,"　00707020000
　公務人員撫卹給付","80,000","80,000","45,366",-,
,,01,,"　　75707020300
　　公務人員撫卹給
　　付","80,000","80,000","45,366",-,
,,,01,"　　　75707020301
　　　公務人員撫卹
　　　給付","80,000","80,000","45,366",-,"一、本科目包括公務人員撫卹給付
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費80,000千元
　"
,003,,,"　00707030000
　公務人員因公致殘
　廢死亡慰問金","20,000","20,000",513,-,
,,01,,"　　75707030400
　　公務人員因公致
　　殘廢死亡慰問金","20,000","20,000",513,-,
,,,01,"　　　75707030401
　　　公務人員因公
　　　致殘廢死亡慰
　　　問金","20,000","20,000",513,-,"一、本科目包括公務人員因公致殘廢死亡慰問金
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20,000千元
　"
,004,,,"　00707040000
　公務人員各項補助","311,250","344,000","291,917","-32,750",
,,01,,"　　89707040200
　　公務人員各項補
　　助","311,250","344,000","291,917","-32,750",
,,,01,"　　　89707040201
　　　公務人員各項
　　　補助","311,250","344,000","291,917","-32,750","一、本科目包括公務人員各項補助
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費311,250千元
　　獎補助費0千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 32,750千元
　　減列 人事費31,750千元
　　減列 獎補助費1,000千元
　"
,005,,,"　00707050000
　災害準備金","1,280,000","1,140,000","202,029","140,000",
,,01,,"　　89707050500
　　災害準備金","1,280,000","1,140,000","202,029","140,000",
,,,01,"　　　89707050501
　　　災害準備金","1,280,000","1,140,000","202,029","140,000","一、本科目包括災害準備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金1,280,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 140,000千元
　　增列 預備金140,000千元
　"
,006,,,"　00707060000
　各類員工待遇準備","234,800","125,427",-,"109,373",
,,01,,"　　89707060700
　　各類員工待遇準
　　備","234,800","125,427",-,"109,373",
,,,01,"　　　89707060701
　　　各類員工待遇
　　　準備","234,800","125,427",-,"109,373","一、本科目包括各類員工待遇準備
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費234,800千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 109,373千元
　　增列 人事費109,373千元
　"
