,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
06,,,,"00060000000
臺中市政府經濟發展局主管","954,907","870,383","741,976","84,524",
,001,,,"　00061700000
　臺中市政府經濟發
　展局","954,907","870,383","741,976","84,524",
,,01,,"　　61061700100
　　一般行政","255,166","247,706","222,432","7,460",
,,,01,"　　　61061700101
　　　行政管理","255,166","247,706","222,432","7,460","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費190,244千元
　　業務費64,694千元
　　獎補助費228千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7,460千元
　　增列 人事費7,528千元
　　減列 業務費80千元
　　增列 獎補助費12千元
　"
,,02,,"　　61061700200
　　產業發展與管理","197,390","148,030","136,173","49,360",
,,,01,"　　　61061700201
　　　工商業規劃與
　　　發展","163,390","114,030","102,173","49,360","一、本科目包括工商業規劃與發展
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費250千元
　　業務費56,140千元
　　獎補助費107,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 49,360千元
　　增列 業務費7,360千元
　　增列 獎補助費42,000千元
　"
,,,02,"　　　61061700202
　　　招商及投資協
　　　調","34,000","34,000","34,000",-,"一、本科目包括招商及投資協調
　"
,,,,,,,,,"二、本年度預算數包括:
　　獎補助費34,000千元
　"
,,03,,"　　61061700300
　　工業管理及輔導","2,804","3,404","2,999",-600,
,,,01,"　　　61061700301
　　　工業登記及管
　　　理","2,625","3,225","2,587",-600,"一、本科目包括工業登記及管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費150千元
　　業務費1,475千元
　　獎補助費1,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 600千元
　　減列 業務費600千元
　"
,,,02,"　　　61061700302
　　　產業園區開發
　　　及管理",179,179,412,-,"一、本科目包括產業園區開發及管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費100千元
　　業務費79千元
　"
,,04,,"　　61061700400
　　商業管理及輔導","33,586","29,335","23,542","4,251",
,,,01,"　　　61061700401
　　　商業登記及管
　　　理","2,990","2,990","1,550",-,"一、本科目包括商業登記及管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費480千元
　　業務費2,510千元
　"
,,,02,"　　　61061700402
　　　商圈管理及輔
　　　導","30,596","26,345","21,992","4,251","一、本科目包括商圈管理及輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費24,936千元
　　獎補助費5,660千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,251千元
　　增列 業務費2,191千元
　　增列 獎補助費2,060千元
　"
,,05,,"　　61061700500
　　公用事業業務","35,217","4,339","3,303","30,878",
,,,01,"　　　61061700501
　　　公用事業管理","33,653","2,151","2,450","31,502","一、本科目包括公用事業管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費17,603千元
　　獎補助費16,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 31,502千元
　　增列 業務費15,502千元
　　增列 獎補助費16,000千元
　"
,,,02,"　　　61061700502
　　　石油管理","1,564","2,188",853,-624,"一、本科目包括石油管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費348千元
　　業務費1,066千元
　　獎補助費150千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 624千元
　　減列 業務費624千元
　"
,,06,,"　　61061700600
　　市場管理","132,896","119,696","115,280","13,200",
,,,01,"　　　61061700601
　　　公民有零售市
　　　場管理","127,375","117,175","112,772","10,200","一、本科目包括公民有零售市場管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,060千元
　　業務費126,315千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 10,200千元
　　增列 業務費10,200千元
　"
,,,02,"　　　61061700602
　　　批發及肉品市
　　　場管理","2,191",191,191,"2,000","一、本科目包括批發及肉品市場管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費160千元
　　業務費2,031千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,000千元
　　增列 業務費2,000千元
　"
,,,03,"　　　61061700603
　　　攤販管理","3,330","2,330","2,317","1,000","一、本科目包括攤販管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費60千元
　　業務費3,270千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,000千元
　　增列 業務費1,000千元
　"
,,07,,"　　61061707900
　　第一預備金","2,000","2,000",-,-,
,,,01,"　　　61061707901
　　　第一預備金","2,000","2,000",-,-,"一、本科目包括第一預備金
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　預備金2,000千元
　"
,,08,,"　　61061709000
　　一般建築及設備","295,848","315,873","238,247","-20,025",
,,,01,"　　　61061709001
　　　一般建築及設
　　　備","295,848","315,873","238,247","-20,025","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資121,450千元
　　獎補助費174,398千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 20,025千元
　　減列 設備及投資90,423千元
　　增列 獎補助費70,398千元
　"
