,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
16,,,,"00160000000
臺中市政府衛生局主管","1,582,975","1,242,463","1,033,608","340,512",
,001,,,"　00163100000
　臺中市政府衛生局","1,582,975","1,242,463","1,033,608","340,512",
,,01,,"　　70163100100
　　一般行政","258,379","254,140","224,183","4,239",
,,,01,"　　　70163100101
　　　行政管理","258,379","254,140","224,183","4,239","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費224,819千元
　　業務費31,886千元
　　獎補助費1,674千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,239千元
　　增列 人事費2,706千元
　　增列 業務費1,533千元
　"
,,02,,"　　70163100200
　　衛生業務","893,051","548,938","383,184","344,113",
,,,01,"　　　70163100201
　　　疾病管制工作","122,417","113,372","78,500","9,045","一、本科目包括疾病管制工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,795千元
　　業務費120,572千元
　　獎補助費50千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,045千元
　　增列 人事費2千元
　　增列 業務費9,043千元
　"
,,,02,"　　　70163100202
　　　醫事管理工作","445,838","237,153","109,736","208,685","一、本科目包括醫事管理工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費457千元
　　業務費14,017千元
　　獎補助費431,364千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 208,685千元
　　增列 人事費1千元
　　增列 業務費4,709千元
　　增列 獎補助費203,975千元
　"
,,,03,"　　　70163100203
　　　心理健康工作","53,471","30,685","40,831","22,786","一、本科目包括心理健康工作
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,723千元
　　業務費50,628千元
　　獎補助費1,120千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 22,786千元
　　增列 人事費102千元
　　增列 業務費22,644千元
　　增列 獎補助費40千元
　"
,,,04,"　　　70163100204
　　　食品藥物管理
　　　工作","22,934","19,371","13,507","3,563","一、本科目包括食品藥物管理工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費170千元
　　業務費21,192千元
　　獎補助費1,572千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,563千元
　　減列 人事費160千元
　　增列 業務費2,221千元
　　增列 獎補助費1,502千元
　"
,,,05,"　　　70163100205
　　　衛生稽查管理
　　　工作","29,597","6,253","5,478","23,344","一、本科目包括衛生稽查管理工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16,578千元
　　業務費13,019千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 23,344千元
　　增列 人事費16,506千元
　　增列 業務費6,838千元
　"
,,,06,"　　　70163100206
　　　保健工作","200,549","92,503","90,183","108,046","一、本科目包括保健工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費791千元
　　業務費74,409千元
　　獎補助費125,349千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 108,046千元
　　增列 人事費161千元
　　增列 業務費63,471千元
　　增列 獎補助費44,414千元
　"
　,　,　,　,　,　,　,　,　,　
,,,07,"　　　70163100207
　　　企劃資訊工作","7,344","40,369","37,458","-33,025","一、本科目包括企劃資訊工作
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費10千元
　　業務費7,284千元
　　獎補助費50千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 33,025千元
　　增列 業務費1,006千元
　　減列 獎補助費34,031千元
　"
,,,08,"　　　70163100208
　　　衛生檢驗","10,901","9,232","7,491","1,669","一、本科目包括衛生檢驗
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費7千元
　　業務費10,894千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,669千元
　　增列 業務費1,669千元
　"
,,03,,"　　70163100300
　　衛生所業務","392,417","393,778","380,459","-1,361",
,,,01,"　　　70163100301
　　　一般行政","379,978","382,684","368,957","-2,706","一、本科目包括一般行政
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費375,366千元
　　業務費4,612千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,706千元
　　減列 人事費2,706千元
　"
,,,02,"　　　70163100302
　　　公共衛生","12,439","11,094","11,502","1,345","一、本科目包括公共衛生
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費12,439千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,345千元
　　增列 業務費1,345千元
　"
,,04,,"　　70163107900
　　第一預備金","2,000","2,000",-,-,
,,,01,"　　　70163107901
　　　第一預備金","2,000","2,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金2,000千元
　"
　,　,　,　,　,　,　,　,　,　
,,05,,"　　70163109000
　　一般建築及設備","37,128","43,607","45,782","-6,479",
,,,01,"　　　70163109001
　　　一般建築及設
　　　備","37,128","43,607","45,782","-6,479","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資37,128千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,479千元
　　減列 設備及投資6,479千元
　"
