,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
08,,,,"00080000000
臺中市政府交通局主管","100,648","102,105","90,990","-1,457",
,006,,,"　00081950000
　臺中市交通事件裁
　決處","100,648","102,105","90,990","-1,457",
,,01,,"　　60081950100
　　一般行政","64,632","64,000","59,108",632,
,,,01,"　　　60081950101
　　　行政管理","64,632","64,000","59,108",632,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費44,817千元
　　業務費19,809千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 632千元
　　增列 人事費822千元
　　減列 業務費190千元
　"
,,02,,"　　60081951100
　　交通裁罰業務","34,680","34,424","27,072",256,
,,,01,"　　　60081951101
　　　案件管理","9,290","9,351","7,975",-61,"一、本科目包括案件管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費9,290千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 61千元
　　減列 業務費61千元
　"
,,,02,"　　　60081951102
　　　違規裁罰","3,405","3,135","2,688",270,"一、本科目包括違規裁罰
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費3,405千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 270千元
　　增列 業務費270千元
　"
,,,03,"　　　60081951103
　　　違規申訴","3,200","3,133","2,734",67,"一、本科目包括違規申訴
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費3,200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 67千元
　　增列 業務費67千元
　"
,,,04,"　　　60081951104
　　　積案催收","18,785","18,805","13,675",-20,"一、本科目包括積案催收
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費18,785千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 20千元
　　減列 業務費20千元
　"
,,03,,"　　60081959000
　　一般建築及設備","1,336","3,681","4,810","-2,345",
,,,01,"　　　60081959001
　　　一般建築及設
　　　備","1,336","3,681","4,810","-2,345","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,336千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,345千元
　　減列 設備及投資2,345千元
　"
