,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
11,,,,"00110000000
臺中市政府觀光旅遊局主管","857,821","681,600","762,670","176,221",
,001,,,"　00112200000
　臺中市政府觀光旅
　遊局","809,223","614,444","705,312","194,779",
,,01,,"　　61112200100
　　一般行政","80,515","80,782","67,546",-267,
,,,01,"　　　61112200101
　　　行政管理","80,515","80,782","67,546",-267,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費71,175千元
　　業務費9,304千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 267千元
　　增列 人事費2千元
　　減列 業務費269千元
　"
,,02,,"　　61112200700
　　觀光管理","173,107","127,399","176,530","45,708",
,,,01,"　　　61112200701
　　　觀光工程規劃
　　　與管理","24,390","30,259","30,909","-5,869","一、本科目包括觀光工程規劃與管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費930千元
　　業務費23,460千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,869千元
　　增列 人事費1千元
　　減列 業務費5,870千元
　"
,,,02,"　　　61112200702
　　　觀光產業管理
　　　業務","16,051","4,049","2,872","12,002","一、本科目包括觀光產業管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,651千元
　　業務費14,400千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 12,002千元
　　增列 人事費2千元
　　增列 業務費12,000千元
　"
,,,03,"　　　61112200703
　　　后里馬場經營
　　　管理","9,136","9,600","8,446",-464,"一、本科目包括后里馬場經營管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費220千元
　　業務費8,916千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 464千元
　　減列 業務費464千元
　"
,,,04,"　　　61112200704
　　　觀光旅遊行銷
　　　與推廣","118,230","69,211","128,147","49,019","一、本科目包括觀光旅遊行銷與推廣
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,651千元
　　業務費114,579千元
　　獎補助費2,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 49,019千元
　　增列 人事費2千元
　　增列 業務費50,017千元
　　減列 獎補助費1,000千元
　"
,,,05,"　　　61112200705
　　　觀光企劃與發
　　　展","5,300","14,280","6,156","-8,980","一、本科目包括觀光企劃與發展
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費5,300千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 8,980千元
　　減列 業務費8,980千元
　"
,,03,,"　　61112207900
　　第一預備金",900,900,-,-,
,,,01,"　　　61112207901
　　　第一預備金",900,900,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金900千元
　"
,,04,,"　　61112209000
　　一般建築及設備","554,701","405,363","461,236","149,338",
,,,01,"　　　61112209001
　　　一般建築及設
　　　備","554,701","405,363","461,236","149,338","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資554,701千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 149,338千元
　　增列 設備及投資149,338千元
　"
,002,,,"　00112210000
　臺中市風景區管理
　所","48,598","67,156","57,358","-18,558",
,,01,,"　　61112210100
　　一般行政","21,595","22,759","12,460","-1,164",
,,,01,"　　　61112210101
　　　行政管理","21,595","22,759","12,460","-1,164","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,266千元
　　業務費8,323千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,164千元
　　減列 人事費1,160千元
　　減列 業務費4千元
　"
,,02,,"　　61112210800
　　風景區管理業務","14,903","12,897","17,286","2,006",
,,,01,"　　　61112210801
　　　風景區管理","14,903","12,897","17,286","2,006","一、本科目包括風景區管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費14,863千元
　　獎補助費40千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,006千元
　　增列 業務費1,986千元
　　增列 獎補助費20千元
　"
,,03,,"　　61112219000
　　一般建築及設備","12,100","31,500","27,612","-19,400",
,,,01,"　　　61112219001
　　　一般建築及設
　　　備","12,100","31,500","27,612","-19,400","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資12,100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 19,400千元
　　減列 設備及投資19,400千元
　"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
