,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
14,,,,"00140000000
臺中市政府警察局主管","10,253,870","10,707,001","9,425,811","-453,131",
,001,,,"　00142700000
　臺中市政府警察局","10,253,870","10,707,001","9,425,811","-453,131",
,,01,,"　　77142700100
　　一般行政","9,337,921","9,464,791","8,339,589","-126,870",
,,,01,"　　　77142700101
　　　行政管理","9,337,921","9,464,791","8,339,589","-126,870","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費8,900,181千元
　　業務費429,322千元
　　獎補助費8,418千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 126,870千元
　　減列 人事費102,776千元
　　減列 業務費24,202千元
　　增列 獎補助費108千元
　"
,,02,,"　　77142700200
　　警政業務","149,746","135,217","137,706","14,529",
,,,01,"　　　77142700201
　　　警察行政業務","1,600","1,600","1,381",-,"一、本科目包括警察行政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,600千元
　"
,,,02,"　　　77142700202
　　　保安業務","22,677","21,578","21,169","1,099","一、本科目包括保安業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費20,760千元
　　獎補助費1,917千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,099千元
　　增列 業務費1,099千元
　"
,,,03,"　　　77142700203
　　　犯罪預防業務","83,298","79,198","69,750","4,100","一、本科目包括犯罪預防業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費79,098千元
　　獎補助費4,200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,100千元
　　增列 業務費3,800千元
　　增列 獎補助費300千元
　"
,,,04,"　　　77142700204
　　　民防業務",-,-,"27,460",-,本計畫僅有前年度決算數　
　,　,　,　,　,　,　,　,　,　
,,,05,"　　　77142700205
　　　督察業務","3,854","3,854","3,836",-,"一、本科目包括督察業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費640千元
　　業務費3,214千元
　"
,,,06,"　　　77142700206
　　　戶口業務",-,-,710,-,本計畫僅有前年度決算數　
,,,07,"　　　77142700207
　　　保防業務",274,274,274,-,"一、本科目包括保防業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費274千元
　"
,,,08,"　　　77142700208
　　　訓練業務","2,648","2,648","2,440",-,"一、本科目包括訓練業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,648千元
　"
,,,09,"　　　77142700209
　　　外事業務",400,400,393,-,"一、本科目包括外事業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費400千元
　"
,,,10,"　　　77142700210
　　　勤務指揮業務","5,465","5,465","4,908",-,"一、本科目包括勤務指揮業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費5,465千元
　"
,,,11,"　　　77142700211
　　　鑑識業務","4,314","4,587","2,554",-273,"一、本科目包括鑑識業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費4,314千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 273千元
　　減列 業務費273千元
　"
,,,12,"　　　77142700212
　　　民防管制業務","3,640","3,353","2,831",287,"一、本科目包括民防管制業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費3,640千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 287千元
　　增列 業務費287千元
　"
,,,13,"　　　77142700213
　　　防治業務","21,576","12,260",-,"9,316","一、本科目包括防治業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費209千元
　　業務費19,532千元
　　獎補助費1,835千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,316千元
　　增列 業務費9,316千元
　"
,,03,,"　　77142700300
　　所屬機關警政業
　　務","231,079","184,060","171,672","47,019",
,,,01,"　　　77142700301
　　　分局業務","76,178","65,099","57,944","11,079","一、本科目包括分局業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費76,178千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 11,079千元
　　增列 業務費11,079千元
　"
