,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","85,064","81,196","71,171","3,868",
,005,,,"　00193840000
　臺中市豐原地政事
　務所","85,064","81,196","71,171","3,868",
,,01,,"　　33193840100
　　一般行政","67,391","72,630","61,516","-5,239",
,,,01,"　　　33193840101
　　　行政管理","67,391","72,630","61,516","-5,239","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56,420千元
　　業務費10,815千元
　　獎補助費156千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,239千元
　　減列 人事費3,568千元
　　減列 業務費1,653千元
　　減列 獎補助費18千元
　"
,,02,,"　　33193841300
　　地政業務","16,624","6,856","4,218","9,768",
,,,01,"　　　33193841302
　　　地價管理",554,706,443,-152,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費60千元
　　業務費494千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 152千元
　　減列 人事費40千元
　　減列 業務費112千元
　"
,,,02,"　　　33193841304
　　　地用管理",210,216,195,-6,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費210千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6千元
　　減列 業務費6千元
　"
,,,03,"　　　33193841307
　　　測量管理","14,221","4,501","2,996","9,720","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,102千元
　　業務費13,119千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,720千元
　　增列 人事費20千元
　　增列 業務費9,700千元
　"
,,,04,"　　　33193841309
　　　登記管理","1,639","1,433",584,206,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費29千元
　　業務費1,610千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 206千元
　　減列 人事費4千元
　　增列 業務費210千元
　"
,,03,,"　　33193849000
　　一般建築及設備","1,049","1,710","5,437",-661,
,,,01,"　　　33193849001
　　　一般建築及設
　　　備","1,049","1,710","5,437",-661,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,049千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 661千元
　　減列 設備及投資661千元
　"
