,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
04,,,,"00040000000
臺中市政府財政局主管","850,260","929,708","614,003","-79,448",
,001,,,"　00041500000
　臺中市政府財政局","850,260","929,708","614,003","-79,448",
,,01,,"　　34041500100
　　一般行政","126,263","127,999","112,142","-1,736",
,,,01,"　　　34041500101
　　　行政管理","126,263","127,999","112,142","-1,736","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費119,664千元
　　業務費6,359千元
　　獎補助費240千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,736千元
　　減列 人事費1,685千元
　　減列 業務費51千元
　"
,,02,,"　　34041500200
　　財政管理","38,911","38,766","36,221",145,
,,,01,"　　　34041500201
　　　電子資料處理","2,993","2,993","2,520",-,"一、本科目包括電子資料處理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,993千元
　"
,,,02,"　　　34041500202
　　　財務管理","1,792","1,791","2,579",1,"一、本科目包括財務管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費551千元
　　業務費1,241千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1千元
　　增列 人事費1千元
　"
,,,03,"　　　34041500203
　　　公用財產管理","1,020","1,020",845,-,"一、本科目包括公用財產管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費1,020千元
　"
,,,04,"　　　34041500204
　　　非公用財產管
　　　理","16,644","16,644","15,525",-,"一、本科目包括非公用財產管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費16,644千元
　"
,,,05,"　　　34041500205
　　　非公用財產開
　　　發","2,975","3,356","2,830",-381,"一、本科目包括非公用財產開發
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　業務費2,975千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 381千元
　　減列 業務費381千元
　"
,,,06,"　　　34041500206
　　　菸酒管理","8,121","7,594","7,217",527,"一、本科目包括菸酒管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,221千元
　　業務費6,900千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 527千元
　　增列 人事費2千元
　　增列 業務費525千元
　"
,,,07,"　　　34041500207
　　　集中支付業務","5,366","5,368","4,705",-2,"一、本科目包括集中支付業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費551千元
　　業務費4,815千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2千元
　　增列 人事費1千元
　　減列 業務費3千元
　"
,,03,,"　　34041507900
　　第一預備金",500,500,-,-,
,,,01,"　　　34041507901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,04,,"　　34041509000
　　一般建築及設備","4,586","2,443","12,232","2,143",
,,,01,"　　　34041509001
　　　一般建築及設
　　　備","4,586","2,443","12,232","2,143","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資4,586千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,143千元
　　增列 設備及投資2,143千元
　"
,,05,,"　　79041500100
　　債務付息","680,000","760,000","453,408","-80,000",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　79041500101
　　　債務付息","680,000","760,000","453,408","-80,000","一、本科目包括債務付息
　"
,,,,,,,,,"二、本年度預算數包括:
　　債務費680,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 80,000千元
　　減列 債務費80,000千元
　"
