,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
10,,,,"00100000000
臺中市政府農業局主管","2,973,747","2,340,079","2,167,981","633,668",
,001,,,"　00102100000
　臺中市政府農業局","2,692,965","2,116,261","1,979,598","576,704",
,,01,,"　　58102100100
　　一般行政","101,187","102,629","88,477","-1,442",
,,,01,"　　　58102100101
　　　行政管理","101,187","102,629","88,477","-1,442","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費92,979千元
　　業務費7,938千元
　　獎補助費270千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,442千元
　　減列 人事費1,358千元
　　減列 業務費102千元
　　增列 獎補助費18千元
　"
,,02,,"　　58102100200
　　農業管理與輔導
　　業務","1,129,576","542,702","516,184","586,874",
,,,01,"　　　58102100201
　　　農政及作物生
　　　產輔導","856,571","258,859","301,239","597,712","一、本科目包括農政及作物生產輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費163千元
　　業務費18,047千元
　　設備及投資0千元
　　獎補助費838,361千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 597,712千元
　　增列 人事費153千元
　　增列 業務費10,572千元
　　減列 設備及投資21,423千元
　　增列 獎補助費608,410千元
　"
,,,02,"　　　58102100202
　　　農會及休閒農
　　　業輔導","84,782","79,585","88,353","5,197","一、本科目包括農會及休閒農業輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,261千元
　　業務費16,458千元
　　獎補助費67,063千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,197千元
　　增列 人事費102千元
　　增列 業務費11,103千元
　　減列 獎補助費6,008千元
　"
,,,03,"　　　58102100203
　　　畜牧行政輔導","8,973","8,355","10,913",618,"一、本科目包括畜牧行政輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費571千元
　　業務費2,335千元
　　獎補助費6,067千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 618千元
　　增列 人事費1千元
　　增列 業務費507千元
　　增列 獎補助費110千元
　"
,,,04,"　　　58102100204
　　　農地利用與管
　　　理","4,858","4,377","12,006",481,"一、本科目包括農地利用與管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費571千元
　　業務費1,767千元
　　獎補助費2,520千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 481千元
　　增列 人事費1千元
　　增列 業務費478千元
　　增列 獎補助費2千元
　"
,,,05,"　　　58102100206
　　　農產運銷加工
　　　輔導","174,392","191,526","103,673","-17,134","一、本科目包括農產運銷加工輔導
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,301千元
　　業務費23,684千元
　　設備及投資100,000千元
　　獎補助費49,407千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 17,134千元
　　減列 人事費1,631千元
　　減列 業務費7,300千元
　　減列 設備及投資200千元
　　減列 獎補助費8,003千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,03,,"　　58102100300
　　林業與自然保育
　　管理業務","46,540","54,538","49,814","-7,998",
,,,01,"　　　58102100301
　　　林政與自然保
　　　育管理","46,540","54,538","49,814","-7,998","一、本科目包括林政與自然保育管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,101千元
　　業務費30,111千元
　　設備及投資8,750千元
　　獎補助費6,578千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 7,998千元
　　增列 人事費2千元
　　增列 業務費8,212千元
　　減列 設備及投資17,730千元
　　增列 獎補助費1,518千元
　"
,,04,,"　　58102107900
　　第一預備金","2,500","2,500",-,-,
,,,01,"　　　58102107901
　　　第一預備金","2,500","2,500",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金2,500千元
　"
,,05,,"　　58102109000
　　一般建築及設備",450,"1,180","1,093",-730,
,,,01,"　　　58102109001
　　　一般建築及設
　　　備",450,"1,180","1,093",-730,"一、本科目包括一般建築及設備
　"
