,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
09,,,,"00090000000
臺中市政府都市發展局主管","868,913","666,122","497,101","202,791",
,001,,,"　00092000000
　臺中市政府都市發
　展局","868,913","666,122","497,101","202,791",
,,01,,"　　59092000100
　　一般行政","246,294","252,555","196,808","-6,261",
,,,01,"　　　59092000101
　　　行政管理","242,624","246,973","195,412","-4,349","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費217,768千元
　　業務費24,676千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 4,349千元
　　減列 人事費4,086千元
　　減列 業務費263千元
　"
,,,02,"　　　59092000102
　　　充實經建業務
　　　設備","3,670","5,582","1,396","-1,912","一、本科目包括充實經建業務設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資3,670千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,912千元
　　減列 設備及投資1,912千元
　"
,,02,,"　　59092000400
　　都市發展","41,981","40,703","97,247","1,278",
,,,01,"　　　59092000401
　　　先期發展計畫","2,780","2,780","19,772",-,"一、本科目包括先期發展計畫
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費268千元
　　業務費2,512千元
　"
,,,02,"　　　59092000402
　　　城鄉計畫","2,561","2,611","37,890",-50,"一、本科目包括城鄉計畫
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費140千元
　　業務費2,421千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 50千元
　　減列 業務費50千元
　"
,,,03,"　　　59092000403
　　　都市設計","32,107","30,729","29,052","1,378","一、本科目包括都市設計
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費140千元
　　業務費31,967千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,378千元
　　增列 業務費1,378千元
　"
,,,04,"　　　59092000404
　　　都市更新","1,255","1,255","7,634",-,"一、本科目包括都市更新
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費112千元
　　業務費1,143千元
　"
,,,05,"　　　59092000405
　　　都計測量","3,278","3,328","2,899",-50,"一、本科目包括都計測量
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費125千元
　　業務費3,153千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 50千元
　　減列 業務費50千元
　"
,,03,,"　　59092000500
　　建管業務","579,638","371,864","203,046","207,774",
,,,01,"　　　59092000501
　　　都市修復","29,188","20,968","17,888","8,220","一、本科目包括都市修復
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費900千元
　　業務費28,288千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 8,220千元
　　增列 業務費8,220千元
　"
,,,02,"　　　59092000502
　　　建照審核及管
　　　理","5,231","5,281","6,533",-50,"一、本科目包括建照審核及管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費188千元
　　業務費5,043千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 50千元
　　減列 業務費50千元
　"
,,,03,"　　　59092000503
　　　營造及施工管
　　　理","3,570","2,736","6,297",834,"一、本科目包括營造及施工管理
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費192千元
　　業務費3,378千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 834千元
　　增列 業務費834千元
　"
,,,04,"　　　59092000504
　　　建築物安全檢
　　　查及使用管理","17,097","16,914","18,763",183,"一、本科目包括建築物安全檢查及使用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費9,251千元
　　業務費7,846千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 183千元
　　增列 人事費13千元
　　增列 業務費170千元
　"
,,,05,"　　　59092000505
　　　住屋管理","352,766","16,838","30,300","335,928","一、本科目包括住屋管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費447千元
　　業務費7,857千元
　　獎補助費344,462千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 335,928千元
　　增列 人事費217千元
　　減列 業務費1,771千元
　　增列 獎補助費337,482千元
　"
,,,06,"　　　59092000506
　　　招牌廣告物管
　　　理","11,391","14,491","7,832","-3,100","一、本科目包括招牌廣告物管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費320千元
　　業務費11,071千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,100千元
　　減列 業務費3,100千元
　"
,,,07,"　　　59092000507
　　　充實經建業務
　　　設備","160,395","294,636","115,433","-134,241","一、本科目包括充實經建業務設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資160,395千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 134,241千元
　　減列 設備及投資134,241千元
　"
,,04,,"　　59092007900
　　第一預備金","1,000","1,000",-,-,
,,,01,"　　　59092007901
　　　第一預備金","1,000","1,000",-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金1,000千元
　"
