,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","83,153","75,260","67,793","7,893",
,009,,,"　00193880000
　臺中市雅潭地政事
　務所","83,153","75,260","67,793","7,893",
,,01,,"　　33193880100
　　一般行政","66,209","67,142","62,348",-933,
,,,01,"　　　33193880101
　　　行政管理","66,209","67,142","62,348",-933,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56,778千元
　　業務費9,287千元
　　獎補助費144千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 933千元
　　減列 人事費1,023千元
　　增列 業務費60千元
　　增列 獎補助費30千元
　"
,,02,,"　　33193881300
　　地政業務","16,844","5,218","4,655","11,626",
,,,01,"　　　33193881302
　　　地價管理",246,300,172,-54,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費216千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 54千元
　　減列 人事費15千元
　　減列 業務費39千元
　"
,,,02,"　　　33193881304
　　　地用管理",54,54,66,-,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16千元
　　業務費38千元
　"
,,,03,"　　　33193881307
　　　測量管理","15,494","4,178","4,058","11,316","一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費596千元
　　業務費14,898千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 11,316千元
　　增列 人事費24千元
　　增列 業務費11,292千元
　"
,,,04,"　　　33193881309
　　　登記管理","1,050",686,359,364,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費39千元
　　業務費1,011千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 364千元
　　減列 人事費4千元
　　增列 業務費368千元
　"
,,03,,"　　33193889000
　　一般建築及設備",100,"2,900",790,"-2,800",
,,,01,"　　　33193889001
　　　一般建築及設
　　　備",100,"2,900",790,"-2,800","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,800千元
　　減列 設備及投資2,800千元
　"
