,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
款,項,目,節,名  稱  及  編  號,,,,,
,,,,,,,,,
19,,,,"00190000000
臺中市政府地政局主管","40,414","38,517","7,079","1,897",
,012,,,"　00193910000
　臺中市龍井地政事
　務所","40,414","38,517","7,079","1,897",
,,01,,"　　33193910100
　　一般行政","35,328","36,201","5,641",-873,
,,,01,"　　　33193910101
　　　行政管理","35,328","36,201","5,641",-873,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費27,694千元
　　業務費7,628千元
　　獎補助費6千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 873千元
　　減列 人事費1,248千元
　　增列 業務費381千元
　　減列 獎補助費6千元
　"
,,02,,"　　33193911300
　　地政業務","2,739","1,486",28,"1,253",
,,,01,"　　　33193911302
　　　地價管理",123,211,-,-88,"一、本科目包括地價管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費3千元
　　業務費120千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 88千元
　　減列 人事費10千元
　　減列 業務費78千元
　"
,,,02,"　　　33193911304
　　　地用管理",23,33,-,-10,"一、本科目包括地用管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費23千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 10千元
　　減列 業務費10千元
　"
,,,03,"　　　33193911307
　　　測量管理","1,571",788,28,783,"一、本科目包括測量管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費171千元
　　業務費1,400千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 783千元
　　增列 業務費783千元
　"
,,,04,"　　　33193911309
　　　登記管理","1,022",454,-,568,"一、本科目包括登記管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費32千元
　　業務費990千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 568千元
　　增列 人事費16千元
　　增列 業務費552千元
　"
,,03,,"　　33193919000
　　一般建築及設備","2,347",830,"1,410","1,517",
,,,01,"　　　33193919001
　　　一般建築及設
　　　備","2,347",830,"1,410","1,517","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資2,347千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,517千元
　　增列 設備及投資1,517千元
　"
