臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,,,,,,
,,,　　　　總　　　　　計　　　　,"161,824,522,621","158,544,077,387","167,504,327,527","3,280,445,234",
,,,,,,,,
,,,110000,,,,,
 1,,,政權行使支出,"812,700,799","830,526,821","742,450,213","-17,826,022",
,,,,,,,,
,,,　01101,,,,,
,   1,,　市議會,"812,700,799","830,526,821","742,450,213","-17,826,022",
,,,,,,,,
,,,　　110100,,,,,
,, 1,　　一般行政,"198,789,794","198,487,746","172,174,992","302,048",
,,,,,,,,
,,,　　110200,,,,,
,, 2,　　議事業務,"559,609,937","556,547,073","501,426,195","3,062,864",
,,,,,,,,
,,,　　113400,,,,,
,, 3,　　公共關係業務,"35,616,568","39,863,752","24,480,976","-4,247,184",
,,,,,,,,
,,,　　117100,,,,,
,, 4,　　建築及設備,"12,004,500","28,948,250","44,368,050","-16,943,750",
,,,,,,,,
,,,　　114100,,,,,
,, 5,　　第一預備金,"6,680,000","6,680,000",-,0,
,,,,,,,,
,,,120000,,,,,
 2,,,行政支出,"1,992,683,524","1,841,024,206","1,773,519,143","151,659,318",
,,,,,,,,
,,,　02101,,,,,
,   1,,　秘書處,"279,060,975","262,631,291","250,221,448","16,429,684",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"177,080,164","161,712,350","148,466,340","15,367,814",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　市政綜理業務,"62,588,827","62,600,287","62,824,734","-11,460",
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　聯合服務,"7,694,318","7,577,896","7,132,476","116,422",
,,,,,,,,
,,,　　123400,,,,,
,, 4,　　公共關係業務,"25,862,919","22,366,383","26,833,269","3,496,536",
,,,,,,,,
,,,　　127100,,,,,
,, 6,　　建築及設備,"1,934,747","4,474,375","4,964,629","-2,539,628",
,,,,,,,,
,,,　　124100,,,,,
,, 7,　　第一預備金,"3,900,000","3,900,000",-,0,
,,,,,,,,
,,,　02102,,,,,
,   2,,　市政大樓公共事務管理中心,"407,994,672","340,328,636","321,610,200","67,666,036",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"21,657,828","22,273,139","21,635,252","-615,311",
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,　　120200,,,,,
 2,   2, 2,　　市政大樓公管業務,"276,548,346","278,318,174","267,712,707","-1,769,828",
,,,,,,,,
,,,　　127100,,,,,
,, 3,　　建築及設備,"109,788,498","39,737,323","32,262,241","70,051,175",
,,,,,,,,
,,,　02103,,,,,
,   3,,　主計處,"163,788,786","163,969,756","164,881,193","-180,970",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"54,149,899","53,524,027","52,632,989","625,872",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　歲計會計業務,"54,685,977","53,853,431","52,597,750","832,546",
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　統計業務,"53,801,710","53,860,498","53,090,605","-58,788",
,,,,,,,,
,,,　　127100,,,,,
,, 4,　　建築及設備,"551,200","2,131,800","6,559,849","-1,580,600",
,,,,,,,,
,,,　　124100,,,,,
,, 5,　　第一預備金,"600,000","600,000",-,0,
,,,,,,,,
,,,　02104,,,,,
,   4,,　人事處,"128,974,354","132,393,090","133,466,249","-3,418,736",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"40,725,212","41,122,294","40,495,310","-397,082",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　組織及管理,"13,227,081","13,571,881","13,431,843","-344,800",
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　任免考試,"15,051,196","15,311,196","14,992,335","-260,000",
,,,,,,,,
,,,　　120400,,,,,
,, 4,　　考核訓練,"15,998,002","16,895,952","16,808,932","-897,950",
,,,,,,,,
,,,　　120500,,,,,
,, 5,　　待遇福利退休撫卹業務,"20,386,107","21,560,201","24,956,968","-1,174,094",
,,,,,,,,
,,,　　120600,,,,,
,, 6,　　人事資訊業務,"21,816,008","21,966,616","19,790,075","-150,608",
,,,,,,,,
,,,　　127100,,,,,
,, 7,　　建築及設備,"1,470,748","1,664,950","2,990,786","-194,202",
,,,,,,,,
,,,　　124100,,,,,
,, 8,　　第一預備金,"300,000","300,000",-,0,
,,,,,,,,
,,,　02105,,,,,
,   5,,　政風處,"70,981,278","69,561,933","66,582,157","1,419,345",
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,　　120100,,,,,
 2,   5, 1,　　一般行政,"27,872,503","25,107,549","24,080,913","2,764,954",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　政風組織及維護管理,"9,067,993","9,067,993","8,993,461",0,
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　端正政風,"15,954,820","16,654,820","15,602,325","-700,000",
,,,,,,,,
,,,　　120400,,,,,
,, 4,　　貪瀆預防,"17,393,279","17,457,288","17,251,101","-64,009",
,,,,,,,,
,,,　　127100,,,,,
,, 5,　　建築及設備,"492,683","1,074,283","654,357","-581,600",
,,,,,,,,
,,,　　124100,,,,,
,, 6,　　第一預備金,"200,000","200,000",-,0,
,,,,,,,,
,,,　02108,,,,,
,   6,,　研究發展考核委員會,"196,628,331","199,750,403","187,286,761","-3,122,072",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"27,190,702","27,462,479","26,417,501","-271,777",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　研究發展,"18,122,529","20,062,868","18,269,195","-1,940,339",
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　管制及考核,"15,518,619","16,429,090","14,095,219","-910,471",
,,,,,,,,
,,,　　120400,,,,,
,, 4,　　為民服務,"12,981,143","13,008,467","13,201,793","-27,324",
,,,,,,,,
,,,　　120500,,,,,
,, 5,　　市政資料管理,"8,656,524","8,802,736","8,323,045","-146,212",
,,,,,,,,
,,,　　120600,,,,,
,, 6,　　計畫作業,"17,020,026","17,991,669","14,641,189","-971,643",
,,,,,,,,
,,,　　120700,,,,,
,, 7,　　話務管理,"95,856,588","94,431,894","91,901,225","1,424,694",
,,,,,,,,
,,,　　127100,,,,,
,, 8,　　建築及設備,"482,200","761,200","437,594","-279,000",
,,,,,,,,
,,,　　124100,,,,,
,, 9,　　第一預備金,"800,000","800,000",-,0,
,,,,,,,,
,,,　23101,,,,,
,   7,,　資訊局,"593,871,787","518,547,633","503,935,103","75,324,154",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"28,892,770","29,011,760","24,595,782","-118,990",
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,　　120200,,,,,
 2,   7, 2,　　資訊管理業務,"494,201,685","428,031,785","425,701,143","66,169,900",
,,,,,,,,
,,,　　127100,,,,,
,, 3,　　建築及設備,"70,177,332","60,904,088","53,638,178","9,273,244",
,,,,,,,,
,,,　　124100,,,,,
,, 4,　　第一預備金,"600,000","600,000",-,0,
,,,,,,,,
,,,　24101,,,,,
,   8,,　法務局,"151,383,341","153,841,464","145,536,032","-2,458,123",
,,,,,,,,
,,,　　120100,,,,,
,, 1,　　一般行政,"36,208,395","35,673,343","35,227,590","535,052",
,,,,,,,,
,,,　　120200,,,,,
,, 2,　　訴願審議業務,"44,370,087","44,778,633","43,294,620","-408,546",
,,,,,,,,
,,,　　120300,,,,,
,, 3,　　法規業務,"32,444,339","33,967,339","33,507,158","-1,523,000",
,,,,,,,,
,,,　　120400,,,,,
,, 4,　　國家賠償業務,"2,108,635","2,073,535","1,748,190","35,100",
,,,,,,,,
,,,　　120500,,,,,
,, 5,　　消保業務,"24,384,217","25,409,580","21,683,455","-1,025,363",
,,,,,,,,
,,,　　120600,,,,,
,, 6,　　採購爭議處理,"10,060,497","10,050,497","8,757,180","10,000",
,,,,,,,,
,,,　　127100,,,,,
,, 7,　　建築及設備,"987,171","1,068,537","970,952","-81,366",
,,,,,,,,
,,,　　124100,,,,,
,, 8,　　第一預備金,"820,000","820,000",-,0,
,,,,,,,,
,,,　　123900,,,,,
,, 9,　　接受補助業務支出,-,-,"295,487",-,
,,,,,,,,
,,,　　128300,,,,,
,,10,　　接受補助建設支出,-,-,"51,400",-,
,,,,,,,,
,,,130000,,,,,
 3,,,民政支出,"8,924,330,862","9,313,961,625","9,128,477,892","-389,630,763",
,,,,,,,,
,,,　02112,,,,,
,   1,,　原住民族事務委員會,"231,986,321","215,406,799","187,567,391","16,579,522",
,,,,,,,,
,,,　　130100,,,,,
,, 1,　　一般行政,"12,442,370","12,856,287","12,418,276","-413,917",
,,,,,,,,
,,,　　130200,,,,,
,, 2,　　綜合企劃業務,"19,147,237","20,118,787","17,643,431","-971,550",
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,　　130300,,,,,
 3,   1, 3,　　原住民教育文化業務,"65,586,577","72,994,607","51,930,555","-7,408,030",
,,,,,,,,
,,,　　130400,,,,,
,, 4,　　原住民經濟建設業務,"22,661,003","28,541,030","19,747,344","-5,880,027",
,,,,,,,,
,,,　　130500,,,,,
,, 5,　　原住民社會福利業務,"90,163,014","73,356,073","72,446,908","16,806,941",
,,,,,,,,
,,,　　137100,,,,,
,, 6,　　建築及設備,"21,486,120","7,040,015","2,173,264","14,446,105",
,,,,,,,,
,,,　　134100,,,,,
,, 7,　　第一預備金,"500,000","500,000",-,0,
,,,,,,,,
,,,　　133900,,,,,
,, 8,　　接受補助業務支出,-,-,"10,307,613",-,
,,,,,,,,
,,,　　138300,,,,,
,, 9,　　接受補助建設支出,-,-,"900,000",-,
,,,,,,,,
,,,　02121,,,,,
,   2,,　松山區公所,"224,213,180","248,990,967","218,955,754","-24,777,787",
,,,,,,,,
,,,　　130100,,,,,
,, 1,　　一般行政,"44,645,917","44,734,435","44,561,500","-88,518",
,,,,,,,,
,,,　　132800,,,,,
,, 2,　　區政業務,"150,129,947","154,641,138","148,584,863","-4,511,191",
,,,,,,,,
,,,　　133900,,,,,
,, 3,　　接受補助業務支出,"8,939,328","448,500","1,048,500","8,490,828",
,,,,,,,,
,,,　　137100,,,,,
,, 4,　　建築及設備,"19,697,988","19,089,243","3,671,817","608,745",
,,,,,,,,
,,,　　134100,,,,,
,, 5,　　第一預備金,"800,000","800,000",-,0,
,,,,,,,,
,,,　　137500,,,,,
,, 6,　　道路橋樑工程,-,"29,277,651","21,089,074","-29,277,651",
,,,,,,,,
,,,　02122,,,,,
,   3,,　信義區公所,"231,606,863","259,616,726","254,492,311","-28,009,863",
,,,,,,,,
,,,　　130100,,,,,
,, 1,　　一般行政,"49,385,953","49,357,420","49,139,968","28,533",
,,,,,,,,
,,,　　132800,,,,,
,, 2,　　區政業務,"166,103,407","167,988,416","162,091,970","-1,885,009",
,,,,,,,,
,,,　　133900,,,,,
,, 3,　　接受補助業務支出,"448,500","448,500","394,376",0,
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
科目,,,,本年度預算數,上年度預算數,前年度決算數,"本  年 度 與
上年度比較",
款,項,目,名稱及編號,,,,,
,,,　　137100,,,,,
 3,   3, 4,　　建築及設備,"14,869,003","2,789,315","7,478,088","12,079,688",
,,,,,,,,
,,,　　134100,,,,,
,, 5,　　第一預備金,"800,000","800,000",-,0,
,,,,,,,,
,,,　　137500,,,,,
,, 6,　　道路橋樑工程,-,"38,233,075","35,387,909","-38,233,075",
,,,,,,,,
,,,　02123,,,,,
,   4,,　大安區公所,"253,647,323","299,385,480","297,486,330","-45,738,157",
,,,,,,,,
,,,　　130100,,,,,
,, 1,　　一般行政,"54,345,759","56,007,396","55,890,091","-1,661,637",
,,,,,,,,
,,,　　132800,,,,,
,, 2,　　區政業務,"195,752,490","199,134,385","193,779,586","-3,381,895",
,,,,,,,,
,,,　　133900,,,,,
,, 3,　　接受補助業務支出,"448,500","448,500","448,500",0,
,,,,,,,,
,,,　　137100,,,,,
,, 4,　　建築及設備,"2,300,574","1,968,808","5,736,770","331,766",
,,,,,,,,
,,,　　134100,,,,,
,, 5,　　第一預備金,"800,000","800,000",-,0,
,,,,,,,,
,,,　　137500,,,,,
,, 6,　　道路橋樑工程,-,"41,026,391","41,631,383","-41,026,391",
,,,,,,,,
,,,　02124,,,,,
,   5,,　中山區公所,"239,732,533","260,845,549","255,047,246","-21,113,016",
,,,,,,,,
,,,　　130100,,,,,
,, 1,　　一般行政,"51,989,129","51,917,587","52,269,499","71,542",
,,,,,,,,
,,,　　132800,,,,,
,, 2,　　區政業務,"166,786,467","170,414,339","164,676,446","-3,627,872",
,,,,,,,,
,,,　　133900,,,,,
,, 3,　　接受補助業務支出,"13,597,348","448,500","448,500","13,148,848",
,,,,,,,,
,,,　　137100,,,,,
,, 4,　　建築及設備,"6,559,589","7,600,662","8,962,868","-1,041,073",
,,,,,,,,
,,,　　134100,,,,,
,, 5,　　第一預備金,"800,000","800,000",-,0,
,,,,,,,,
,,,　　137500,,,,,
,, 6,　　道路橋樑工程,-,"29,664,461","28,689,933","-29,664,461",
,,,,,,,,
,,,　02125,,,,,
,   6,,　中正區公所,"206,057,425","209,686,407","195,985,402","-3,628,982",
,,,,,,,,
臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出政事別預算表,,,,,,,,
　　　　　　　　　　　,,,,,,,,
中華民國105年度,,,,,,,,
