臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,01000,,,,,
 1,,,,市議會主管,"812,700,799","830,526,821","-17,826,022",,
,,,,,,,,,
,,,,　01101,,,,,
,   1,,,　市議會,"812,700,799","830,526,821","-17,826,022",,
,,,,,,,,,
,,,,　　110100,,,,,
,, 1,,　　一般行政,"198,789,794","198,487,746","302,048",,
,,,,,,,,,
,,,,　　　110101,,,,,
,,, 1,　　　行政管理,"198,789,794","198,487,746","302,048",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 77,878,032元，較",
,,,,,,,,"  上年度預算數 75,447,876元增",
,,,,,,,,"  列 2,430,156元，主要係依標準",
,,,,,,,,  伸算所致。,
,,,,,,,,"2.一般業務 4,567,320元，較上年",
,,,,,,,,"  度預算數 5,723,400元減列 1",
,,,,,,,,"  ,156,080元，包括增列赴外縣市",
,,,,,,,,"  考察業務聯繫旅費 15,000元，",
,,,,,,,,"  減列正、副議長特別費等 1,171",
,,,,,,,,"  ,080元，計淨減如列數。",
,,,,,,,,"3.會計業務 48,500元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 42,602,728元，較上",
,,,,,,,,"  年度預算數 43,162,278元減列",
,,,,,,,,"  559,550元，包括增列員工文康",
,,,,,,,,"  活動費等 165,850元，減列議員",
,,,,,,,,  參加全民健保之機關部分負擔費,
,,,,,,,,"  用等 725,400元，計淨減如列數",
,,,,,,,,  。,
,,,,,,,,"5.秘書業務 438,000元，較上年度",
,,,,,,,,"  預算數 447,600元減列國父紀念",
,,,,,,,,"  月會學者專家鐘點費 9,600元。",
,,,,,,,,"6.總務業務 56,897,644元，較上",
,,,,,,,,"  年度預算數 56,975,522元減列",
,,,,,,,,"  77,878元，包括新增服務人員制",
,,,,,,,,"  服(2年1編)等 244,000元，增列",
,,,,,,,,"  大樓清潔維持費等 850,383元，",
,,,,,,,,"  減列員工上下班交通費等 1,172",
,,,,,,,,"  ,261元，計淨減如列數。",
,,,,,,,,"7.財產保養 16,357,570元，較上",
,,,,,,,,"  年度預算數 16,682,570元減列",
,,,,,,,,"  電梯保養維修費 325,000元。",
,,,,　　110200,,,,,
,, 2,,　　議事業務,"559,609,937","556,547,073","3,062,864",,
,,,,,,,,,
,,,,　　　110201,,,,,
,,, 1,　　　大會議事工作,"104,793,610","106,143,610","-1,350,000",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.召開定期大會 66,767,550元，",
,,,,,,,,  較上年度預算數無增減。,
,,,,,,,,"2.召開臨時大會 30,101,600元，",
,,,,,,,,  較上年度預算數無增減。,
,,,,,,,,"3.文書組業務 7,924,460元，較上",
,,,,,,,,"  年度預算數 9,274,460元減列代",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 1,   1, 2, 1,,,,,"  書酬酢品按件計酬工資 1,350",
,,,,,,,,"  ,000元。",
,,,,　　　110202,,,,,
,,, 2,　　　經常議事工作,"454,816,327","450,403,463","4,412,864",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 199,561,831元，較",
,,,,,,,,"  上年度預算數 194,778,055元增",
,,,,,,,,"  列 4,783,776元，主要係增列臨",
,,,,,,,,  時工退休準備金(含舊制年資結,
,,,,,,,,  清)及減少臨編專員1人所致。,
,,,,,,,,"2.業務管理 206,919,000元，較上",
,,,,,,,,"  年度預算數 207,255,000元減列",
,,,,,,,,"  黨團補助費 336,000元。",
,,,,,,,,"3.考察及調查 12,633,200元，較",
,,,,,,,,"  上年度預算數 12,621,200元增",
,,,,,,,,"  列 12,000元，包括增列各委員",
,,,,,,,,  會及有關人員赴外縣市考察訪問,
,,,,,,,,"  旅費 12,600元，減列議長、副",
,,,,,,,,  議長赴外縣市考察訪問旅費600,
,,,,,,,,  元，計淨增如列數。,
,,,,,,,,"4.議事刊務 16,035,000元，較上",
,,,,,,,,"  年度預算數 16,135,000元減列",
,,,,,,,,  議事錄印刷及光碟片製作費 100,
,,,,,,,,"  ,000元。",
,,,,,,,,"5.法制研究 198,000元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"6.資訊業務 19,469,296元，較上",
,,,,,,,,"  年度預算數 19,416,208元增列",
,,,,,,,,"  53,088元，包括增列政府網際服",
,,,,,,,,"  務網固接專線費等 263,088元，",
,,,,,,,,  減列主辦全國立法機關資訊圖書,
,,,,,,,,"  人員聯席會等 210,000元，計淨",
,,,,,,,,  增如列數。,
,,,,　　113400,,,,,
,, 3,,　　公共關係業務,"35,616,568","39,863,752","-4,247,184",,
,,,,,,,,,
,,,,　　　113401,,,,,
,,, 1,　　　公共關係,"35,616,568","39,863,752","-4,247,184",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 6,527,568元，較上",
,,,,,,,,"  年度預算數 7,999,752元減列 1",
,,,,,,,,"  ,472,184元，主要係減少臨編專",
,,,,,,,,  門委員1人所致。,
,,,,,,,,"2.公共聯繫 29,089,000元，較上",
,,,,,,,,"  年度預算數 31,864,000元減列",
,,,,,,,,"  2,775,000元，包括增列歷屆議",
,,,,,,,,  員活動傳統負片資料數位化保存,
,,,,,,,,"  (61年2月起至94年8月) 175,000",
,,,,,,,,  元，減列第12屆議會多媒體簡報,
,,,,,,,,"  更新製作等 2,950,000元，計淨",
,,,,,,,,  減如列數。,
,,,,　　117100,,,,,
,, 4,,　　建築及設備,"12,004,500","28,948,250","-16,943,750",,
,,,,,,,,,
,,,,　　　117104,,,,,
,,, 1,　　　其他設備,"12,004,500","18,822,250","-6,817,750",本年度編列汰換研究室桌上型電腦,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 1,   1, 4, 1,,,,,135臺、Mac筆記型電腦、頻寬管理,
,,,,,,,,器、網域名稱伺服器安全防護系統,
,,,,,,,,、伺服器備援系統、遠端應用程式,
,,,,,,,,服務平台、遠端應用程式服務平台,
,,,,,,,,伺服器、UPS電池組更換、中外圖,
,,,,,,,,書及數位媒體、NIKONSB910閃光燈,
,,,,,,,,、中央監控控制器主機汰換、各項,
,,,,,,,,辦公廳舍調整設備、專業大型防潮,
,,,,,,,,櫃、錄影設備UPS電池組更換、訓,
,,,,,,,,練教室廣播教學設備等，共計如列,
,,,,,,,,數。,
,,,,　　　117102,,,,,
,,, 2,　　　營建工程,-,"10,126,000","-10,126,000",上年度預算數係電梯升降(含鋼索,
,,,,,,,,、馬達、車箱、內外門汰換)及議,
,,,,,,,,事頻道數位轉播設備更新。,
,,,,　　114100,,,,,
,, 5,,　　第一預備金,"6,680,000","6,680,000",0,,
,,,,,,,,,
,,,,　　　114101,,,,,
,,, 1,　　　第一預備金,"6,680,000","6,680,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
