臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,13000,,,,,
13,,,,環境保護局主管,"6,775,154,208","6,501,270,993","273,883,215",,
,,,,,,,,,
,,,,　13101,,,,,
,   1,,,　環境保護局,"5,662,676,375","5,440,379,024","222,297,351",,
,,,,,,,,,
,,,,　　520100,,,,,
,, 1,,　　一般行政,"174,528,354","185,876,799","-11,348,445",,
,,,,,,,,,
,,,,　　　520101,,,,,
,,, 1,　　　行政管理,"174,528,354","185,876,799","-11,348,445",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 82,780,878元，較",
,,,,,,,,"  上年度預算數 83,271,798元減",
,,,,,,,,"  列 490,920元，主要係依實際需",
,,,,,,,,  要覈實減列所致。,
,,,,,,,,"2.一般業務 78,777,104元，較上",
,,,,,,,,"  年度預算數 91,817,086元減列",
,,,,,,,,"  13,039,982元，包括新增公務車",
,,,,,,,,"  輛急救箱藥品補充 8,100元，增",
,,,,,,,,"  列窗型冷氣機養護費 6,285 元",
,,,,,,,,  ，減列員工上下班交通費、統籌,
,,,,,,,,  業務費、室內空氣品質管理專責,
,,,,,,,,  人員考照訓練費、小客車使用牌,
,,,,,,,,  照稅、油料、燃料使用費、保險,
,,,,,,,,  費、汰換主管及職員辦公桌等,
,,,,,,,,"   13,054,367元，計淨減如列數",
,,,,,,,,  。,
,,,,,,,,"3.會計業務 293,360元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 10,643,647元，較上",
,,,,,,,,"  年度預算數 6,530,347元增列員",
,,,,,,,,"  工文康活動費 4,113,300元。",
,,,,,,,,"5.政風業務 200,000元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"6.研考業務 228,465元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"7.資訊業務 1,604,900元，較上年",
,,,,,,,,"  度預算數 3,535,743元減列電腦",
,,,,,,,,"  設備及軟體維護費 1,930,843元",
,,,,,,,,  。,
,,,,　　520200,,,,,
,, 2,,　　公害防治,"138,101,173","132,579,047","5,522,126",,
,,,,,,,,,
,,,,　　　520201,,,,,
,,, 1,　　　空氣噪音振動管制,"23,408,909","18,684,443","4,724,466",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 14,999,652元，較",
,,,,,,,,"  上年度預算數 15,018,024元減",
,,,,,,,,"  列 18,372元主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,"2.空氣污染防制 222,000元，較上",
,,,,,,,,  年度預算數無增減。,
,,,,,,,,"3.噪音及振動管制 4,669,780元，",
,,,,,,,,"  較上年度預算數 3,096,942元增",
,,,,,,,,"  列 1,572,838元，包括增列客貨",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
13,   1, 2, 1,,,,,  兩用車檢驗執照費、振動陳情案,
,,,,,,,,  調查及管制標準之研擬計畫 1,
,,,,,,,,"  ,950,450元，減列2年1編繪製航",
,,,,,,,,  空噪音防制區及噪音管制區圖暨,
,,,,,,,,"  油料 377,612元，計淨增如列數",
,,,,,,,,  。,
,,,,,,,,"4.輻射檢測 3,517,477元，較上年",
,,,,,,,,"  度預算數 347,477元，新增光害",
,,,,,,,,  污染現況調查及改善推展計畫、,
,,,,,,,,  臺北市輻射災害應變與防護深耕,
,,,,,,,,  計畫、8站輻射儀維護及校正費,
,,,,,,,,"  等 3,170,000元。",
,,,,　　　520202,,,,,
,,, 2,　　　水污染防治及病媒環,"85,121,295","82,440,023","2,681,272",本年度預算數之內容與上年度之比,
,,,,　　　藥毒化物管制,,,,較如下：,
,,,,,,,,"1.人員維持費 59,059,344元，較",
,,,,,,,,"  上年度預算數 57,552,888元增",
,,,,,,,,"  列 1,506,456元，主要係依標準",
,,,,,,,,  伸算所致。,
,,,,,,,,"2.水污染防治及飲用水管理 8,383",
,,,,,,,,"  ,766元，較上年度預算數無增減",
,,,,,,,,  。,
,,,,,,,,"3.病媒管制 17,508,123元，較上",
,,,,,,,,"  年度預算數 16,333,307元增列",
,,,,,,,,"  1,174,816元，包括新增環境噴",
,,,,,,,,  藥人員用急救藥箱藥品補充、環,
,,,,,,,,  境噴藥人員防滑雨鞋、衣、滅火,
,,,,,,,,"  機換藥(2年1編)等 106,050元，",
,,,,,,,,  增列清潔獎金及車輛保險費 1,
,,,,,,,,"  ,639,990元，減列消毒車使用牌",
,,,,,,,,  照稅、燃料使用費暨檢驗費、油,
,,,,,,,,  料及2年1編環境噴藥人員安全膠,
,,,,,,,,  盔及3年1編環境噴藥人員用急救,
,,,,,,,,"  藥箱等 571,224元，計淨增如列",
,,,,,,,,  數。,
,,,,,,,,"4.毒性化學物質管制 116,274元，",
,,,,,,,,  較上年度預算數無增減。,
,,,,,,,,"5.環境用藥管理 53,788元，較上",
,,,,,,,,  年度預算數無增減。,
,,,,　　　520203,,,,,
,,, 3,　　　環境檢驗監測暨環評,"29,570,969","31,454,581","-1,883,612",本年度預算數之內容與上年度之比,
,,,,　　　、永續發展業務,,,,較如下：,
,,,,,,,,"1.人員維持費 21,071,070元，較",
,,,,,,,,"  上年度預算數 23,049,798元減",
,,,,,,,,"  列 1,978,728元，，主要係減列",
,,,,,,,,  職員1人及依實際需要覈實減列,
,,,,,,,,  所致。,
,,,,,,,,"2.檢驗及監測業務 6,297,045元，",
,,,,,,,,"  較上年度預算數 6,241,929元增",
,,,,,,,,"  列 55,116元，包括新增實驗室",
,,,,,,,,  認證展延費(含評鑑費、文件審,
,,,,,,,,"  查及證書費等)(3年1編) 84,200",
,,,,,,,,  元，增列客貨兩車檢驗執照費及,
,,,,,,,,"  保險費 20,775元，減列汰換數",
,,,,,,,,"  位相機及油料 49,859元，計淨",
,,,,,,,,  增如列數。,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
13,   1, 2, 3,,,,,"3.環境影響評估 1,782,854元，較",
,,,,,,,,"  上年度預算數 1,264,854元增列",
,,,,,,,,"   518,000元，包括新增環境影響",
,,,,,,,,  評估案件預審會議外聘委員、專,
,,,,,,,,"  家學者出席費 120,000元，增列",
,,,,,,,,  臺北市政府環境影響評估委員會,
,,,,,,,,  及監督外聘委員、專家學者出席,
,,,,,,,,"  及審查費 398,000元，共增如列",
,,,,,,,,  數。,
,,,,,,,,"4.永續發展 420,000元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,5.菸品查緝配合業務(財政部補助,
,,,,,,,,  辦0元，較上年度預算數 478,
,,,,,,,,"  ,000元減列菸品查緝配合業務",
,,,,,,,,"   478,000元。",
,,,,　　520300,,,,,
,, 3,,　　垃圾處理與清潔維持,"4,661,755,990","4,465,499,550","196,256,440",,
,,,,,,,,,
,,,,　　　520301,,,,,
,,, 1,　　　垃圾清運暨環境清潔,"4,247,481,369","4,066,234,074","181,247,295",本年度預算數之內容與上年度之比,
,,,,　　　維護,,,,較如下：,
,,,,,,,,"1.人員維持費 3,058,930,869元，",
,,,,,,,,"  較上年度預算數 2,963,376,546",
,,,,,,,,"  元增列 95,554,323元，主要係",
,,,,,,,,  增加職工20人及增加53人職工退,
,,,,,,,,  休退職給付所致。,
,,,,,,,,"2.家戶垃圾清運 428,889,312元，",
,,,,,,,,"  較上年度預算數 384,388,629元",
,,,,,,,,"  增列 44,500,683元，包括新增",
,,,,,,,,  垃圾車、回收車急救藥箱藥品補,
,,,,,,,,  充、駕駛、隊員反光警示雨衣、,
,,,,,,,,  防滑雨鞋、隊員工地安全帽、卡,
,,,,,,,,  車用尼龍網狀蓋（小）（2年1編,
,,,,,,,,"  )等 2,932,490元，增列清潔獎",
,,,,,,,,  金、車輛稅捐及規費、保險費及,
,,,,,,,,  補助一般廢棄物清除處理基金汰,
,,,,,,,,"  換垃圾車等 66,659,031元，減",
,,,,,,,,  列油料、隊員、駕駛安全鞋（2,
,,,,,,,,  年1編）、垃圾車、回收車急救,
,,,,,,,,  藥箱(3年1編)、回收轉運站使用,
,,,,,,,,"  手電筒等 25,090,838元，計淨",
,,,,,,,,  增如列數。,
,,,,,,,,"3.大型廢棄物清運 53,904,370元",
,,,,,,,,"  ，較上年度預算數 49,212,810",
,,,,,,,,"  元增列 4,691,560元，包括新增",
,,,,,,,,  垃圾車、回收車急救藥箱藥品補,
,,,,,,,,  充、駕駛、隊員反光警示雨衣、,
,,,,,,,,  防滑雨鞋、隊員工地安全帽、卡,
,,,,,,,,  車用帆布蓋、卡車用尼龍網狀蓋,
,,,,,,,,"  (大)（2年1編)等 609,060元，",
,,,,,,,,  增列清潔獎金、卡車稅捐及規費,
,,,,,,,,"  及保險費等 6,347,358元，減列",
,,,,,,,,  油料、隊員、駕駛安全鞋（2年1,
,,,,,,,,  編）、垃圾車、回收車急救藥箱,
,,,,,,,,"  (3年1編)等 2,264,858元，計淨",
,,,,,,,,  增如列數。,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
13,   1, 3, 1,,,,,"4.街道清掃維護業務 498,252,656",
,,,,,,,,"  元，較上年度預算數 483,005",
,,,,,,,,"  ,995元增列 15,246,661元，包",
,,,,,,,,  括新增垃圾車、回收車急救藥箱,
,,,,,,,,  藥品補充、駕駛、隊員反光警示,
,,,,,,,,  雨衣、防滑雨鞋（2年1編）等 4,
,,,,,,,,"  ,228,140元，增列清潔獎金、水",
,,,,,,,,  車稅捐及規費、保險費及隊員、,
,,,,,,,,  市民臨時工清掃用無柄竹帚等,
,,,,,,,,"   48,126,788元，減列油料、隊",
,,,,,,,,  員、駕駛安全鞋（2年1編）、垃,
,,,,,,,,  圾車、回收車急救藥箱(3年1編),
,,,,,,,,  、行人專用清潔箱及掃路用清潔,
,,,,,,,,  袋、勞工保險給付損失補償等,
,,,,,,,,"   37,108,267元，計淨增如列數",
,,,,,,,,  。,
,,,,,,,,"5.溝渠清疏業務 119,247,435元，",
,,,,,,,,"  較上年度預算數 106,716,994元",
,,,,,,,,"  增列 12,530,441元，包括新增",
,,,,,,,,  垃圾車、回收車急救藥箱藥品補,
,,,,,,,,  充駕駛、隊員反光警示雨衣、防,
,,,,,,,,"  滑雨鞋（2年1編）等 984,750元",
,,,,,,,,  ，增列清潔獎金、吸泥車稅捐及,
,,,,,,,,"  規費、車輛保險費等 14,601",
,,,,,,,,"  ,795元，減列油料、隊員、駕駛",
,,,,,,,,  安全鞋、安全帽（2年1編）、垃,
,,,,,,,,  圾車、回收車急救藥箱(3年1編),
,,,,,,,,"  等 3,056,104元，計淨增如列數",
,,,,,,,,  。,
,,,,,,,,"6.小廣告清除業務 12,241,086元",
,,,,,,,,"  ，較上年度預算數 10,719,956",
,,,,,,,,"  元增列 1,521,130元，包括新增",
,,,,,,,,  垃圾車、回收車急救藥箱藥品補,
,,,,,,,,  充、駕駛、隊員反光警示雨衣、,
,,,,,,,,"  防滑雨鞋（2年1編）等 107,520",
,,,,,,,,  元，增列清潔獎金、車輛保險費,
,,,,,,,,"  等 1,512,470元，減列油料、隊",
,,,,,,,,  員、駕駛安全鞋（2年1編）、垃,
,,,,,,,,  圾車、回收車急救藥箱 (3年1編,
,,,,,,,,"  )等 98,860元，計淨增如列數。",
,,,,,,,,7.廢車查報及其他環境清潔維護業,
,,,,,,,,"  務 38,150,671元，較上年度預",
,,,,,,,,"  算數 33,213,340元增列 4,937",
,,,,,,,,"  ,331元，包括新增垃圾車、回收",
,,,,,,,,  車急救藥箱藥品補充、駕駛、隊,
,,,,,,,,  員反光警示雨衣、防滑雨鞋（2,
,,,,,,,,"  年1編）等 486,420元，增列清",
,,,,,,,,  潔獎金、車輛保險費、挖土機等,
,,,,,,,,  機械年度安檢費暨修車廠移撥等,
,,,,,,,,"   5,637,171元，減列油料、隊員",
,,,,,,,,  、駕駛安全鞋（2年1編）、垃圾,
,,,,,,,,  車、回收車急救藥箱(3年1編)、,
,,,,,,,,  查詢疑似廢棄機汽車車籍資料費,
,,,,,,,,"  等 1,186,260元，計淨增如列數",
,,,,,,,,  。,
,,,,,,,,8.垃圾清運暨環境清潔維護業務管,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
