臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,19000,,,,,
19,,,,地政局主管,"1,181,300,759","1,168,713,063","12,587,696",,
,,,,,,,,,
,,,,　19101,,,,,
,   1,,,　地政局,"369,893,432","363,095,781","6,797,651",,
,,,,,,,,,
,,,,　　130100,,,,,
,, 1,,　　一般行政,"88,430,906","82,209,537","6,221,369",,
,,,,,,,,,
,,,,　　　130101,,,,,
,,, 1,　　　行政管理,"88,430,906","82,209,537","6,221,369",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 80,889,740元，較",
,,,,,,,,"  上年度預算數 74,015,514元增",
,,,,,,,,"  列 6,874,226元，主要係增列職",
,,,,,,,,  工4人退職金、依標準伸算及因,
,,,,,,,,  應勞動基準法第56條修法增加提,
,,,,,,,,  撥職工退休離職儲金所致。,
,,,,,,,,"2.一般業務 6,507,025元，較上年",
,,,,,,,,"  度預算數 7,278,662元減列 771",
,,,,,,,,"  ,637元，包括新增印製地政常用",
,,,,,,,,  法規彙編及役男返鄉旅費等 121,
,,,,,,,,"  ,400元，增列加班費、公文封套",
,,,,,,,,  、辦理地政業務相關會議文宣及,
,,,,,,,,  活動、地政研考及相關便民服務,
,,,,,,,,  業務、地政專業教育訓練相關作,
,,,,,,,,"  業等 498,240元，減列上下班交",
,,,,,,,,  通費、統籌業務費、公務車稅捐,
,,,,,,,,  、規費、保險費、油料及養護費,
,,,,,,,,  、配合辦公室整修購置辦公傢俱,
,,,,,,,,  用品及製作地政業務年報之電子,
,,,,,,,,"  出版品等 1,391,277元，計淨減",
,,,,,,,,  如列數。,
,,,,,,,,"3.會計業務 293,153元，較上年度",
,,,,,,,,"  預算數 303,883元減列加班費及",
,,,,,,,,  印製各種會計帳簿書冊等 10,
,,,,,,,,"  ,730元。",
,,,,,,,,"4.人事業務 601,861元，較上年度",
,,,,,,,,"  預算數 466,801元增列文康活動",
,,,,,,,,"  費 135,060元。",
,,,,,,,,"5.政風業務 139,127元，較上年度",
,,,,,,,,"  預算數 144,677元減列加班費 5",
,,,,,,,,"  ,550元。",
,,,,　　130900,,,,,
,, 2,,　　地政業務,"273,353,071","271,242,266","2,110,805",,
,,,,,,,,,
,,,,　　　130901,,,,,
,,, 1,　　　實施平均地權與不動,"273,353,071","271,242,266","2,110,805",1.本科目係由上年度「資訊處理」,
,,,,　　　產管理,,,,  、「土地登記測量管理」、「實,
,,,,,,,,  施平均地權」、「公地、農地及,
,,,,,,,,  不動產交易管理」、「公共設施,
,,,,,,,,  用地徵撥及調查管理」及「國土,
,,,,,,,,  開發」等科目合併改設。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 112,694,020元，",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
19,   1, 2, 1,,,,,"    較上年度預算數 111,488,818",
,,,,,,,,"    元增列 1,205,202元，主要係",
,,,,,,,,    依標準伸算所致。,
,,,,,,,," (2)資訊處理 12,591,468元，較",
,,,,,,,,"    上年度預算數 12,158,031元",
,,,,,,,,"    增列 433,437元，包括新增介",
,,,,,,,,    接數位印鑑比對服務數據(E1),
,,,,,,,,    專線、GSN上網及設定等、地,
,,,,,,,,    政知識管理系統維護暨功能擴,
,,,,,,,,    增服務費及電子文件訂閱系統,
,,,,,,,,    維護暨功能擴增服務費 864,
,,,,,,,,"    ,512元，增列編製地政資訊相",
,,,,,,,,"    關書表資料 78,360元，減列",
,,,,,,,,    加班費、電腦耗材、辦理臺北,
,,,,,,,,    市建物測量成果圖數化作業,
,,,,,,,,"     509,435元，計淨增如列數。",
,,,,,,,," (3)土地登記管理 1,284,393元，",
,,,,,,,,"    較上年度預算數 1,897,531元",
,,,,,,,,"    減列 613,138元，除其中地籍",
,,,,,,,,"    清理獎金 783,433元依地籍清",
,,,,,,,,    理條例第14條、地籍清理獎金,
,,,,,,,,    分配及核發辦法第2條及第6條,
,,,,,,,,    之規定由其他雜項收入撥充支,
,,,,,,,,"    應，減列 645,188元外，其餘",
,,,,,,,,    包括增列製作各種土地登記參,
,,,,,,,,    考冊輯、講習及為民服務宣導,
,,,,,,,,    資料、建置土地登記資料及資,
,,,,,,,,"    料數位化等 45,000元，減列",
,,,,,,,,"    加班費 12,950元，計淨減如",
,,,,,,,,    列數。,
,,,,,,,," (4)土地測量管理 221,016元，較",
,,,,,,,,"    上年度預算數 178,976元增列",
,,,,,,,,"     42,040元，包括增列製作各",
,,,,,,,,    種地籍測量參考冊輯、宣導及,
,,,,,,,,    講習資料、建置測量資料及資,
,,,,,,,,"    料數位化等 45,000元，減列",
,,,,,,,,"    加班費 2,960元，計淨增如列",
,,,,,,,,    數。,
,,,,,,,," (5)地籍清理行政處理 1,443,644",
,,,,,,,,    元，依地籍清理條例第14條規,
,,,,,,,,    定由其他雜項收入撥充支應，,
,,,,,,,,"    較上年度預算數 1,437,480元",
,,,,,,,,"    增列 6,164元，包括新增地籍",
,,,,,,,,"    清理業務訴訟費用 5,000元，",
,,,,,,,,    增列協助辦理地籍清理相關業,
,,,,,,,,"    務之臨時人員酬金 1,164元，",
,,,,,,,,    共增如列數。,
,,,,,,,, (6)土地及建物登記賠償準備 137,
,,,,,,,,"    ,000,000元，較上年度預算數",
,,,,,,,,"     140,000,000元減列 3,000",
,,,,,,,,"    ,000元，係隨同各地政事務所",
,,,,,,,,    登記費收入減少調整所致。,
,,,,,,,," (7)規定地價管理 497,350元，較",
,,,,,,,,"    上年度預算數 514,000元減列",
,,,,,,,,"    加班費 16,650元。",
,,,,,,,," (8)執行漲價歸公 4,710,912元，",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
19,   1, 2, 1,,,,,"    較上年度預算數 1,499,452元",
,,,,,,,,"    增列 3,211,460元，包括新增",
,,,,,,,,    委託辦理地價冊掃描建檔 2,
,,,,,,,,"    ,668,800元，增列電話傳真機",
,,,,,,,,    碳粉匣、委託不動產估價師辦,
,,,,,,,,    理基準地選定及查估作業、委,
,,,,,,,,    託編製不動產價格指數、印製,
,,,,,,,,    買賣(收益)實例估價報告表、,
,,,,,,,,    地價區段勘查表、建置地價資,
,,,,,,,,    料及資料數位化、都市計畫套,
,,,,,,,,    繪圖、地形圖、地籍圖、地價,
,,,,,,,,    區段圖複製費、地價區段圖縮,
,,,,,,,,    繪和輸出費用及地價業務訴訟,
,,,,,,,,"    費用等 588,000元，減列加班",
,,,,,,,,    費、外勤誤餐及交通費等 45,
,,,,,,,,"    ,340元，計淨增如列數。",
,,,,,,,," (9)不動產估價師管理 121,240元",
,,,,,,,,"    ，較上年度預算數 117,620元",
,,,,,,,,"    增列 3,620元，包括增列舉辦",
,,,,,,,,    不動產估價師座談會相關費用,
,,,,,,,,"     5,100元，減列加班費 1,480",
,,,,,,,,    元，計淨增如列數。,
,,,,,,,," (10)公地農地管理 504,669元，",
,,,,,,,,"     較上年度預算數 418,989元",
,,,,,,,,"     增列 85,680元，包括新增委",
,,,,,,,,     託辦理本市區公所保管之私,
,,,,,,,,     有耕地三七五租約副本掃描,
,,,,,,,,"     建檔 99,000元，減列加班費",
,,,,,,,,"      13,320元，計淨增如列數。",
,,,,,,,," (11)不動產交易管理 733,470元",
,,,,,,,,"     ，較上年度預算數 653,830",
,,,,,,,,"     元增列 79,640元，包括增列",
,,,,,,,,     辦理不動產交易安全宣導活,
,,,,,,,,     動、印製宣導資料及資料數,
,,,,,,,,"     位化 90,000元，減列加班費",
,,,,,,,,"      10,360元，計淨增如列數。",
,,,,,,,," (12)私地徵收 179,258元，較上",
,,,,,,,,"     年度預算數 146,848元增列",
,,,,,,,,"     32,410元，包括增列印製各",
,,,,,,,,     項表格、徵收業務訴訟費用,
,,,,,,,,     、建置地用資料及資料數位,
,,,,,,,,"     化等 35,000元，減列加班費",
,,,,,,,,"      2,590元，計淨增如列數。",
,,,,,,,," (13)公地撥用 100,380元，較上",
,,,,,,,,"     年度預算數 72,600元增列",
,,,,,,,,"      27,780元，包括增列印製各",
,,,,,,,,     項資料表冊、建置地用資料,
,,,,,,,,"     及資料數位化等 30,000元，",
,,,,,,,,"     減列加班費 2,220元，計淨",
,,,,,,,,     增如列數。,
,,,,,,,, (14)公共設施保留地調查管理,
,,,,,,,,"      190,444元，較上年度預算",
,,,,,,,,"     數 165,254元增列 25,190元",
,,,,,,,,     ，包括增列更新公共設施保,
,,,,,,,,     留地資料卡、表、圖、冊之,
,,,,,,,,     資料處理費及資料數位化等,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
19,   1, 2, 1,,,,,"     30,000元，減列加班費 4",
,,,,,,,,"     ,810元，計淨增如列數。",
,,,,,,,, (15)督導區段徵收及市地重劃業,
,,,,,,,,"     務 247,957元，較上年度預",
,,,,,,,,"     算數 208,507元增列 39,450",
,,,,,,,,     元，包括增列督導區段徵收,
,,,,,,,,     、市地重劃業務所需表冊資,
,,,,,,,,     料、建置區段徵收與市地重,
,,,,,,,,     劃資料及資料數位化等 45,
,,,,,,,,"     ,000元，減列加班費 5,550",
,,,,,,,,     元，計淨增如列數。,
,,,,,,,," (16)地政士管理 332,850元，較",
,,,,,,,,"     上年度預算數 284,330元增",
,,,,,,,,"     列 48,520元，包括增列舉行",
,,,,,,,,     地政士座談會、建置地政士,
,,,,,,,,     資料及資料數位化與辦理地,
,,,,,,,,     政士業務訴訟案等相關費用,
,,,,,,,,"     50,000元，減列加班費 1",
,,,,,,,,"     ,480元，計淨增如列數。",
,,,,,,,," (17)新增智慧生態社區 500,000",
,,,,,,,,     元。,
,,,,　　137100,,,,,
,, 3,,　　建築及設備,"6,109,455","7,643,978","-1,534,523",,
,,,,,,,,,
,,,,　　　137104,,,,,
,,, 1,　　　其他設備,"6,109,455","3,064,741","3,044,714",本年度編列汰換個人電腦28部、電,
,,,,,,,,腦周邊設備及零組件、套裝軟體、,
,,,,,,,,電腦圖書費、不動產數位資料庫磁,
,,,,,,,,碟陣列光纖卡及SAN Switch、建置,
,,,,,,,,「智慧政府-臺北市地政雲」系統,
,,,,,,,,等，共計如列數。,
,,,,　　　137102,,,,,
,,, 2,　　　營建工程,-,"4,579,237","-4,579,237",上年度預算數係編列地政局辦公室,
,,,,,,,,整修工程如列數。,
,,,,　　134100,,,,,
,, 4,,　　第一預備金,"2,000,000","2,000,000",0,,
,,,,,,,,,
,,,,　　　134101,,,,,
,,, 1,　　　第一預備金,"2,000,000","2,000,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,　19102,,,,,
,   2,,,　土地開發總隊,"149,591,580","151,596,793","-2,005,213",,
,,,,,,,,,
,,,,　　130100,,,,,
,, 1,,　　一般行政,"44,603,018","44,729,607","-126,589",,
,,,,,,,,,
,,,,　　　130101,,,,,
,,, 1,　　　行政管理,"44,603,018","44,729,607","-126,589",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 33,450,264元，較",
,,,,,,,,"  上年度預算數 33,152,064元增",
,,,,,,,,"  列 298,200元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.一般業務 10,663,229元，較上",
,,,,,,,,"  年度預算數 11,201,848元減列",
,,,,,,,,"  538,619元，包括增列車輛及辦",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
19,   2, 1, 1,,,,,"  公器具養護費等 51,616元，減",
,,,,,,,,  列員工上下班交通費、統籌業務,
,,,,,,,,  費、水電費、油料、電腦耗材及,
,,,,,,,,"  維修等 590,235元，計淨減如列",
,,,,,,,,  數。,
,,,,,,,,"3.會計業務 29,810元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 400,975元，較上年度",
,,,,,,,,"  預算數 287,145元增列文康活動",
,,,,,,,,"  費 113,830元。",
,,,,,,,,"5.政風業務 58,740元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,　　130800,,,,,
,, 2,,　　促進土地利用,"39,439,402","38,428,954","1,010,448",,
,,,,,,,,,
,,,,　　　130802,,,,,
,,, 1,　　　土地開發,"39,439,402","38,428,954","1,010,448",本年度預算數之內容與上年度之比,
