臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,20000,,,,,
20,,,,兵役局主管,"205,478,164","203,168,566","2,309,598",,
,,,,,,,,,
,,,,　20101,,,,,
,   1,,,　兵役局,"205,478,164","203,168,566","2,309,598",,
,,,,,,,,,
,,,,　　130100,,,,,
,, 1,,　　一般行政,"77,220,399","69,773,048","7,447,351",,
,,,,,,,,,
,,,,　　　130101,,,,,
,,, 1,　　　行政管理,"77,220,399","69,773,048","7,447,351",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 58,148,794元，較",
,,,,,,,,"  上年度預算數 50,193,062元增",
,,,,,,,,"  列 7,955,732元，主要係依標準",
,,,,,,,,  伸算及因應勞動基準法第56條修,
,,,,,,,,  法增加提撥職工退休離職儲金所,
,,,,,,,,  致。,
,,,,,,,,"2.一般業務 17,666,421元，較上",
,,,,,,,,"  年度預算數 18,277,968元減列",
,,,,,,,,"  611,547元，包括新增小客車稅",
,,,,,,,,  捐及規費、汽油費、養護費等,
,,,,,,,,"   126,144元，增列研考統計人員",
,,,,,,,,  加班費、客貨兩用車養護費等,
,,,,,,,,"   28,162元，減列統籌業務費、",
,,,,,,,,  府會聯絡員職務加班費、員工上,
,,,,,,,,  下班交通費、小貨車稅捐及規費,
,,,,,,,,  、替代役中心飲水機濾心耗材費,
,,,,,,,,"  等 765,853元，計淨減如列數。",
,,,,,,,,"3.會計業務 91,380元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 392,370元，較上年度",
,,,,,,,,"  預算數 322,550元增列值班費及",
,,,,,,,,"  文康活動費 69,820元。",
,,,,,,,,"5.政風業務 27,570元，較上年度",
,,,,,,,,"  預算數 34,590元減列整理政風",
,,,,,,,,  案件資料等加班費及購買政風宣,
,,,,,,,,"  導資料書刊 7,020元。",
,,,,,,,,"6.資訊管理業務 893,864元，較上",
,,,,,,,,"  年度預算數 853,498元增列購置",
,,,,,,,,  光碟片、印表機碳粉、墨水及其,
,,,,,,,,"  他耗材等 40,366元。",
,,,,　　130200,,,,,
,, 2,,　　役政業務,"107,405,906","107,635,908","-230,002",,
,,,,,,,,,
,,,,　　　130201,,,,,
,,, 1,　　　兵調體檢業務,"14,162,609","14,095,395","67,214",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 12,855,144元，較",
,,,,,,,,"  上年度預算數 12,860,760元減",
,,,,,,,,"  列 5,616元，主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,"2.兵籍調查 290,860元，較上年度",
,,,,,,,,"  預算數 264,030元增列 26,830",
,,,,,,,,  元，包括新增兵籍調查作業說明,
,,,,,,,,"  宣導資料印刷費 30,000元，減",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
20,   1, 2, 1,,,,,  列辦理兵籍調查作業購置各類文,
,,,,,,,,"  具用品及章戳等費用 3,170元，",
,,,,,,,,  計淨增如列數。,
,,,,,,,,"3.徵兵檢查 789,680元，較上年度",
,,,,,,,,"  預算數 743,680元新增置放服役",
,,,,,,,,  須知與健康相關宣導資料架及汰,
,,,,,,,,  換徵兵檢查場工作人員背心費,
,,,,,,,,"   46,000元。",
,,,,,,,,"4.出境及免、禁役緩徵 226,925元",
,,,,,,,,  ，較上年度預算數無增減。,
,,,,　　　130202,,,,,
,,, 2,　　　徵集勤務業務,"28,272,624","28,517,700","-245,076",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 11,935,644元，較",
,,,,,,,,"  上年度預算數 11,940,720元減",
,,,,,,,,"  列 5,076元，主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,"2.役男抽籤 282,250元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"3.替代役申請 120,860元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"4.常備兵徵集 537,540元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"5.預官預士徵訓 43,660元，較上",
,,,,,,,,  年度預算數無增減。,
,,,,,,,,"6.替代役徵集處理 225,840元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,,,,,"7.兵役宣傳 2,600,000元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"8.兵役慰勞 4,426,200元，較上年",
,,,,,,,,"  度預算數 4,186,200元增列部隊",
,,,,,,,,  慰勞費及出席各新訓中心、國軍,
,,,,,,,,  部隊懇親會等致贈役男加菜金、,
,,,,,,,,"  水果等費用 240,000元。",
,,,,,,,,"9.入營輸送 8,100,630元，較上年",
,,,,,,,,"  度預算數 8,580,630元減列 480",
,,,,,,,,"  ,000元，包括新增役男入營平安",
,,,,,,,,  簡訊及各項通知簡訊發送費 50,
,,,,,,,,"  ,000元，減列役男入營當日200",
,,,,,,,,  萬元團體保險費、役男入營餐費,
,,,,,,,,"  及車資 530,000元，計淨減如列",
,,,,,,,,  數。,
,,,,　　　130203,,,,,
,,, 3,　　　權益編管業務,"52,556,091","52,518,991","37,100",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 11,397,816元，較",
,,,,,,,,"  上年度預算數 11,402,256元減",
,,,,,,,,"  列 4,440元，主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,2.生活扶助、各項補助費及就醫補,
,,,,,,,,"  助 15,136,450元，較上年度預",
,,,,,,,,"  算數 15,556,450元減列列級徵",
,,,,,,,,"  屬各項生活補助費 420,000元。",
,,,,,,,,"3.軍人權益維護 176,100元，較上",
,,,,,,,,  年度預算數無增減。,
,,,,,,,,4.兵役節及役政人員專業訓練 251,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
20,   1, 2, 3,,,,,"  ,550元，較上年度預算數 221",
,,,,,,,,"  ,310元增列 30,240元，包括新",
,,,,,,,,  增兵役節表揚會場場地租金 20,
,,,,,,,,"  ,000元，增列兵役節表揚大會受",
,,,,,,,,  獎人員禮品、獎狀(牌) 等費用,
,,,,,,,,"  10,240元，共增如列數。",
,,,,,,,,5.傷殘及陣(死)亡官兵處理及遺族,
,,,,,,,,"  慰問 17,080,630元，較上年度",
,,,,,,,,"  預算數 16,974,630元增列 106",
,,,,,,,,"  ,000元，包括新增義務役傷殘退",
,,,,,,,,  伍、退役人員座談會經費 100,
,,,,,,,,"  ,000元，增列海南島及潿洲兩島",
,,,,,,,,  抗日義士死亡一次慰問金及義士,
,,,,,,,,"  遺族光復節慰問金 78,000元，",
,,,,,,,,  減列海南島及潿洲兩島抗日義士,
,,,,,,,,"  年節慰問金 72,000元，計淨增",
,,,,,,,,  如列數。,
,,,,,,,,6.後備軍人管理暨替代役備役役男,
,,,,,,,,"  管理業務 4,235,115元，較上年",
,,,,,,,,"  度預算數 3,961,515元增列本市",
,,,,,,,,  各區里後備軍人輔導組工作經費,
,,,,,,,,"   273,600元。",
,,,,,,,,"7.軍人公墓管理 4,278,430元，較",
,,,,,,,,"  上年度預算數 4,226,730元增列",
,,,,,,,,"   51,700元，包括新增軍墓園區",
,,,,,,,,"  紀念碑周邊牆面粉刷 71,500元",
,,,,,,,,  ，減列巡邏用不銹鋼伸縮警棒、,
,,,,,,,,  緊急用照明燈及駐衛警雨衣、雨,
,,,,,,,,"  鞋、冬服、安全帽 19,800元，",
,,,,,,,,  計淨增如列數。,
,,,,　　　130204,,,,,
,,, 4,　　　替代役業務,"12,414,582","12,503,822","-89,240",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 10,747,212元，較",
,,,,,,,,"  上年度預算數 10,751,952元減",
,,,,,,,,"  列 4,740元，主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,"2.管理輔導 1,182,720元，較上年",
,,,,,,,,"  度預算數 1,267,220元減列市長",
,,,,,,,,  慰問本府替代役役男春節聯誼費,
,,,,,,,,  及替代役役男書報雜誌費 84,
,,,,,,,,"  ,500元。",
,,,,,,,,"3.人力運用 484,650元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,　　137100,,,,,
,, 3,,　　建築及設備,"19,851,859","24,759,610","-4,907,751",,
,,,,,,,,,
,,,,　　　137102,,,,,
,,, 1,　　　營建工程,"16,947,814","23,029,634","-6,081,820",本年度編列內容如下：,
,,,,,,,,1.水源大廈耐震力補強工程，本工,
,,,,,,,,  程係103-105年度連續性計畫，,
,,,,,,,,"  總分攤經費 3,020,704元，除至",
,,,,,,,,"  上年度已編列 1,190,890元外，",
,,,,,,,,"  本年度續編最後1年經費 1,829",
,,,,,,,,"  ,814元。",
,,,,,,,,2.軍墓園區骨灰壁葬設施工程，本,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
20,   1, 3, 1,,,,,  工程係104-105年度連續性計畫,
,,,,,,,,"  ，總經費 27,118,000元，除至",
,,,,,,,,"  上年度已編列 12,000,000元外",
,,,,,,,,  ，本年度續編最後1年經費 15,
,,,,,,,,"  ,118,000元。",
,,,,　　　137103,,,,,
,,, 2,　　　交通及運輸設備,"545,000",-,"545,000",本年度編列汰換客貨兩用車1輛如,
,,,,,,,,列數。,
,,,,　　　137104,,,,,
,,, 3,　　　其他設備,"2,359,045","1,729,976","629,069",本年度編列電腦周邊設備及零組件,
,,,,,,,,、臺北市兵GO體位區分標準簡易查,
,,,,,,,,詢系統維護及功能擴充、臺北市軍,
,,,,,,,,人公墓網路追思暨安厝整合系統、,
,,,,,,,,臺北市徵兵處理進度流程查詢系統,
,,,,,,,,、購置套裝軟體、各類電腦資訊圖,
,,,,,,,,書、汰換電腦、類單眼相機、紀念,
,,,,,,,,碑周邊及祭殿室內投光燈、祭殿室,
,,,,,,,,內外紅地毯等，共計如列數。,
,,,,　　134100,,,,,
,, 4,,　　第一預備金,"1,000,000","1,000,000",0,,
,,,,,,,,,
,,,,　　　134101,,,,,
,,, 1,　　　第一預備金,"1,000,000","1,000,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
