臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,23000,,,,,
23,,,,資訊局主管,"593,871,787","518,547,633","75,324,154",,
,,,,,,,,,
,,,,　23101,,,,,
,   1,,,　資訊局,"593,871,787","518,547,633","75,324,154",,
,,,,,,,,,
,,,,　　120100,,,,,
,, 1,,　　一般行政,"28,892,770","29,011,760","-118,990",,
,,,,,,,,,
,,,,　　　120101,,,,,
,,, 1,　　　行政管理,"28,892,770","29,011,760","-118,990",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 24,953,460元，較",
,,,,,,,,"  上年度預算數 24,836,253元增",
,,,,,,,,"  列 117,207元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.一般業務 3,523,490元，較上年",
,,,,,,,,"  度預算數 3,845,747元減列統籌",
,,,,,,,,  業務費、上下班交通費、油料、,
,,,,,,,,  物品及材料、一般事務費等 322,
,,,,,,,,"  ,257元。",
,,,,,,,,"3.會計業務 86,770元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 279,450元，較上年度",
,,,,,,,,"  預算數 193,390元增列文康活動",
,,,,,,,,"  費 86,060元。",
,,,,,,,,"5.政風業務 49,600元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,　　120200,,,,,
,, 2,,　　資訊管理業務,"494,201,685","428,031,785","66,169,900",,
,,,,,,,,,
,,,,　　　120201,,,,,
,,, 1,　　　資訊管理、推動及應,"494,201,685","428,031,785","66,169,900",本年度預算數之內容與上年度之比,
,,,,　　　用作業,,,,較如下：,
,,,,,,,,"1.人員維持費 80,636,925元，較",
,,,,,,,,"  上年度預算數 80,746,572元減",
,,,,,,,,"  列 109,647元，主要係依實際需",
,,,,,,,,  要覈實減列所致。,
,,,,,,,,"2.資訊綜合規劃推動 25,704,480",
,,,,,,,,"  元，較上年度預算數 10,289",
,,,,,,,,"  ,248元增列 15,415,232元，包",
,,,,,,,,  括新增大數據資料分析平台建置,
,,,,,,,,  費、.taipei委外營運專案管理,
,,,,,,,,  費、參加2016年世界資訊科技大,
,,,,,,,,  會、ICF Summit 2016暨市政資,
,,,,,,,,"  訊建設成果參訪等 15,232,000",
,,,,,,,,  元，增列專家學者出席費、智慧,
,,,,,,,,  城市建設推廣費、辦理軟體創新,
,,,,,,,,"  應用競賽活動獎勵金等 632,000",
,,,,,,,,  元，減列內聘講師鐘點費、水電,
,,,,,,,,  費、電腦教室視聽設備維護、參,
,,,,,,,,  加ICANN第53次會議、亞洲主要,
,,,,,,,,  都市網（ANMC21）工作階層會議,
,,,,,,,,"  及年度大會等 448,768元，計淨",
,,,,,,,,  增如列數。,
,,,,,,,,"3.資訊設備網路管理 267,873,465",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
23,   1, 2, 1,,,,,"  元，較上年度預算數 250,778",
,,,,,,,,"  ,408元增列 17,095,057元，包",
,,,,,,,,  括新增第三方資安健診及資安教,
,,,,,,,,  材電子化服務費、本府各機關資,
,,,,,,,,  訊業務推動增購伺服器、周邊設,
,,,,,,,,  備及電腦零組件等費用、網路電,
,,,,,,,,"  話設備費等 9,619,300元，增列",
,,,,,,,,  網路通訊線路費、資訊安全防護,
,,,,,,,,  管理服務費、網路電話系統維護,
,,,,,,,,  費及功能擴增服務費、市政資訊,
,,,,,,,,  網路軟硬體費用、本府資訊業務,
,,,,,,,,  推動增購伺服器、周邊設備及電,
,,,,,,,,"  腦零組件等 12,516,000元，減",
,,,,,,,,  列電腦耗材及維修費、備援管理,
,,,,,,,,  服務費、資料庫系統維護費等 5,
,,,,,,,,"  ,040,243元，計淨增如列數。",
,,,,,,,,"4.便民服務規劃推動 57,992,910",
,,,,,,,,"  元，較上年度預算數 61,644",
,,,,,,,,"  ,284元減列 3,651,374元，包括",
,,,,,,,,  新增台北卡服務整合系統維護暨,
,,,,,,,,  功能擴增服務費及推廣活動費、,
,,,,,,,,  網路投票系統維護暨功能擴增服,
,,,,,,,,  務費、參與式預算整合平台功能,
,,,,,,,,"  擴增服務費等 9,429,000元，減",
,,,,,,,,  列市政網站服務系統服務費、臺,
,,,,,,,,  北市民e點通網站維護與功能擴,
,,,,,,,,  充暨MMK服務手續費、單一申訴,
,,,,,,,,  系統、本府地理資訊系統圖資共,
,,,,,,,,  用性平台、智慧城市科技應用與,
,,,,,,,,  生活服務整合平台、本府資料開,
,,,,,,,,  放平台系統等之維護暨功能擴增,
,,,,,,,,  服務費、本府英文網站業務約用,
,,,,,,,,"  人員酬金等 13,080,374元，計",
,,,,,,,,  淨減如列數。,
,,,,,,,,"5.市政資訊系統規劃推動 61,993",
,,,,,,,,"  ,905元，較上年度預算數 24",
,,,,,,,,"  ,573,273元增列 37,420,632元",
,,,,,,,,  ，包括新增公務訊息平台系統維,
,,,,,,,,  護費、臺北便民服務雲系統及單,
,,,,,,,,  一陳情系統之推動、擴增與維護,
,,,,,,,,  服務費、新公文整合系統、行動,
,,,,,,,,  公務系統及市政新聞輿情平台建,
,,,,,,,,  置費、雲端空間平台推動與維運,
,,,,,,,,  服務費、公文檔案掃描系統維護,
,,,,,,,,  服務費、市政新聞輿情資料維運,
,,,,,,,,"  費等 33,221,000元，增列1999",
,,,,,,,,  話務系統擴充及維護服務費(包,
,,,,,,,,  含IVR及CTI授權)、行動推播訊,
,,,,,,,,  息平台系統推動、維護與功能擴,
,,,,,,,,"  增服務費等 8,400,000元，減列",
,,,,,,,,  公文處理系統、行政管理資訊系,
,,,,,,,,  統及行動推播訊息平台系統之推,
,,,,,,,,  動、維護與功能擴增服務費、,
,,,,,,,,"  1999 GIS維護服務費等 4,200",
,,,,,,,,"  ,368元，計淨增如列數。",
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　127100,,,,,
23,   1, 3,,　　建築及設備,"70,177,332","60,904,088","9,273,244",,
,,,,,,,,,
,,,,　　　127102,,,,,
,,, 1,　　　營建工程,"550,000",-,"550,000",本年度編列辦公室空間調整裝修改,
,,,,,,,,善工程如列數。,
,,,,　　　127104,,,,,
,,, 2,　　　其他設備,"69,627,332","60,354,088","9,273,244",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,1.行政機關個人電腦微軟授權方案,
,,,,,,,,  ，本項係105~107年度連續性計,
,,,,,,,,"  畫，總經費 200,010,000元，本",
,,,,,,,,"  年度編列 66,670,000元。",
,,,,,,,,2.行政機關個人電腦防毒軟體授權,
,,,,,,,,  案，本項係104~106年度連續性,
,,,,,,,,"  計畫，總經費 10,500,000元，",
,,,,,,,,"  一次發包契約總價 9,686,000元",
,,,,,,,,"  ，除至上年度已編列 3,500,000",
,,,,,,,,  元外，本年度續編第2年經費 2,
,,,,,,,,"  ,957,332元，餘 3,228,668元編",
,,,,,,,,  列以後年度預算。,
,,,,　　　127103,,,,,
,,, 3,　　　交通及運輸設備,-,"550,000","-550,000",上年度預算數係編列汰換客貨兩用,
,,,,,,,,車1輛如列數。,
,,,,　　124100,,,,,
,, 4,,　　第一預備金,"600,000","600,000",0,,
,,,,,,,,,
,,,,　　　124101,,,,,
,,, 1,　　　第一預備金,"600,000","600,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
