臺北市地方總預算案,,,,,,,,
　　　　　　　　　,,,,,,,,
歲出機關別預算表,,,,,,,,
                      ,,,,,,,,
中華民國105年度,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明
款,項,目,節,名稱及編號,,,,
,,,,29000,,,,
29,,,,捷運工程局主管,"10,000","119,049,189","-119,039,189",
,,,,,,,,
,,,,　29101,,,,
,   1,,,　捷運工程局,"10,000","119,049,189","-119,039,189",
,,,,,,,,
,,,,　　330100,,,,
,, 1,,　　一般行政,"10,000",-,"10,000",
,,,,,,,,
,,,,　　　330101,,,,
,,, 1,　　　行政管理,"10,000",-,"10,000",1.本科目係本年度新增。
,,,,,,,,"2.新增土地鑑界及測量費 10,000"
,,,,,,,,  元。
,,,,　　338000,,,,
,, 2,,　　捷運系統工程,-,"119,049,189","-119,049,189",
,,,,,,,,
,,,,　　　338001,,,,
,,, 1,　　　捷運系統工程,-,"119,049,189","-119,049,189",上年度預算數係編列臺北捷運系統
,,,,,,,,"劍潭站增設出入口工程 15,237"
,,,,,,,,",955元、臺北捷運系統環狀線北環"
,,,,,,,,段及南環段基本設計及工程調查
,,,,,,,," 101,190,000元、南港線東延段共"
,,,,,,,,構段工程細部設計服務費末期估驗
,,,,,,,,"計價款 2,621,234元，共計如列數"
,,,,,,,,‧
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
