臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,07000,,,,,
 7,,,,工務局主管,"16,377,294,574","13,964,693,527","2,412,601,047",,
,,,,,,,,,
,,,,　07101,,,,,
,   1,,,　工務局,"1,684,770,452","776,710,198","908,060,254",,
,,,,,,,,,
,,,,　　320100,,,,,
,, 1,,　　一般行政,"109,901,176","103,697,497","6,203,679",,
,,,,,,,,,
,,,,　　　320101,,,,,
,,, 1,　　　行政管理,"109,901,176","103,697,497","6,203,679",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 90,861,049元，較",
,,,,,,,,"  上年度預算數 83,171,609元增",
,,,,,,,,"  列 7,689,440元，主要係增列職",
,,,,,,,,  工退休退職給付、因應勞動基準,
,,,,,,,,  法第56條修法增加提撥職工退休,
,,,,,,,,  離職儲金及依實際執行情形覈實,
,,,,,,,,  調整增列所致。,
,,,,,,,,"2.一般業務 6,257,482元，較上年",
,,,,,,,,"  度預算數 7,024,633元減列 767",
,,,,,,,,"  ,151元，包括新增數位相機 12",
,,,,,,,,"  ,000元，增列小客車等車輛養護",
,,,,,,,,"  費 9,175元，減列員工上下班交",
,,,,,,,,  通費、府會聯絡員職務加班費、,
,,,,,,,,  統籌業務費及小客車等車輛油料,
,,,,,,,,"   788,326元，計淨減如列數。",
,,,,,,,,"3.會計業務 345,433元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.統計業務 107,570元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"5.人事業務 541,550元，較上年度",
,,,,,,,,"  預算數 403,650元增列文康活動",
,,,,,,,,"  費 137,900元。",
,,,,,,,,"6.政風業務 123,684元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"7.資訊業務 11,664,408元，較上",
,,,,,,,,"  年度預算數 12,520,918元減列",
,,,,,,,,"  856,510元，包括新增營建剩餘",
,,,,,,,,  資源管理資訊系統功能擴增及維,
,,,,,,,,"  護計畫 220,000元，增列電腦耗",
,,,,,,,,  材、電腦設備維護費及本府Micr,
,,,,,,,,  ostation軟體無限人版更新及維,
,,,,,,,,  護費(104年10月1日至109年9月,
,,,,,,,,"  30日) 3,813,390元，減列資訊",
,,,,,,,,  人員訓練費、公共工程圖形資訊,
,,,,,,,,  管理系統應用系統功能擴增及維,
,,,,,,,,  護計畫、政府採購業務管理系統,
,,,,,,,,  功能擴增及維護計畫、活化淡水,
,,,,,,,,  河三維資訊展示系統維護案及本,
,,,,,,,,  府Microstation軟體無限人版更,
,,,,,,,,  新及維護費(99年10月1日至104,
,,,,,,,,"  年9月30日) 4,889,900元，計淨",
,,,,,,,,  減如列數。,
,,,,,,,,,
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　320200,,,,,
 7,   1, 2,,　　工務行政,"106,660,502","115,852,475","-9,191,973",,
,,,,,,,,,
,,,,　　　320201,,,,,
,,, 1,　　　工務管理,"106,660,502","115,852,475","-9,191,973",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 92,324,496元，較",
,,,,,,,,"  上年度預算數 98,094,166元減",
,,,,,,,,"  列 5,769,670元，主要係依實際",
,,,,,,,,  執行情形覈實調整減列所致。,
,,,,,,,,2.土木建築工程督導考核業務 2,
,,,,,,,,"  ,511,238元，較上年度預算數 2",
,,,,,,,,"  ,892,238元減列參加學術專業團",
,,,,,,,,  體會費、臺北市政府公共工程督,
,,,,,,,,  導會報委員及工作人員兼職費、,
,,,,,,,,  邀請專家、學者參與評選、評審,
,,,,,,,,  、審查、諮詢等出席費及土地徵,
,,,,,,,,"  收補償市價查估作業費 381,000",
,,,,,,,,  元。,
,,,,,,,,"3.水利工程督導考核業務 3,505",
,,,,,,,,"  ,112元，較上年度預算數 5,947",
,,,,,,,,"  ,332元減列 2,442,220元，包括",
,,,,,,,,  新增水環境營造推動業務相關費,
,,,,,,,,"  用 979,600元，增列防汛人員工",
,,,,,,,,"  作鞋及工作服 64,000元，減列",
,,,,,,,,  防颱工作人員用防水透氣型雨衣,
,,,,,,,,  、雨鞋及安全帽、臺北市生活污,
,,,,,,,,  水再生水未來發展性之探討、臺,
,,,,,,,,  北市轄管濕地調查及保育利用規,
,,,,,,,,  劃工作、照相器材及相關文具費,
,,,,,,,,  用、資料印製及場地佈置等相關,
,,,,,,,,  費用、文宣禮品費、工作成果發,
,,,,,,,,  表費及活化淡水河系推動業務等,
,,,,,,,,"  相關費用 3,485,820元，計淨減",
,,,,,,,,  如列數。,
,,,,,,,,4.公園大地督導考核及補償處理業,
,,,,,,,,"  務 474,141元，較上年度預算數",
,,,,,,,,"   414,141元新增大安森林之友基",
,,,,,,,,"  金會財務查核公費 60,000元。",
,,,,,,,,"5.採購管理業務 1,738,465元，較",
,,,,,,,,"  上年度預算數 2,026,465元減列",
,,,,,,,,  採購稽核委員、稽查人員兼職費,
,,,,,,,,"   288,000元。",
,,,,,,,,"6.品管及勞安業務 6,107,050元，",
,,,,,,,,"  較上年度預算數 6,478,133元減",
,,,,,,,,"  列 371,083元，包括增列維持工",
,,,,,,,,  程材料試驗通過全國認證基金會,
,,,,,,,,"  (TAF)認證之教育訓練費 12,000",
,,,,,,,,  元，減列員工健康檢查費、室內,
,,,,,,,,  外試驗、工地查核及全民督工工,
,,,,,,,,  作服及「臺北市政府公共工程卓,
,,,,,,,,  越獎」評選作業及頒獎活動等相,
,,,,,,,,"  關費用 383,083元，計淨減如列",
,,,,,,,,  數。,
,,,,,,,,,
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　327100,,,,,
 7,   1, 3,,　　建築及設備,"2,429,600","2,164,100","265,500",,
,,,,,,,,,
,,,,　　　327104,,,,,
,,, 1,　　　其他設備,"2,429,600","1,614,100","815,500",本年度編列汰換個人電腦76部、電,
,,,,,,,,腦周邊設備及零組件、套裝軟體及,
,,,,,,,,電腦圖書費，共計如列數。,
,,,,　　　327102,,,,,
,,, 2,　　　營建工程,-,"550,000","-550,000",上年度預算數係辦公室空間調整裝,
,,,,,,,,修改善工程。,
,,,,　　338200,,,,,
,, 4,,　　用地補償,"1,455,779,174","544,996,126","910,783,048",,
,,,,,,,,,
,,,,　　　338201,,,,,
,,, 1,　　　公共用地補償,"1,455,779,174","544,996,126","910,783,048",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.補償費準備 30,000,000元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,,,,,"2.公共用地補償16項計 1,425,779",
,,,,,,,,"  ,174元，較上年度預算數 514",
,,,,,,,,"  ,996,126元增列 910,783,048元",
,,,,,,,,  ，編列明細如下：,
,,,,,,,," (1)零星排水改善工程 2,000,000",
,,,,,,,,    元。,
,,,,,,,, (2)南港經貿園區有償撥用款 57,
,,,,,,,,"    ,799,801元。",
,,,,,,,, (3)北投洲美堤防外灘地整建工程,
,,,,,,,,"     391,239,200元。",
,,,,,,,, (4)105年度人行道改善工程 10,
,,,,,,,,"    ,000,000元。",
,,,,,,,, (5)105年度道路改善及維護工程,
,,,,,,,,"    2,700,000元。",
,,,,,,,," (6)巷道開闢工程 356,224,013元",
,,,,,,,,    。,
,,,,,,,, (7)萬華華中橋下游側人行道 (暨,
,,,,,,,,"    自行車道 )拓寬工程 2,055",
,,,,,,,,"    ,000元。",
,,,,,,,," (8)中正中正橋改建工程 4,100",
,,,,,,,,"    ,000元。",
,,,,,,,, (9)中正忠孝西路北門周邊路型改,
,,,,,,,,"    善工程 342,533,629元。",
,,,,,,,," (10)既成道路取得計畫 20,000",
,,,,,,,,"     ,000元。",
,,,,,,,, (11)本市及新北市政府等值互為,
,,,,,,,,     有償撥用轄外國有抵稅公共,
,,,,,,,,"     設施用地補償 1,204元。",
,,,,,,,, (12)文山(木柵)87號公園新建工,
,,,,,,,,"     程 27,192,433元。",
,,,,,,,, (13)文山(木柵)75號、76號、78,
,,,,,,,,"     號、79號公園 105,485,700",
,,,,,,,,     元。,
,,,,,,,, (14)分、支管網暨次幹管工程 94,
,,,,,,,,"     ,024,000元。",
,,,,,,,," (15)管線更新及維護工程 6,000",
,,,,,,,,"     ,000元。",
,,,,,,,, (16)山坡地違規案件水土保持處,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 7,   1, 4, 1,,,,,"     理 4,424,194元。",
,,,,　　324100,,,,,
,, 5,,　　第一預備金,"10,000,000","10,000,000",0,,
,,,,,,,,,
,,,,　　　324101,,,,,
,,, 1,　　　第一預備金,"10,000,000","10,000,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,　07102,,,,,
,   2,,,　水利工程處,"2,632,357,657","2,631,282,071","1,075,586",,
,,,,,,,,,
,,,,　　310100,,,,,
,, 1,,　　一般行政,"409,659,686","231,690,400","177,969,286",,
,,,,,,,,,
,,,,　　　310101,,,,,
,,, 1,　　　行政管理,"409,659,686","231,690,400","177,969,286",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 382,746,960元，較",
,,,,,,,,"  上年度預算數 203,097,948元增",
,,,,,,,,"  列 179,649,012元，主要係減列",
,,,,,,,,  技工1人、駕駛2人、因應勞動基,
,,,,,,,,  準法第56條修法增加提撥職工退,
,,,,,,,,  休離職儲金及依標準伸算所致。,
,,,,,,,,"2.一般業務 21,328,931元，較上",
,,,,,,,,"  年度預算數 23,676,853元減列",
,,,,,,,,"  2,347,922元，包括新增工作服",
,,,,,,,,"  275,600 元，增列客貨兩用車檢",
,,,,,,,,  驗執照費及養護費、一般訴訟或,
,,,,,,,,  涉訟案件等之訴訟案件委請律師,
,,,,,,,,  費用、處理一般訴訟或涉訟案件,
,,,,,,,,  暨收回被占用市產之清理等訴訟,
,,,,,,,,"  費用等 528,175元，減列員工上",
,,,,,,,,  下班交通費、職員、技工及約聘,
,,,,,,,,  僱人員等統籌業務費、油料、員,
,,,,,,,,  工健康檢查費及民權庫房升降梯,
,,,,,,,,"  維護保養費等 3,151,697元，計",
,,,,,,,,  淨減如列數。,
,,,,,,,,"3.會計業務 279,084元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 2,132,131元，較上年",
,,,,,,,,"  度預算數 1,428,861元增列 703",
,,,,,,,,"  ,270元，包括新增高普考專業類",
,,,,,,,,  科錄取人員集中實務訓練費 40,
,,,,,,,,"  ,000元，增列文康活動費 663",
,,,,,,,,"  ,270元，共增如列數。",
,,,,,,,,"5.政風業務 258,745元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"6.資訊業務 2,913,835元，較上年",
,,,,,,,,"  度預算數 2,948,909元減列電腦",
,,,,,,,,  耗材及電腦主機及周邊設備硬體,
,,,,,,,,"  維護費 35,074元。",
,,,,　　310200,,,,,
,, 2,,　　水利行政,"787,108,440","794,938,619","-7,830,179",,
,,,,,,,,,
,,,,　　　310201,,,,,
,,, 1,　　　水利管理及維護,"787,108,440","794,938,619","-7,830,179",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 7,   2, 2, 1,,,,,"1.人員維持費 425,340,315元，較",
,,,,,,,,"  上年度預算數 426,899,967元減",
,,,,,,,,"  列 1,559,652元，主要係增列技",
,,,,,,,,  工1人、減列駕駛2人及依標準伸,
,,,,,,,,  算所致。,
,,,,,,,,"2.抽水站管理及維護 148,916,388",
,,,,,,,,"  元，較上年度預算數 145,122",
,,,,,,,,"  ,715元增列 3,793,673元，包括",
,,,,,,,,  新增景美溪河系抽水站委外維護,
,,,,,,,,"  及操作費 9,000,000元，增列抽",
,,,,,,,,  水站第一分區管理中心技工值勤,
,,,,,,,,  夜點費、吊桿工程車、客貨兩用,
,,,,,,,,  車等稅捐及規費、養護費及保險,
,,,,,,,,  費、抽水站運作需用品、臨時抽,
,,,,,,,,"  水井委外維護及操作費等 1,333",
,,,,,,,,"  ,200元，減列各抽水站技工例假",
,,,,,,,,  日及平日加班費、防汛期值日人,
,,,,,,,,  員平日值日夜費、租用油罐車輛,
