臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,08000,,,,,
 8,,,,交通局主管,"6,109,766,247","5,819,571,524","290,194,723",,
,,,,,,,,,
,,,,　08101,,,,,
,   1,,,　交通局,"450,267,987","398,328,059","51,939,928",,
,,,,,,,,,
,,,,　　330100,,,,,
,, 1,,　　一般行政,"71,104,580","68,676,794","2,427,786",,
,,,,,,,,,
,,,,　　　330101,,,,,
,,, 1,　　　行政管理,"71,104,580","68,676,794","2,427,786",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 63,520,469元，較",
,,,,,,,,"  上年度預算數 60,345,061元增",
,,,,,,,,"  列 3,175,408元，主要係依標準",
,,,,,,,,  伸算及因應勞動基準法第56條修,
,,,,,,,,  法增加提撥職工退休離職儲金所,
,,,,,,,,  致。,
,,,,,,,,"2.一般業務 5,973,341元，較上年",
,,,,,,,,"  度預算數 6,931,677元減列 958",
,,,,,,,,"  ,336元，包括增列小客車相關費",
,,,,,,,,"  用、水電費及通訊費等 112,285",
,,,,,,,,  元，減列員工上下班交通費、統,
,,,,,,,,  籌業務費及客貨兩用車相關費用,
,,,,,,,,"  等 1,070,621元，計淨減如列數",
,,,,,,,,  。,
,,,,,,,,"3.會計業務 127,410元，較上年度",
,,,,,,,,"  預算數 127,403元增列7元，包",
,,,,,,,,  括增列年度預算書、會計帳簿表,
,,,,,,,,  冊、會計表報等印刷費96元，減,
,,,,,,,,  列業務用文具用品費等89元，計,
,,,,,,,,  淨增如列數。,
,,,,,,,,"4.統計業務 986,840元，較上年度",
,,,,,,,,"  預算數 929,856元增列 56,984",
,,,,,,,,  元，包括增列辦理交通類民意調,
,,,,,,,,"  查 57,000元，減列業務用文具",
,,,,,,,,  用品費等16元，計淨增如列數。,
,,,,,,,,"5.人事業務 434,640元，較上年度",
,,,,,,,,"  預算數 281,011元增列 153,629",
,,,,,,,,  元，包括新增交通局暨所屬機關,
,,,,,,,,"  績優人員獎品 41,100元，增列",
,,,,,,,,  人力資源終身學習等課程講師鐘,
,,,,,,,,  點費、文康活動費及人事業務相,
,,,,,,,,"  關表報印刷 112,529元，共增如",
,,,,,,,,  列數。,
,,,,,,,,"6.政風業務 61,880元，較上年度",
,,,,,,,,"  預算數 61,786元增列94元，包",
,,,,,,,,  括增列通訊費、編印政風法紀、,
,,,,,,,,  機密維護及安全維護等宣導資料,
,,,,,,,,  102元，減列業務用文具用品費,
,,,,,,,,  等8元，計淨增如列數。,
,,,,　　330200,,,,,
,, 2,,　　運輸規劃與交通管理,"60,388,702","  57,630,340 ","  2,758,362 ",,
,,,,,,,,,
,,,,　　　330201,,,,,
,,, 1,　　　綜合規劃,"19,004,499","18,678,939","325,560",本年度預算數之內容與上年度之比,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 8,   1, 2, 1,,,,,較如下：,
,,,,,,,,"1.人員維持費 13,669,644元，較",
,,,,,,,,"  上年度預算數 14,067,708元減",
,,,,,,,,"  列 398,064元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.運輸規劃 3,565,500元，較上年",
,,,,,,,,"  度預算數 2,842,526元增列 722",
,,,,,,,,"  ,974元，包括新增臺北市交通政",
,,,,,,,,"  策白皮書 3,000,000元，減列業",
,,,,,,,,  務用文具用品費及臺北都會區機,
,,,,,,,,  車使用特性調查及管理策略規劃,
,,,,,,,,"   2,277,026元，計淨增如列數。",
,,,,,,,,"3.計畫管理 1,769,355元，較上年",
,,,,,,,,"  度預算數 1,768,705元增列650",
,,,,,,,,  元，包括增列通訊費742元，減,
,,,,,,,,  列業務用文具用品費及各項計畫,
,,,,,,,,  及報告繕打、印刷及裝訂費用92,
,,,,,,,,  元，計淨增如列數。,
,,,,　　　330202,,,,,
,,, 2,　　　交通治理,"19,712,549","  20,310,274 ","- 597,725 ","1.本科目上年度預算數 239,812",
,,,,,,,,"  ,668元，除移出人員維持費 4",
,,,,,,,,"  ,072,164元、停車管理 194,608",
,,,,,,,,"  ,100元、交通工程與執法 19",
,,,,,,,,"  ,090元、道安會報 25,240元及",
,,,,,,,,  辦理2016年Velo-city Global全,
,,,,,,,,"  球自行車城市大會 20,777,800",
,,,,,,,,  元，列入運輸管理科目項下外，,
,,,,,,,,  淨計如列數。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 16,384,934元，",
,,,,,,,,"    較上年度預算數 16,985,498",
,,,,,,,,"    元減列 600,564元，主要係依",
,,,,,,,,    標準伸算所致。,
,,,,,,,," (2)停車管理 183,910元，較上年",
,,,,,,,,"    度預算數 182,359元增列通訊",
,,,,,,,,    費及業務用文具用品費等 1,
,,,,,,,,"    ,551元。",
,,,,,,,," (3)交通工程與執法 2,182,170元",
,,,,,,,,"    ，較上年度預算數 2,181,835",
,,,,,,,,    元增列業務用文具用品費及設,
,,,,,,,,    施規範、研究報告或文宣品等,
,,,,,,,,    印刷費335元。,
,,,,,,,," (4)道安會報 470,615元，較上年",
,,,,,,,,"    度預算數 470,080元增列公務",
,,,,,,,,    手機通訊傳輸費、業務用文具,
,,,,,,,,    用品費及道安會報相關印刷、,
,,,,,,,,    繕打、裝訂費用等535元。,
,,,,,,,," (5)災害防救業務管理 490,920元",
,,,,,,,,"    ，較上年度預算數 490,502元",
,,,,,,,,    增列防災專用公務手機通訊傳,
,,,,,,,,    輸費418元。,
,,,,　　　330203,,,,,
,,, 3,　　　運輸資訊業務,"21,671,654","18,641,127","3,030,527",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 11,075,064元，較",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 8,   1, 2, 3,,,,,"  上年度預算數 11,271,120元減",
,,,,,,,,"  列 196,056元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.資訊規劃 8,445,690元，較上年",
,,,,,,,,"  度預算數 5,301,038元增列 3",
,,,,,,,,"  ,144,652元，包括新增智慧型運",
,,,,,,,,  輸系統參展及宣導費及交通巨量,
,,,,,,,,"  資料分析與應用 4,100,000元，",
,,,,,,,,  增列通訊費、參加智慧型運輸系,
,,,,,,,,  統(ITS)世界會議考察交通建設,
,,,,,,,,  及ITS推動情形差旅費及業務用,
,,,,,,,,"  文具用品費等 204,031元，減列",
,,,,,,,,  臺北市交通資訊中心志工餐點、,
,,,,,,,,  交通補助、維護及功能擴充及臺,
,,,,,,,,  北市即時交通資訊系統及智慧型,
,,,,,,,,  手機軟體等功能擴充及維護費用,
,,,,,,,,"  等 1,159,379元，計淨增如列數",
,,,,,,,,  。,
,,,,,,,,"3.資訊管理 629,755元，較上年度",
,,,,,,,,"  預算數 629,347元增列通訊費、",
,,,,,,,,  業務用文具用品費及各項表格及,
,,,,,,,,  文件編輯印刷費等408元。,
,,,,,,,,"4.系統維護 1,521,145元，較上年",
,,,,,,,,"  度預算數 1,439,622元增列 81",
,,,,,,,,"  ,523元，包括增列通訊費、業務",
,,,,,,,,  用文具用品費及電腦及周邊設備,
,,,,,,,,"  維護費等 110,323元，減列電腦",
,,,,,,,,  所需碳粉匣、墨水匣、光碟片及,
,,,,,,,,"  報表紙等耗材 28,800元，計淨",
,,,,,,,,  增如列數。,
,,,,　　330300,,,,,
,, 3,,　　運輸管理,"302,466,813","  257,972,588 ","  44,494,225 ",,
,,,,,,,,,
,,,,　　　330301,,,,,
,,, 1,　　　運輸管理,"282,030,981","  235,068,448 ","  46,962,533 ","1.本科目上年度預算數 15,566",
,,,,,,,,"  ,054元，連同由交通治理科目移",
,,,,,,,,"  入人員維持費 4,072,164元、停",
,,,,,,,,"  車管理 194,608,100元、交通工",
,,,,,,,,"  程與執法 19,090元、道安會報",
,,,,,,,,"  25,240元及辦理2016年Velo-cit",
,,,,,,,,  y Global全球自行車城市大會,
,,,,,,,,"   20,777,800元，共計如列數。",
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 17,565,396元，",
,,,,,,,,"    較上年度預算數 18,296,280",
,,,,,,,,"    元減列 730,884元，主要係依",
,,,,,,,,    標準伸算所致。,
,,,,,,,, (2)綠色運輸業務管理及行銷 604,
,,,,,,,,"    ,195元，較上年度預算數 856",
,,,,,,,,"    ,926元減列 252,731元，包括",
,,,,,,,,"    增列外勤誤餐費 9,680元，減",
,,,,,,,,    列外勤交通費、臺北都會區市,
,,,,,,,,    區及公路客運路線審議委員會,
,,,,,,,,    會議專家學者出席費及參加公,
,,,,,,,,    共交通國際聯會(UITP)世界年,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 8,   1, 3, 1,,,,,"    會差旅費等 262,411元，計淨",
,,,,,,,,    減如列數。,
,,,,,,,, (3)公共自行車建置及營運管理,
,,,,,,,,"     243,994,190元，較上年度預",
,,,,,,,,"    算數 194,703,992元增列 49",
,,,,,,,,"    ,290,198元，包括新增臺北市",
,,,,,,,,    公共自行車租賃系統營運廠商,
,,,,,,,,    104年度財務報表委託會計師,
,,,,,,,,    全國聯合會評鑑查核費用 50,
,,,,,,,,"    ,000元，增列外勤交通費、辦",
,,,,,,,,    理臺北市公共自行車租賃系統,
,,,,,,,,    建置及營運管理案(含第二階,
,,,,,,,,"    段)等 70,494,088元，減列藍",
,,,,,,,,    色公路營運審議小組專家學者,
,,,,,,,,    出席費、參加Velo-city全球,
,,,,,,,,    自行車城市大會暨自行車環境,
,,,,,,,,    建設考察費用及辦理本市公共,
,,,,,,,,"    自行車推廣使用計畫 21,253",
,,,,,,,,"    ,890元，計淨增如列數。",
,,,,,,,," (4)公共運輸管理督導 656,200元",
,,,,,,,,"    ，較上年度預算數 603,450元",
,,,,,,,,"    增列 52,750元，包括增列外",
,,,,,,,,    勤誤餐及交通費、藍色公路營,
,,,,,,,,    運審議小組專家學者出席費,
,,,,,,,,"     52,830元，減列業務用文具",
,,,,,,,,    用品費等80元，計淨增如列數,
,,,,,,,,    。,
,,,,,,,, (5)辦理2016年Velo-city Global,
,,,,,,,,"    全球自行車城市大會 19,211",
,,,,,,,,"    ,000元，較上年度預算數 20",
,,,,,,,,"    ,607,800元減列 1,396,800元",
,,,,,,,,    ，包括增列辦理2016年Velo-c,
,,,,,,,,    ity Global全球自行車城市大,
,,,,,,,,"    會相關費用 4,228,200元，減",
,,,,,,,,    列依契約規定支付歐洲自行車,
,,,,,,,,    聯盟權利金及辦理亞洲城市自,
,,,,,,,,"    行車論壇相關經費 5,625,000",
,,,,,,,,    元，計淨減如列數。,
,,,,　　　330302,,,,,
,,, 2,　　　交通安全,"20,435,832","22,904,140","-2,468,308",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 11,561,712元，較",
,,,,,,,,"  上年度預算數 11,875,500元減",
,,,,,,,,"  列 313,788元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.安全改善評估 502,200元，較上",
,,,,,,,,"  年度預算數 475,581元增列業務",
,,,,,,,,  用文具用品費及肇事空間資料校,
,,,,,,,,  正及肇事地點分析系統功能維護,
,,,,,,,,"   26,619元。",
,,,,,,,,"3.事故防制改善 421,250元，較上",
,,,,,,,,"  年度預算數 482,390元減列 61",
,,,,,,,,"  ,140元，包括增列通訊費及印製",
,,,,,,,,  覆議作業所需表格及繕打覆議意,
,,,,,,,,"  見書 10,860元，減列車輛行車",
,,,,,,,,  事故鑑定案件覆議會議學者專家,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
 8,   1, 3, 2,,,,,"  兼職費 72,000元，計淨減如列",
,,,,,,,,  數。,
,,,,,,,,"4.交通安全宣導 7,950,670元，較",
,,,,,,,,"  上年度預算數 10,070,669元減",
,,,,,,,,"  列 2,119,999元，包括增列辦理",
,,,,,,,,  優良汽車駕駛人表揚評審會、頒,
,,,,,,,,  獎典禮、宣導文具用品等所需費,
,,,,,,,,  用、辦理行車安全宣導與改善評,
,,,,,,,,  估及普通重型機車考照前駕駛訓,
,,,,,,,,  練補助及交通安全宣導競賽獎金,
