臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,10000,,,,,
10,,,,勞動局主管,"5,360,527,178","4,350,615,515","1,009,911,663",,
,,,,,,,,,
,,,,　10101,,,,,
,   1,,,　勞動局,"4,799,834,926","3,810,163,575","989,671,351",,
,,,,,,,,,
,,,,　　430100,,,,,
,, 1,,　　一般行政,"83,683,074","80,527,008","3,156,066",,
,,,,,,,,,
,,,,　　　430101,,,,,
,,, 1,　　　行政管理,"83,683,074","80,527,008","3,156,066",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 64,732,879元，較",
,,,,,,,,"  上年度預算數 60,983,158元增",
,,,,,,,,"  列 3,749,721元，主要係依標準",
,,,,,,,,  伸算、因應勞動基準法第56條修,
,,,,,,,,  法增加提撥職工退休離職儲金、,
,,,,,,,,  增列1名職工退休退職給付及減,
,,,,,,,,  列3名職工薪津等增減互抵所致,
,,,,,,,,  。,
,,,,,,,,"2.一般業務 18,084,885元，較上",
,,,,,,,,"  年度預算數 18,901,660元減列",
,,,,,,,,"  816,775元，包括新增勞動雲單",
,,,,,,,,  一入口網站前後台擴充服務費、,
,,,,,,,,  勞教館及檔案室等搬遷至萬華車,
,,,,,,,,"  站辦公大樓搬遷費用等 4,716",
,,,,,,,,"  ,410元，增列網站維護更新、員",
,,,,,,,,"  工上下班交通費等 533,076元，",
,,,,,,,,  減列內部行政網站系統改版服務,
,,,,,,,,  費、業務資訊系統擴充服務費等,
,,,,,,,,"   6,066,261元，計淨減如列數。",
,,,,,,,,"3.會計業務 158,100元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 631,300元，較上年度",
,,,,,,,,"  預算數 408,180元增列文康活動",
,,,,,,,,  費及接送替代役役男輸送費 223,
,,,,,,,,"  ,120元。",
,,,,,,,,"5.政風業務 75,910元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,　　430200,,,,,
,, 2,,　　和諧勞資關係,"128,341,165","129,911,572","-1,570,407",,
,,,,,,,,,
,,,,　　　430201,,,,,
,,, 1,　　　工會組織及勞動權益,"128,341,165","129,911,572","-1,570,407",1.本科目係由上年度「工會組織及,
,,,,　　　業務,,,,  勞工福利」、「勞動權益保護」,
,,,,,,,,  及「勞動安全維護」科目合併改,
,,,,,,,,  設。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 60,706,293元，",
,,,,,,,,"    較上年度預算數 55,239,900",
,,,,,,,,"    元增列 5,466,393元，主要係",
,,,,,,,,    依標準伸算及因應勞動基準法,
,,,,,,,,    第56條修法增加提撥職工退休,
,,,,,,,,    離職儲金所致。,
,,,,,,,, (2)工會組織及退休福利措施 51,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
10,   1, 2, 1,,,,,"    ,058,770元，較上年度預算數",
,,,,,,,,"     62,202,770元減列 11,144",
,,,,,,,,"    ,000元，包括增列補助本市總",
,,,,,,,,    工會房屋租金補助及補助工會,
,,,,,,,,    國際及兩岸等相關交流及技能,
,,,,,,,,"    活動經費 760,000元，減列辦",
,,,,,,,,    理幸福企業標章認證及宣導活,
,,,,,,,,    動、95年度前核定輔助勞工建,
,,,,,,,,    購及修繕住宅貸款貼補利息及,
,,,,,,,,"    手續費等 11,904,000元，計",
,,,,,,,,    淨減如列數。,
,,,,,,,," (3)勞動法令諮詢服務 3,094,359",
,,,,,,,,"    元，較上年度預算數 2,987",
,,,,,,,,"    ,134元增列 107,225元，包括",
,,,,,,,,    新增辦理「勞動條件檢查陪同,
,,,,,,,,    鑑定作業」人員出席費 400,
,,,,,,,,"    ,000元，增列勞動法令研討會",
,,,,,,,,    及義務律師法律諮詢服務出席,
,,,,,,,,"    費 521,000元，減列行政訴訟",
,,,,,,,,    之訴訟費及律師費、民間團體,
,,,,,,,,    協處勞資爭議審查費等 813,
,,,,,,,,"    ,775元，計淨增如列數。",
,,,,,,,, (4)職業安全衛生推廣及處分 10,
,,,,,,,,"    ,153,168元，較上年度預算數",
,,,,,,,,"     9,481,768元增列 671,400元",
,,,,,,,,    ，包括新增辦理本市勞動安全,
,,,,,,,,    獎獎金、辦理本市勞動安全獎,
,,,,,,,,    表揚活動獎座、專刊印刷、場,
,,,,,,,,"    地佈置及便當費等 653,800元",
,,,,,,,,    ，增列本市勞工職業災害重殘,
,,,,,,,,    、職業病及死亡慰問金及辦理,
,,,,,,,,"    業務外勤誤餐費 304,800元，",
,,,,,,,,    減列行政訴訟之訴訟費及律師,
,,,,,,,,    費、職業病認定委員會委員及,
,,,,,,,,"    調查委員出席費等 287,200元",
,,,,,,,,    ，計淨增如列數。,
,,,,,,,, (5)新增勞動條件檢查及處分 3,
,,,,,,,,"    ,328,575元。",
,,,,　　410300,,,,,
,, 3,,　　勞工保險業務,"4,472,886,634","3,534,045,775","938,840,859",,
,,,,,,,,,
,,,,　　　410301,,,,,
,,, 1,　　　勞健保勞工保險費補,"4,472,886,634","3,534,045,775","938,840,859",本年度預算數之內容與上年度之比,
,,,,　　　助爭議款處理,,,,較如下：,
,,,,,,,,"1.一般業務 13,775元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,2.補助設籍本市住民勞工保險及全,
,,,,,,,,  民健康保險保險費支追溯更調金,
,,,,,,,,"  額 16,000,000元，較上年度預",
,,,,,,,,"  算數 100,000元增列 15,900",
,,,,,,,,"  ,000元。",
,,,,,,,,3.攤撥99暨以前年度勞工保險及全,
,,,,,,,,  民健康保險保險費補助款、100,
,,,,,,,,  年至101年6月非設籍本市住民勞,
,,,,,,,,  工保險及全民健康保險保險費與,
,,,,,,,,  非設籍追溯更調補助款(包括本,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
10,   1, 3, 1,,,,,"  府及中央政府負擔部分) 4,456",
,,,,,,,,"  ,872,859，較上年度預算數 3",
,,,,,,,,"  ,533,932,000元增列 922,940",
,,,,,,,,"  ,859元。",
,,,,　　440400,,,,,
,, 4,,　　就業促進措施,"15,406,821","15,795,933","-389,112",,
,,,,,,,,,
,,,,　　　440401,,,,,
,,, 1,　　　就業安全,"15,406,821","15,795,933","-389,112",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 11,721,513元，較",
,,,,,,,,"  上年度預算數 11,910,625元減",
,,,,,,,,"  列 189,112元，主要係依實際需",
,,,,,,,,  要覈實減列所致。,
,,,,,,,,2.辦理就業促進相關業務工作 2,
,,,,,,,,"  ,492,490元，較上年度預算數 2",
,,,,,,,,"  ,692,490元減列就業服務相關宣",
,,,,,,,,  導費、職業訓練及就業服務期間,
,,,,,,,,"  照護補助費用 200,000元。",
,,,,,,,,3.性別工作平等暨就業歧視防制工,
,,,,,,,,"  作 1,192,818元，較上年度預算",
,,,,,,,,  數無增減。,
,,,,　　430500,,,,,
,, 5,,　　勞動教育文化,"44,347,910","45,373,894","-1,025,984",,
,,,,,,,,,
,,,,　　　430501,,,,,
,,, 1,　　　勞動教育文化,"44,347,910","45,373,894","-1,025,984",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 12,184,015元，較",
,,,,,,,,"  上年度預算數 13,193,379元減",
,,,,,,,,"  列 1,009,364元，主要係依實際",
,,,,,,,,  需要覈實減列所致。,
,,,,,,,,"2.勞動教育文化推廣業務 32,163",
,,,,,,,,"  ,895元，較上年度預算數 32",
,,,,,,,,"  ,180,515元減列 16,620元，包",
,,,,,,,,  括增列補助本市產職業工會事業,
,,,,,,,,  單位及人民團體辦理勞動教育、,
,,,,,,,,  辦理勞動教育文化業務外聘講師,
,,,,,,,,"  鐘點費等 1,048,420元，減列辦",
,,,,,,,,  理臺北市勞工電影院等相關費用,
,,,,,,,,  、韓國國民職能培育開發及技能,
,,,,,,,,"  競賽選手培育訪查等 1,065,040",
,,,,,,,,  元，計淨減如列數。,
,,,,　　433900,,,,,
,, 6,,　　接受補助業務支出,"35,632,256",-,"35,632,256",,
,,,,,,,,,
,,,,　　　433902,,,,,
,,, 1,　　　接受中央各部會補助,"35,632,256",-,"35,632,256",1.本科目係本年度新增。,
,,,,　　　業務支出,,,,2.本年度編列勞動部補助本市辦理,
,,,,,,,,  督促事業單位遵守勞動條件相關,
,,,,,,,,  法令實施計畫如列數。,
,,,,　　437100,,,,,
,, 7,,　　建築及設備,"16,987,066","1,959,393","15,027,673",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　　437102,,,,,
10,   1, 7, 1,　　　營建工程,"15,795,620","558,524","15,237,096",本年度編列萬華車站辦公大樓裝修,
,,,,,,,,工程如列數。,
,,,,　　　437104,,,,,
,,, 2,　　　其他設備,"1,191,446","1,400,869","-209,423",本年度編列個人電腦28部、電腦周,
,,,,,,,,邊設備及零組件、套裝軟體、電腦,
,,,,,,,,圖書費、數位攝影機1臺，共計如,
,,,,,,,,列數。,
,,,,　　434100,,,,,
,, 8,,　　第一預備金,"2,550,000","2,550,000",0,,
,,,,,,,,,
,,,,　　　434101,,,,,
,,, 1,　　　第一預備金,"2,550,000","2,550,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,　10102,,,,,
,   2,,,　就業服務處,"160,825,731","137,923,791","22,901,940",,
,,,,,,,,,
,,,,　　440100,,,,,
,, 1,,　　一般行政,"30,414,679","30,390,191","24,488",,
,,,,,,,,,
,,,,　　　440101,,,,,
,,, 1,　　　行政管理,"30,414,679","30,390,191","24,488",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 16,678,367元，較",
,,,,,,,,"  上年度預算數 16,569,603元增",
,,,,,,,,"  列 108,764元，主要係依標準伸",
,,,,,,,,  算及因應勞動基準法第56條修法,
,,,,,,,,  增加提撥職工退休離職儲金所致,
,,,,,,,,  。,
,,,,,,,,"2.一般業務 11,517,593元，較上",
,,,,,,,,"  年度預算數 11,259,152元增列",
,,,,,,,,"  258,441元，包括新增西門就業",
,,,,,,,,  服務站地板修繕、進駐萬華車站,
,,,,,,,,"  辦公大樓搬遷費用等 866,350元",
,,,,,,,,  ，增列電腦設備硬體維護費、客,
,,,,,,,,"  貨兩用車養護費等 101,470元，",
,,,,,,,,  減列員工上下班交通費、承德就,
,,,,,,,,"  業服務站地板修繕等 709,379元",
,,,,,,,,  ，計淨增如列數。,
,,,,,,,,"3.會計業務 102,505元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 201,645元，較上年度",
,,,,,,,,"  預算數 142,125元增列文康活動",
,,,,,,,,"  費 59,520元。",
,,,,,,,,"5.政風業務 25,320元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"6.承德勞動文化園區 1,889,249元",
,,,,,,,,"  ，較上年度預算數 2,291,486元",
,,,,,,,,"  減列 402,237元，包括增列園區",
,,,,,,,,  電費2元，減列園區發電機用高,
,,,,,,,,  級柴油、園區設施養護等 402,
,,,,,,,,"  ,239元，計淨減如列數。",
,,,,　　440200,,,,,
,, 2,,　　就業服務,"101,070,619","105,300,686","-4,230,067",,
,,,,,,,,,
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　　440201,,,,,
10,   2, 2, 1,　　　就業輔導,"50,696,664","51,065,907","-369,243",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 28,495,728元，較",
,,,,,,,,"  上年度預算數 28,326,924元增",
,,,,,,,,"  列 168,804元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.職業介紹 5,031,330元，較上年",
,,,,,,,,"  度預算數 4,989,190元增列 42",
,,,,,,,,"  ,140元，包括新增吸頂式輕鋼架",
,,,,,,,,  型節能循環扇及頂好就業服務站,
,,,,,,,,"  冷氣送風機組維護費用 54,140",
,,,,,,,,"  元，減列數位相機 12,000元，",
,,,,,,,,  計淨增如列數。,
,,,,,,,,"3.特定對象就業服務 3,542,456元",
,,,,,,,,"  ，較上年度預算數 3,780,575元",
