臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,12000,,,,,
12,,,,衛生局主管,"5,008,200,546","4,928,919,011","79,281,535",,
,,,,,,,,,
,,,,　12101,,,,,
,   1,,,　衛生局,"4,566,121,744","4,471,533,360","94,588,384",,
,,,,,,,,,
,,,,　　450100,,,,,
,, 1,,　　一般行政,"135,498,536","129,301,966","6,196,570",,
,,,,,,,,,
,,,,　　　450101,,,,,
,,, 1,　　　行政管理,"135,498,536","129,301,966","6,196,570",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 98,959,188元，較",
,,,,,,,,"  上年度預算數 90,599,023元增",
,,,,,,,,"  列 8,360,165元，主要係因應勞",
,,,,,,,,  動基準法第56條修法增加提撥職,
,,,,,,,,"  工退休離職儲金 8,852,712元、",
,,,,,,,,"  職工退休退職給付 100,710元及",
,,,,,,,,"  減列駕駛1名 533,988元及依實",
,,,,,,,,  際需要覈實減列等增減互抵所致,
,,,,,,,,  。,
,,,,,,,,"2.一般業務 15,023,314元，較上",
,,,,,,,,"  年度預算數 18,064,405元減列",
,,,,,,,,"  3,041,091元，包括新增衛生環",
,,,,,,,,  境檢驗大樓公共安全檢查簽證費,
,,,,,,,,  、辦理環境教育及職業安全衛生,
,,,,,,,,"  講習之講師鐘點費等 47,400元",
,,,,,,,,  ，增列稅捐及規費、車輛及辦公,
,,,,,,,,"  器具養護費等 71,183元，減列",
,,,,,,,,  員工上下班交通費、華山市場水,
,,,,,,,,  電費、保全系統服務費、房屋建,
,,,,,,,,  築養護費、設施及機械設備養護,
,,,,,,,,  費及雜支等經常維持經費、油料,
,,,,,,,,  、檔案庫房載重安全鑑定費等 3,
,,,,,,,,"  ,159,674元，計淨減如列數。",
,,,,,,,,"3.會計業務 503,000元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.統計業務 116,020元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"5.人事業務 1,479,800元，較上年",
,,,,,,,,"  度預算數 1,114,580元增列文康",
,,,,,,,,"  活動費 365,220元。",
,,,,,,,,"6.政風業務 100,500元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"7.資訊業務 19,316,714元，較上",
,,,,,,,,"  年度預算數 18,804,438元增列",
,,,,,,,,"  512,276元，包括新增台北卡-健",
,,,,,,,,  康服務管理系統擴充暨維護費,
,,,,,,,,"   600,000元，增列軟體維護服務",
,,,,,,,,"  費 297,441元，減列健康雲端保",
,,,,,,,,  健服務雲端資訊服務費、電腦設,
,,,,,,,,  備硬體維護費及相關消耗品費用,
,,,,,,,,"   385,165元，計淨增如列數。",
,,,,　　450200,,,,,
,, 2,,　　疾病管制業務,"212,143,651","237,649,962","-25,506,311",,
,,,,,,,,,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,　　　450201,,,,,
12,   1, 2, 1,　　　疾病管制工作,"212,143,651","237,649,962","-25,506,311",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 86,000,735元，較",
,,,,,,,,"  上年度預算數 95,003,924元減",
,,,,,,,,"  列 9,003,189元，主要係調整5",
,,,,,,,,  名人力辦理檢驗業務及依實際需,
,,,,,,,,  要覈實減列所致。,
,,,,,,,,"2.疫情監測 112,330,581元，較上",
,,,,,,,,"  年度預算數 110,490,033元增列",
,,,,,,,,"   1,840,548元，包括新增辦理護",
,,,,,,,,  理機構感染管制實地查核之初、,
,,,,,,,,"  複查相關經費 263,000元，增列",
,,,,,,,,  傳染病防治用品購買費、委託專,
,,,,,,,,  業團體或醫療機構辦理醫院感染,
,,,,,,,,  管制實地查核之初、複查相關經,
,,,,,,,,  費、防疫檢體運送等相關費用 1,
,,,,,,,,"  ,606,868元，減列志工保險費、",
,,,,,,,,"  志工餐點及交通補助 29,320元",
,,,,,,,,  ，計淨增如列數。,
,,,,,,,,"3.營業衛生管理 1,210,828元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,,,,,"4.急性傳染病防治 5,185,858元，",
,,,,,,,,"  較上年度預算數 13,746,258元",
,,,,,,,,  ，減列辦理社區防疫工作等相關,
,,,,,,,,"  活動經費 8,560,400元。",
,,,,,,,,"5.慢性傳染病防治 7,415,649元，",
,,,,,,,,"  較上年度預算數 17,198,919元",
,,,,,,,,"  ，減列 9,783,270元，包括增列",
,,,,,,,,  防疫相關業務衛教宣導及教育訓,
,,,,,,,,  練、宣導品、獎品及雜支等相關,
,,,,,,,,"  經費 370,000元，減列委託民間",
,,,,,,,,  團體、專業團體或醫療機構辦理,
,,,,,,,,  性病及愛滋防治個案管理、衛教,
,,,,,,,,  宣導、教育訓練及外展篩檢等業,
,,,,,,,,  務、委託民間團體、專業團體或,
,,,,,,,,  醫療機構辦理毒品危害防制個案,
,,,,,,,,  管理、衛教宣導、教育訓練及家,
,,,,,,,,  庭支持團體活動等業務、毒品危,
,,,,,,,,  害防制及視導業務、防疫衛教宣,
,,,,,,,,  導及教育訓練、宣導品、獎品及,
,,,,,,,,"  雜支等相關經費 10,153,270元",
,,,,,,,,  ，計淨減如列數。,
,,,,　　450300,,,,,
,, 3,,　　醫護管理業務,"114,315,916","99,391,451","14,924,465",,
,,,,,,,,,
,,,,　　　450301,,,,,
,,, 1,　　　醫護管理工作,"114,315,916","99,391,451","14,924,465",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 60,878,071元，較",
,,,,,,,,"  上年度預算數 60,843,496元增",
,,,,,,,,"  列 34,575元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.醫事管理 2,677,599元，較上年",
,,,,,,,,"  度預算數 2,682,599元，減列民",
,,,,,,,,  眾檢舉違規醫療法、醫師法、護,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
12,   1, 3, 1,,,,,  理人員法及醫事人員等案件獎金,
,,,,,,,,"   5,000元。",
,,,,,,,,"3.醫療安全管理 13,966,580元，",
,,,,,,,,"  較上年度預算數 3,730,630元增",
,,,,,,,,"  列 10,235,950元，包括新增委",
,,,,,,,,  託民間團體辦理社區關懷醫師整,
,,,,,,,,  合性照護等相關業務經費 10,
,,,,,,,,"  ,236,350元，減列醫事團體慶祝",
,,,,,,,,  活動、授證典禮演出費400元，,
,,,,,,,,  計淨增如列數。,
,,,,,,,,"4.緊急救護 10,755,180元，較上",
,,,,,,,,"  年度預算數 8,525,180元增列 2",
,,,,,,,,"  ,230,000元，包括新增委託專業",
,,,,,,,,  團體辦理本市校園CPR+AED暨防,
,,,,,,,,"  災教育推動費 2,224,000元，增",
,,,,,,,,  列天然災害防救系統維護費 6,
,,,,,,,,"  ,000元，共增如列數。",
,,,,,,,,"5.心理衛生 26,038,486元，較上",
,,,,,,,,"  年度預算數 23,609,546元增列",
,,,,,,,,"  2,428,940元，包括增列地價稅",
,,,,,,,,  及房屋稅、性侵害加害人(含未,
,,,,,,,,  成年個案)處遇費用評估小組議,
,,,,,,,,  專家學者、治療師出席費等相關,
,,,,,,,,  費用、辦理精神病人或疑似精神,
,,,,,,,,  病人之緊急處置、協助送醫、關,
,,,,,,,,"  懷訪視等方式之相關費用 2,568",
,,,,,,,,"  ,940元，減列補助民間團體及醫",
,,,,,,,,  療機構辦理社區心理衛生相關方,
,,,,,,,,"  案業務經費 140,000元，計淨增",
,,,,,,,,  如列數。,
,,,,　　450400,,,,,
,, 4,,　　食品藥物管理業務,"102,883,718","105,282,300","-2,398,582",,
,,,,,,,,,
,,,,　　　450401,,,,,
,,, 1,　　　食品藥物管理工作,"102,883,718","105,282,300","-2,398,582",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 74,942,330元，較",
,,,,,,,,"  上年度預算數 78,468,819元減",
,,,,,,,,"  列 3,526,489元，主要係依實際",
,,,,,,,,  需要覈實減列所致。,
,,,,,,,,"2.證照管理 5,810,669元，較上年",
,,,,,,,,"  度預算數 5,556,819元增列 253",
,,,,,,,,"  ,850元，包括新增服務台、隔屏",
,,,,,,,,  、桌板、置物矮櫃、名牌架等,
,,,,,,,,"   254,850元，減列藥政執照及藥",
,,,,,,,,  物、化粧品廣告申請規費委由超,
,,,,,,,,"  商代收手續費 1,000元，計淨增",
,,,,,,,,  如列數。,
,,,,,,,,"3.產業輔導 3,724,580元，較上年",
,,,,,,,,"  度預算數 3,697,410元增列志工",
,,,,,,,,"  餐點及交通補助 27,170元。",
,,,,,,,,"4.消費者保護 3,909,300元，較上",
,,,,,,,,"  年度預算數 2,399,325元增列 1",
,,,,,,,,"  ,509,975元，包括新增提撥食品",
,,,,,,,,"  安全保護基金 1,600,000元，增",
,,,,,,,,  列聘請長期藥事服務、四年躍進,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
12,   1, 4, 1,,,,,  計畫指導等評選委員會、專家出,
,,,,,,,,  席、評鑑費及訪視等費用、辦理,
,,,,,,,,  用藥安全、藥物濫用防制、藥物,
,,,,,,,,  檢收、長照藥事服務、化粧品等,
,,,,,,,,  稽查、宣導活動場地佈置及活動,
,,,,,,,,"  雜支 74,000元，減列出席藥物",
,,,,,,,,"  國際會議等 164,025元，計淨增",
,,,,,,,,  如列數。,
,,,,,,,,"5.違規處理 1,785,414元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"6.衛生查驗 8,211,015元，較上年",
,,,,,,,,"  度預算數 8,874,103元減列租賃",
,,,,,,,,  車輛供稽查業務執行使用、油料,
,,,,,,,,"   663,088元。",
,,,,,,,,"7.稽查取締 4,500,410元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,　　450500,,,,,
,, 5,,　　健康管理業務,"144,822,120","160,904,141","-16,082,021",,
,,,,,,,,,
,,,,　　　450501,,,,,
,,, 1,　　　健康管理工作,"144,822,120","160,904,141","-16,082,021",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 38,333,144元，較",
,,,,,,,,"  上年度預算數 38,307,765元增",
,,,,,,,,"  列 25,379元，主要係依標準伸",
,,,,,,,,  算所致。,
,,,,,,,,"2.健康促進 26,541,220元，較上",
,,,,,,,,"  年度預算數 32,056,420元減列",
,,,,,,,,  結合或委託專業團體辦理健康城,
,,,,,,,,  市及安全社區等相關經費、辦理,
,,,,,,,,  台北卡健康服務所需宣導業務及,
,,,,,,,,  雜支、辦理發行台北卡健康點數,
,,,,,,,,"  兌換費用 5,515,200元。",
,,,,,,,,"3.癌症防治 8,988,726元，較上年",
,,,,,,,,  度預算數無增減。,
,,,,,,,,"4.兒童及青少年保健 65,964,200",
,,,,,,,,"  元，較上年度預算數 76,223",
,,,,,,,,"  ,400元減列辦理臺北市學童塗氟",
,,,,,,,,  及窩溝封填防齲計畫、辦理臺北,
,,,,,,,,  市學童高度近視防治計畫視力檢,
,,,,,,,,  查補助費、辦理臺北市學童窩溝,
,,,,,,,,  封填防齲計畫窩溝封填服務補助,
,,,,,,,,"  費等 10,259,200元。",
,,,,,,,,"5.婦幼及優生保健 4,994,830元，",
,,,,,,,,"  較上年度預算數 5,327,830元減",
,,,,,,,,  列委託專業團體產後母乳哺育諮,
,,,,,,,,  詢追蹤調查分析經費、委託專業,
,,,,,,,,  遺傳學會進行產前遺傳診斷異常,
,,,,,,,,  個案及先天性缺陷兒童電話追蹤,
,,,,,,,,"  訪視 333,000元。",
,,,,　　450600,,,,,
,, 6,,　　研究發展考核業務,"3,370,013,989","3,347,681,918","22,332,071",,
,,,,,,,,,
,,,,　　　450601,,,,,
,,, 1,　　　研究發展考核工作,"3,370,013,989","3,347,681,918","22,332,071",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
12,   1, 6, 1,,,,,"1.人員維持費 20,307,182元，較",
,,,,,,,,"  上年度預算數 20,315,883元減",
,,,,,,,,"  列 8,701元，主要係依實際需要",
,,,,,,,,  覈實減列所致。,
,,,,,,,,"2.研究發展 1,382,922元，較上年",
,,,,,,,,"  度預算數 1,324,380元增列 58",
