臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,15000,,,,,
15,,,,文化局主管,"3,006,234,978","5,023,820,897","-2,017,585,919",,
,,,,,,,,,
,,,,　15101,,,,,
,   1,,,　文化局,"1,823,338,430","3,898,850,915","-2,075,512,485",,
,,,,,,,,,
,,,,　　220100,,,,,
,, 1,,　　一般行政,"70,021,252","65,846,317","4,174,935",,
,,,,,,,,,
,,,,　　　220101,,,,,
,,, 1,　　　行政管理,"70,021,252","65,846,317","4,174,935",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 58,376,459元，較",
,,,,,,,,"  上年度預算數 53,691,787元增",
,,,,,,,,"  列 4,684,672元，主要係員額調",
,,,,,,,,  整增列職工8人及依標準伸算所,
,,,,,,,,  致。,
,,,,,,,,"2.一般業務 10,440,443元，較上",
,,,,,,,,"  年度預算數 11,087,890元減列",
,,,,,,,,"  647,447元，包括增列個人電腦",
,,,,,,,,  、周邊設備維護費、客貨兩用車,
,,,,,,,,  養護費、伺服器軟硬體維護及駐,
,,,,,,,,"  點服務人員費等 266,175元，減",
,,,,,,,,  列員工上下班交通費、統籌業務,
,,,,,,,,  費、公務使用之租車費、油料、,
,,,,,,,,  電腦相關設備耗材、軟體維護、,
,,,,,,,,"  英文網頁製作及維護等 913,622",
,,,,,,,,  元，計淨減如列數。,
,,,,,,,,"3.會計業務 429,320元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 695,790元，較上年度",
,,,,,,,,"  預算數 558,080元增列文康活動",
,,,,,,,,"  費 137,710元。",
,,,,,,,,"5.政風業務 79,240元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,　　220200,,,,,
,, 2,,　　綜合計畫,"503,405,054","476,089,286","27,315,768",,
,,,,,,,,,
,,,,　　　220201,,,,,
,,, 1,　　　文化環境之規劃,"503,405,054","476,089,286","27,315,768",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 17,465,532元，較",
,,,,,,,,"  上年度預算數 17,472,456元減",
,,,,,,,,"  列 6,924元，主要係依標準伸算",
,,,,,,,,  所致。,
,,,,,,,,"2.文化政策之研究 1,731,660元，",
,,,,,,,,  較上年度預算數無增減。,
,,,,,,,,3.改善藝文環境及人才獎勵與培訓,
,,,,,,,,"   40,540,200元，較上年度預算",
,,,,,,,,"  數 32,975,766元增列 7,564",
,,,,,,,,"  ,434元，包括新增辦理臺北聲音",
,,,,,,,,"  地景計畫 3,000,000元，增列臺",
,,,,,,,,  北市流行音樂產業推動及輔導計,
,,,,,,,,  畫、赴北京參展北京文博會及補,
,,,,,,,,  助財團法人台北市文化基金會辦,
,,,,,,,,"  理文化創意產業活動 8,024,000",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
15,   1, 2, 1,,,,,  元，減列明倫創造力學園地價稅,
,,,,,,,,"  、房屋稅及推廣費用 3,459,566",
,,,,,,,,  元，計淨增如列數。,
,,,,,,,,"4.國際文化藝術交流 60,139,802",
,,,,,,,,"  元，較上年度預算數 63,353",
,,,,,,,,"  ,043元減列 3,213,241元，包括",
,,,,,,,,"  新增赴東京參加藝術節 65,000",
,,,,,,,,  元，減列辦理國際影展等相關活,
,,,,,,,,  動、補助財團法人台北市文化基,
,,,,,,,,  金會辦理藝術村經營管理及修繕,
,,,,,,,,"  設備 3,278,241元，計淨減如列",
,,,,,,,,  數。,
,,,,,,,,"5.藝術文化補助業務 88,212,860",
,,,,,,,,  元，較上年度預算數無增減。,
,,,,,,,,"6.減列流行音樂推動業務 8,568",
,,,,,,,,"  ,701元。",
,,,,,,,,7.2016世界設計之都專案計畫 295,
,,,,,,,,"  ,315,000元，較上年度預算數",
,,,,,,,,"   263,774,800元增列 31,540",
,,,,,,,,"  ,200元，包括新增志工意外保險",
,,,,,,,,  費、餐點及交通補貼代金 426,
,,,,,,,,"  ,000元，增列官方活動、國際設",
,,,,,,,,  計交流專案、國內推廣專案等規,
,,,,,,,,  劃及執行費用及籌辦營運行政相,
,,,,,,,,"  關費用等 103,704,000元，減列",
,,,,,,,,  設計產業園區規劃及營運管理相,
,,,,,,,,  關費用、公共政策導入設計專案,
,,,,,,,,  計畫、出席2015 IDA世界設計大,
,,,,,,,,  會、設計攪動補助計畫、補助學,
,,,,,,,,  校辦理世界設計之都設計教育紮,
,,,,,,,,  根計畫及獎勵設計攪動成效優良,
,,,,,,,,"  案獎金 72,589,800元，計淨增",
,,,,,,,,  如列數。,
,,,,　　220300,,,,,
,, 3,,　　文化資產之保存,"90,847,109","96,964,085","-6,116,976",,
,,,,,,,,,
,,,,　　　220301,,,,,
,,, 1,　　　文化資產之維護與活,"90,847,109","96,964,085","-6,116,976",本年度預算數之內容與上年度之比,
,,,,　　　化推廣,,,,較如下：,
,,,,,,,,"1.人員維持費 17,909,170元，較",
,,,,,,,,"  上年度預算數 19,397,646元減",
,,,,,,,,"  列 1,488,476元，主要係依標準",
,,,,,,,,  伸算及實際需要覈實減列所致。,
,,,,,,,,2.文化資產保存與維護活化 20,
,,,,,,,,"  ,943,648元，較上年度預算數 7",
,,,,,,,,"  ,524,648元增列 13,419,000元",
,,,,,,,,  ，包括新增歷史建築嘉禾新村土,
,,,,,,,,  地租金、辦理文化資產訪視查核,
,,,,,,,,  及守護計畫、辦理新北投車站開,
,,,,,,,,  幕系列活動、補助財團法人台北,
,,,,,,,,  市文化基金會辦理新北投車站經,
,,,,,,,,  營管理、教育推廣及設備建置計,
,,,,,,,,"  畫 15,250,000元，減列新北投",
,,,,,,,,  車站委託經營管理費、觀摩外縣,
,,,,,,,,  市文化資產及出席外縣市文化資,
,,,,,,,,"  產相關會議旅費 1,831,000元，",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
15,   1, 3, 1,,,,,  計淨增如列數。,
,,,,,,,,"3.文化資產推廣與行銷 1,500,000",
,,,,,,,,"  元，較上年度預算數 18,500",
,,,,,,,,"  ,000元減列臺北市文化遺址保存",
,,,,,,,,  與教育推廣計畫及臺北鐵道文化,
,,,,,,,,"  節推廣計畫 17,000,000元。",
,,,,,,,,"4.私有文化資產補助 13,500,000",
,,,,,,,,  元，較上年度預算數無增減。,
,,,,,,,,"5.名人故居之相關營運費用 5,700",
,,,,,,,,"  ,000元，較上年度預算數無增減",
,,,,,,,,  。,
,,,,,,,,"6.二二八紀念館營運管理 11,344",
,,,,,,,,"  ,291元，較上年度預算數 11",
,,,,,,,,"  ,371,791元減列志工餐點及交通",
,,,,,,,,"  補貼代金 27,500元。",
,,,,,,,,7.新文化運動館籌備處營運管理 3,
,,,,,,,,"  ,050,000元，較上年度預算數 1",
,,,,,,,,"  ,230,000元增列 1,820,000元，",
,,,,,,,,"  包括新增辦理研討會 980,000元",
,,,,,,,,  ，增列臺灣新文化運動紀念館籌,
,,,,,,,,"  備處營運管理計畫 840,000元，",
,,,,,,,,  共增如列數。,
,,,,,,,,"8.婦女人權館營運管理 400,000元",
,,,,,,,,  ，較上年度預算數無增減。,
,,,,,,,,9.「剝皮寮歷史街區」管理維護,
,,,,,,,,"   10,400,000元，較上年度預算",
,,,,,,,,"  數 11,340,000元減列剝皮寮特",
,,,,,,,,"  展及文化資產推廣活動 940,000",
,,,,,,,,  元。,
,,,,,,,,"10.老房子文化運動計畫 6,100",
,,,,,,,,"   ,000元，較上年度預算數 8",
,,,,,,,,"   ,000,000元減列老房子文化運",
,,,,,,,,"   動影像紀錄 1,900,000元。",
,,,,　　220400,,,,,
,, 4,,　　藝文工作之推動,"571,376,735","445,527,103","125,849,632",,
,,,,,,,,,
,,,,　　　220401,,,,,
,,, 1,　　　藝文工作之策劃與推,"571,376,735","445,527,103","125,849,632","1.本科目上年度預算數 380,721",
,,,,　　　動,,,,"  ,503元，連同由臺北文化藝術設",
,,,,,,,,  施籌備處籌設業務科目移入表演,
,,,,,,,,  藝術專案補助計畫及臺北表演藝,
,,,,,,,,"  術中心節目製作費 64,805,600",
,,,,,,,,  元，共計如列數。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 17,152,421元，",
,,,,,,,,"    較上年度預算數 17,925,089",
,,,,,,,,"    元減列 772,668元，主要係依",
,,,,,,,,    標準伸算及實際需要覈實減列,
,,,,,,,,    所致。,
,,,,,,,," (2)專業藝文之規劃與推動 7,067",
,,,,,,,,"    ,920元，較上年度預算數 9",
,,,,,,,,"    ,667,920元減列文化快遞編印",
,,,,,,,,"    等藝文行銷推廣費 2,600,000",
,,,,,,,,    元。,
,,,,,,,, (3)傳統藝術、民俗及有關文物之,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
15,   1, 4, 1,,,,,"    規 9,347,160元，較上年度預",
,,,,,,,,"    算數 9,947,160元減列藝師獎",
,,,,,,,,"    金 600,000元。",
,,,,,,,, (4)專業藝文人才團體扶植計畫,
,,,,,,,,"     14,559,480元，較上年度預",
,,,,,,,,"    算數 10,889,480元增列 3",
,,,,,,,,"    ,670,000元，包括新增場館服",
,,,,,,,,"    務系統提昇計畫 3,500,000元",
,,,,,,,,    ，增列演藝團體業務會計查核,
,,,,,,,,"    所需費用 170,000元，共增如",
,,,,,,,,    列數。,
,,,,,,,, (5)育藝深遠-藝術欣賞啟蒙方案,
,,,,,,,,"    6,080,000元，較上年度預算",
,,,,,,,,"    數 8,080,000元減列 2,000",
,,,,,,,,"    ,000元，包括新增辦理育藝深",
,,,,,,,,    遠計畫向上延伸至國中試辦方,
,,,,,,,,"    案 6,000,000元，減列偶戲初",
,,,,,,,,"    體驗課程 8,000,000元，計淨",
,,,,,,,,    減如列數。,
,,,,,,,, (6)影視產業之輔導與推動 164,
,,,,,,,,"    ,496,000元，較上年度預算數",
,,,,,,,,"     156,944,437元增列 7,551",
,,,,,,,,"    ,563元，包括新增補助財團法",
,,,,,,,,    人中華民國電影事業發展基金,
,,,,,,,,"    會辦理臺北金馬影展 15,000",
,,,,,,,,"    ,000元，減列秀山製片場水電",
,,,,,,,,    費、地價稅、第三責任意外險,
,,,,,,,,    、管理維護等費用、系統保全,
,,,,,,,,    服務費及臺灣新電影向世界發,
,,,,,,,,"    聲紀錄片推廣發行費 7,448",
,,,,,,,,"    ,437元，計淨增如列數。",
,,,,,,,, (7)辦理各項專業藝文活動推廣計,
,,,,,,,,"    畫 111,965,000元，較上年度",
,,,,,,,,"    預算數 110,470,000元增列辦",
,,,,,,,,    理財團法人台北市文化基金會,
,,,,,,,,    專業補助款之查核費用及臺北,
,,,,,,,,"    詩歌節 1,495,000元。",
,,,,,,,, (8)展演空間之相關營運費用 219,
,,,,,,,,"    ,227,294元，較上年度預算數",
,,,,,,,,"     100,501,957元增列 118,725",
,,,,,,,,"    ,337元，包括新增臺北音樂廳",
,,,,,,,,    及新美術館興建基地都市計畫,
,,,,,,,,    變更委託服務費、補助財團法,
,,,,,,,,    人台北市文化基金會辦理臺北,
,,,,,,,,    表演藝術中心運用管理、藝術,
,,,,,,,,"    推廣及開辦費 123,500,000元",
,,,,,,,,"    ，增列十字樓地價稅 30,937",
,,,,,,,,    元，減列臺北表演藝術中心節,
,,,,,,,,"    目製作費 4,805,600元，計淨",
,,,,,,,,    增如列數。,
,,,,,,,, (9)糖業文化展示館營運管理 3,
,,,,,,,,"    ,904,000元，較上年度預算數",
,,,,,,,,"     3,898,000元新增志工背心 6",
,,,,,,,,"    ,000元。",
,,,,,,,," (10)水源劇場營運管理 13,977",
,,,,,,,,"     ,460元，較上年度預算數無",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
15,   1, 4, 1,,,,,     增減。,
,,,,,,,, (11)臺北文學館籌設計畫 600,
,,,,,,,,"     ,000元，較上年度預算數無",
,,,,,,,,     增減。,
,,,,,,,, (12)市定古蹟紀州庵營運管理 3,
,,,,,,,,"     ,000,000元，較上年度預算",
,,,,,,,,"     數 2,625,600元增列辦理館",
,,,,,,,,     慶活動及特展、教育推廣活,
,,,,,,,,"     動 374,400元。",
,,,,　　220500,,,,,
,, 5,,　　社區文化之推動,"81,751,429","63,077,820","18,673,609",,
