臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,16000,,,,,
16,,,,消防局主管,"2,882,941,778","2,862,595,117","20,346,661",,
,,,,,,,,,
,,,,　16101,,,,,
,   1,,,　消防局,"2,882,941,778","2,862,595,117","20,346,661",,
,,,,,,,,,
,,,,　　130100,,,,,
,, 1,,　　一般行政,"310,448,327","315,887,735","-5,439,408",,
,,,,,,,,,
,,,,　　　130101,,,,,
,,, 1,　　　行政管理,"310,448,327","315,887,735","-5,439,408",1.本科目係由上年度「行政管理」,
,,,,,,,,  及「綜合企劃業務」科目合併改,
,,,,,,,,  設。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 128,085,266元，",
,,,,,,,,"    較上年度預算數 132,521,351",
,,,,,,,,"    元減列 4,436,085元，主要係",
,,,,,,,,    減列1人職工退休退職給付及,
,,,,,,,,    依實際需要覈實減列所致。,
,,,,,,,," (2)一般業務 25,540,185元，較",
,,,,,,,,"    上年度預算數 28,701,562元",
,,,,,,,,"    減列 3,161,377元，包括新增",
,,,,,,,,    參加「亞洲消防首長協會第29,
,,,,,,,,"    屆年會」 62,000元，減列統",
,,,,,,,,    籌業務費、員工上下班交通費,
,,,,,,,,"    及檔案修護等 3,223,377元，",
,,,,,,,,    計淨減如列數。,
,,,,,,,," (3)人事業務 9,680,105元，較上",
,,,,,,,,"    年度預算數 8,364,425元增列",
,,,,,,,,"     1,315,680元，包括增列文康",
,,,,,,,,"    活動費 1,323,680元，減列消",
,,,,,,,,    防榮譽獎章、獎狀、獎框等 8,
,,,,,,,,"    ,000元，計淨增如列數。",
,,,,,,,," (4)會計業務 235,375元，較上年",
,,,,,,,,    度預算數無增減。,
,,,,,,,," (5)政風業務 59,780元，較上年",
,,,,,,,,    度預算數無增減。,
,,,,,,,," (6)資訊管理業務 29,116,600元",
,,,,,,,,"    ，較上年度預算數 29,207",
,,,,,,,,"    ,600元減列 91,000元，包括",
,,,,,,,,    新增電子化救護紀錄表系統維,
,,,,,,,,"    護費 100,000元，增列災害搶",
,,,,,,,,    救現場指揮作業暨模擬訓練系,
,,,,,,,,    統(火災搶救部分)維護費 679,
,,,,,,,,"    ,000元，減列數據通信費及電",
,,,,,,,,"    腦訓練費 870,000元，計淨減",
,,,,,,,,    如列數。,
,,,,,,,," (7)財物管理業務 74,977,077元",
,,,,,,,,"    ，較上年度預算數 69,990",
,,,,,,,,"    ,084元增列 4,986,993元，包",
,,,,,,,,    括新增夏季常服、雨衣、雨鞋,
,,,,,,,,    及松江分隊新建大樓進駐所需,
,,,,,,,,"    用品等 5,006,064元，增列消",
,,,,,,,,    防工作服、寢具及辦公大樓清,
,,,,,,,,"    潔維持費等 5,913,659元，減",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
16,   1, 1, 1,,,,,    列冬季常服、數位相機及餐椅,
,,,,,,,,"    等 5,932,730，計淨增如列數",
,,,,,,,,    。,
,,,,,,,," (8)車輛維護業務 42,753,939元",
,,,,,,,,"    ，較上年度預算數 46,807",
,,,,,,,,"    ,558元減列 4,053,619元，包",
,,,,,,,,    括新增船艇拖車檢驗執照費 7,
,,,,,,,,"    ,200元，增列車輛牌照稅、燃",
,,,,,,,,    料使用費、檢驗執照費、保險,
,,,,,,,,"    費及養護費 1,068,316元，減",
,,,,,,,,"    列油料 5,129,135元，計淨減",
,,,,,,,,    如列數。,
,,,,　　130200,,,,,
,, 2,,　　消防業務,"2,225,153,308","2,194,100,182","31,053,126",,
,,,,,,,,,
,,,,　　　130201,,,,,
,,, 1,　　　災害防救業務,"119,952,202","116,092,287","3,859,915",1.本科目係由上年度「減災規劃業,
,,,,,,,,  務」、「整備應變業務」及「資,
,,,,,,,,  通作業業務」科目合併改設。,
,,,,,,,,2.本年度預算數之內容與上年度之,
,,,,,,,,  比較如下：,
,,,,,,,," (1)人員維持費 54,609,432元，",
,,,,,,,,"    較上年度預算數 54,529,456",
,,,,,,,,"    元增列 79,976元，主要係依",
,,,,,,,,    標準伸算所致。,
,,,,,,,," (2)減災規劃業務 16,179,115元",
,,,,,,,,"    ，較上年度預算數 15,963",
,,,,,,,,"    ,315元增列 215,800元，包括",
,,,,,,,,    新增辦理本市防災避難看板維,
,,,,,,,,"    護費 90,000元，增列委託辦",
,,,,,,,,    理災害防救深耕第2期計畫,
,,,,,,,,"     135,000元，減列辦理本市首",
,,,,,,,,    長災害防救研習班誤餐費及外,
,,,,,,,,"    聘講師鐘點費 9,200元，計淨",
,,,,,,,,    增如列數。,
,,,,,,,," (3)整備應變業務 23,882,814元",
,,,,,,,,"    ，較上年度預算數 20,841",
,,,,,,,,"    ,274元增列 3,041,540元，包",
,,,,,,,,    括新增本市災害防救兵棋推演,
,,,,,,,,    訓練及劇本提升計畫、本市重,
,,,,,,,,    大災害應變運作協調作業機制,
,,,,,,,,    之研究與更換防災公園滅火器,
,,,,,,,,"    藥劑 3,606,720元，減列災害",
,,,,,,,,    防救演習費用、里長防救災講,
,,,,,,,,    習費用及本局防災應變作業手,
,,,,,,,,"    冊(修正版)印刷費等 565,180",
,,,,,,,,    元，計淨增如列數。,
,,,,,,,," (4)資通作業業務 25,280,841元",
,,,,,,,,"    ，較上年度預算數 24,758",
,,,,,,,,"    ,242元增列 522,599元，包括",
,,,,,,,,    新增辦理相關災防研討會之專,
,,,,,,,,"    家演講鐘點費 40,000元，增",
,,,,,,,,    列直升機停機坪設施維護含無,
,,,,,,,,    線電鐵塔維護費、軟體維護費,
,,,,,,,,    及本市災害防救專家諮詢委員,
,,,,,,,,"    會委員兼職費等 657,500元，",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
16,   1, 2, 1,,,,,    減列本市第二災害應變中心電,
,,,,,,,,    腦及周邊設備維護費、本市災,
,,,,,,,,    害應變中心會議設備維護費及,
,,,,,,,,    外聘專家學者出席專案會議出,
,,,,,,,,"    席費等 174,901元，計淨增如",
,,,,,,,,    列數。,
,,,,　　　130202,,,,,
,,, 2,　　　消防工作,"515,976,490","491,012,400","24,964,090",1.本科目係由上年度「火災預防業,
,,,,,,,,  務」、「災害搶救業務」、「火,
,,,,,,,,  災調查業務」、「緊急救護業務,
,,,,,,,,  」、「督察業務」、「教育訓練,
,,,,,,,,  業務」及「救災救護指揮業務」,
,,,,,,,,  科目合併改設。,
,,,,,,,,2.本年度預算數之內容與上年度預,
,,,,,,,,  算數之比較如下：,
,,,,,,,," (1)人員維持費 103,846,003元，",
,,,,,,,,"    較上年度預算數 103,706,816",
,,,,,,,,"    元增列 139,187元，主要係依",
,,,,,,,,    標準伸算所致。,
,,,,,,,," (2)火災預防業務 4,424,395元，",
,,,,,,,,"    較上年度預算數 4,844,335元",
,,,,,,,,"    減列 419,940元，包括增列辦",
,,,,,,,,    理行政文件通知、違反消防案,
,,,,,,,,    件及強制執行處分郵寄送達郵,
,,,,,,,,"    資 47,600元，減列工作安全",
,,,,,,,,    鞋、防火管理等相關表件印刷,
,,,,,,,,    費及本府維護公共安全會報等,
,,,,,,,,"    專家學者出席費 467,540元，",
,,,,,,,,    計淨減如列數。,
,,,,,,,," (3)災害搶救業務 297,576,278元",
,,,,,,,,"    ，較上年度預算數 286,979",
,,,,,,,,"    ,696元增列 10,596,582元，",
,,,,,,,,    包括新增空氣呼吸器面罩檢驗,
,,,,,,,,    維護費用、消防鞋及前進指揮,
,,,,,,,,"    所器材相關費用等 11,096",
,,,,,,,,"    ,770元，增列救生救災用防寒",
,,,,,,,,    衣、消防衣清洗費及氣體探測,
,,,,,,,,"    器校正費用等 1,923,382元，",
,,,,,,,,    減列火災搶救用頭套、救助服,
,,,,,,,,"    及山難救援頭盔等 2,423,570",
,,,,,,,,    元，計淨增如列數。,
,,,,,,,," (4)火災調查業務 1,393,260元，",
,,,,,,,,"    較上年度預算數 1,414,200元",
,,,,,,,,"    減列 20,940元，包括新增火",
,,,,,,,,"    場勘查鞋 39,000元，增列調",
,,,,,,,,    查與鑑識儀器設備、器材維護,
,,,,,,,,    、校正費以及現場調查用之耗,
,,,,,,,,    材、工具及實驗室鑑定用材料,
,,,,,,,,"    等 136,060元，減列火災現場",
,,,,,,,,    鑑識外套、全國認證基金會申,
,,,,,,,,    請展延及增項評鑑費用與火災,
,,,,,,,,    受災戶災後須知印刷費 196,
,,,,,,,,"    ,000元，計淨減如列數。",
,,,,,,,," (5)緊急救護業務 28,163,410元",
,,,,,,,,"    ，較上年度預算數 23,699",
,,,,,,,,"    ,860元增列 4,463,550元，包",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
16,   1, 2, 2,,,,,    括新增高級救護技術員訓練外,
,,,,,,,,    聘教官鐘點費等相關經費、救,
,,,,,,,,    護防護衣組及行動醫療站相關,
,,,,,,,,"    費用等 6,330,950元，增列救",
,,,,,,,,    護績效優良獎勵金、救護器材,
,,,,,,,,    養護費與醫療顧問委員會等委,
,,,,,,,,"    員出席費 1,220,000元，減列",
,,,,,,,,    救護專用鞋、救護夾克及獨居,
,,,,,,,,"    長者求救系統維護費等 3,087",
,,,,,,,,"    ,400元，計淨增如列數。",
,,,,,,,," (6)督察業務 2,429,900元，較上",
,,,,,,,,"    年度預算數 2,729,900元減列",
,,,,,,,,"    員工因公傷亡慰問金 300,000",
,,,,,,,,    元。,
,,,,,,,," (7)教育訓練業務 7,203,840元，",
,,,,,,,,"    較上年度預算數 7,078,240元",
,,,,,,,,"    增列 125,600元，包括增列空",
,,,,,,,,    氣呼吸器訓練場維護保養及維,
,,,,,,,,    修、H型燃燒櫃破洞補強及保,
,,,,,,,,    養維護與救生訓練等參加人員,
,,,,,,,,"    誤餐費 1,053,000元，減列職",
,,,,,,,,    前訓練等外聘助教及內聘教官,
,,,,,,,,    講授鐘點費、救生訓練等場地,
,,,,,,,,    及船舶租用費與職前訓練、常,
,,,,,,,,    年訓練破壞用鐵門、鐵窗、鐵,
,,,,,,,,    條等材料及體能訓練用器材組,
,,,,,,,,"    等 927,400元，計淨增如列數",
,,,,,,,,    。,
,,,,,,,," (8)救災救護指揮業務 34,178",
,,,,,,,,"    ,900元，較上年度預算數 33",
,,,,,,,,"    ,222,400元增列本局無線電執",
,,,,,,,,    照審驗費及架設許可費與本局,
,,,,,,,,"    交換機維護費 956,500元。",
,,,,,,,," (9)補助義勇消防總隊 36,760",
,,,,,,,,"    ,504元，較上年度預算數 27",
,,,,,,,,"    ,336,953元增列 9,423,551元",
,,,,,,,,    ，包括新增義消人員健康檢查,
,,,,,,,,    補助費、皮鞋及消防工作服等,
,,,,,,,,"     7,676,600元，增列冬季常服",
,,,,,,,,    、分隊值勤誤餐費及義消人員,
,,,,,,,,"    團體保險費等 7,158,492元，",
,,,,,,,,    減列救災工作鞋、消防車駕駛,
,,,,,,,,"    薪津及屆退慰藉金等 5,411",
,,,,,,,,"    ,541元，計淨增如列數。",
,,,,　　　130203,,,,,
,,, 3,　　　大隊救災救護業務,"1,589,224,616","1,586,995,495","2,229,121",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 1,588,155,743元，",
,,,,,,,,"  較上年度預算數 1,585,926,622",
,,,,,,,,"  元增列 2,229,121元，主要係依",
,,,,,,,,  標準伸算所致。,
,,,,,,,,"2.第一大隊救災救護業務 278,696",
,,,,,,,,  元，較上年度預算數無增減。,
,,,,,,,,"3.第二大隊救災救護業務 243,154",
,,,,,,,,  元，較上年度預算數無增減。,
,,,,,,,,"4.第三大隊救災救護業務 253,947",
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
16,   1, 2, 3,,,,,  元，較上年度預算數無增減。,
,,,,,,,,"5.第四大隊救災救護業務 293,076",
,,,,,,,,  元，較上年度預算數無增減。,
,,,,　　133900,,,,,
,, 3,,　　接受補助業務支出,"4,064,000","3,104,000","960,000",,
,,,,,,,,,
,,,,　　　133902,,,,,
,,, 1,　　　接受中央各部會補助,"4,064,000","3,104,000","960,000",本年度預算數之內容與上年度之比,
,,,,　　　業務支出,,,,較如下：,
,,,,,,,,1.新增內政部消防署補助購置「精,
