臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
,,,,17000,,,,,
17,,,,臺北翡翠水庫管理局主管,"317,225,364","419,357,977","-102,132,613",,
,,,,,,,,,
,,,,　17101,,,,,
,   1,,,　臺北翡翠水庫管理局,"317,225,364","419,357,977","-102,132,613",,
,,,,,,,,,
,,,,　　320100,,,,,
,, 1,,　　一般行政,"66,541,005","65,919,234","621,771",,
,,,,,,,,,
,,,,　　　320101,,,,,
,,, 1,　　　行政管理,"66,541,005","65,919,234","621,771",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 45,302,027元，較",
,,,,,,,,"  上年度預算數 45,922,596元減",
,,,,,,,,"  列 620,569元，主要係減列4人",
,,,,,,,,  職工預算員額、增列2人職工退,
,,,,,,,,  休退職給付及依實際需要覈實減,
,,,,,,,,  列等增減互抵所致。,
,,,,,,,,"2.一般業務 20,046,378元，較上",
,,,,,,,,"  年度預算數 18,805,038元增列",
,,,,,,,,"  1,241,340元，包括新增環境教",
,,,,,,,,  育教案及課程設計編撰、水電設,
,,,,,,,,  施維護費、園藝及環境綠美化維,
,,,,,,,,"  護費等 3,080,000元，增列文康",
,,,,,,,,  活動費、車輛及辦公器具養護費,
,,,,,,,,"  、剷裝車養護費等 147,847元，",
,,,,,,,,  減列員工上下班交通費、統籌業,
,,,,,,,,  務費、水電費、稅捐及規費、保,
,,,,,,,,  險費、油料、物品及材料、電腦,
,,,,,,,,"  耗材、國內旅費等 1,986,507元",
,,,,,,,,  ，計淨增如列數。,
,,,,,,,,"3.會計業務 128,565元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"4.人事業務 316,952元，較上年度",
,,,,,,,,"  預算數 315,952元增列值班費 1",
,,,,,,,,"  ,000元。",
,,,,,,,,"5.政風業務 56,437元，較上年度",
,,,,,,,,  預算數無增減。,
,,,,,,,,"6.水資源教育業務 690,646元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,　　320200,,,,,
,, 2,,　　水庫管理,"171,111,509","177,180,284","-6,068,775",,
,,,,,,,,,
,,,,　　　320201,,,,,
,,, 1,　　　水庫管理,"171,111,509","177,180,284","-6,068,775",本年度預算數之內容與上年度之比,
,,,,,,,,較如下：,
,,,,,,,,"1.人員維持費 79,066,027元，較",
,,,,,,,,"  上年度預算數 83,273,652元減",
,,,,,,,,"  列 4,207,625元，主要係減列1",
,,,,,,,,  人職工退休退職給付、2人駐衛,
,,,,,,,,  警退休退職給付及依實際需要覈,
,,,,,,,,  實減列所致。,
,,,,,,,,"2.安全檢查業務 5,779,687元，較",
,,,,,,,,"  上年度預算數 2,981,737元增列",
,,,,,,,,"   2,797,950元，包括新增翡翠大",
,,,,,,,,  壩安全風險鑑別與控管之研究、,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
17,   1, 2, 1,,,,,  大壩混凝土長齡期鑽孔取樣試驗,
,,,,,,,,"  等 2,710,000元，增列大壩主體",
,,,,,,,,  結構、副壩落水池、靜水池、兩,
,,,,,,,,  岸壩座邊坡、觀測步道、排洪設,
,,,,,,,,  施等養護費、大壩安全監測資訊,
,,,,,,,,"  系統維護費等 89,250元，減列",
,,,,,,,,"  國內旅費等 1,300元，計淨增如",
,,,,,,,,  列數。,
,,,,,,,,"3.水庫操作業務 16,076,466元，",
,,,,,,,,"  較上年度預算數 19,883,566元",
,,,,,,,,"  減列 3,807,100元，包括新增翡",
,,,,,,,,  翠水庫防洪運轉預降水位研究、,
,,,,,,,,  翡翠水庫水生動物與水質關係監,
,,,,,,,,  測、電腦弱點掃描與改善等 2,
,,,,,,,,"  ,000,000元，增列通訊費、翡翠",
,,,,,,,,  水庫操作系統軟體維護費等 60,
,,,,,,,,"  ,900元，減列無線電機執照費、",
,,,,,,,,  翡翠水庫集水區域環境輻射長期,
,,,,,,,,  監測、翡翠水庫下游河道變遷與,
,,,,,,,,  防洪能力檢討、翡翠水庫底泥採,
,,,,,,,,  樣檢驗費、水質檢驗室改善與擴,
,,,,,,,,  充、洩洪警報系統設施養護費、,
,,,,,,,,"  國內旅費等 5,868,000元，計淨",
,,,,,,,,  減如列數。,
,,,,,,,,"4.經營管理業務 10,509,577元，",
,,,,,,,,"  較上年度預算數 11,151,577元",
,,,,,,,,"  減列 642,000元，包括新增航管",
,,,,,,,,  站工作人員冬季工作服、駐衛警,
,,,,,,,,  指揮棒、冬季大衣、冬服及服裝,
,,,,,,,,"  配備等 139,660元，增列值班費",
,,,,,,,,  、通訊費、無線電機執照費、鏟,
,,,,,,,,  裝機輪胎、水庫區育林補植、施,
,,,,,,,,"  肥撫育及維護等 210,740元，減",
,,,,,,,,  列建構「健康水庫」與因應水環,
,,,,,,,,  境變遷研究計畫、翡翠水庫生態,
,,,,,,,,  監測及調查、園藝工及督導人員,
,,,,,,,,  冬服及服裝配備、航管站工作人,
,,,,,,,,  員夏季工作服、國內旅費、考察,
,,,,,,,,  澳洲集水區水源永續管理策略與,
,,,,,,,,"  水資源調配出國旅費等 992,400",
,,,,,,,,  元，計淨減如列數。,
,,,,,,,,"5.水力發電 58,246,611元，較上",
,,,,,,,,"  年度預算數 58,456,611元減列",
,,,,,,,,"  210,000元，包括增列電廠設備",
,,,,,,,,"  火災保險費等 2,000元，減列水",
,,,,,,,,"  源保育與回饋費等 212,000元，",
,,,,,,,,  計淨減如列數。,
,,,,,,,,"6.發電售水作業 1,433,141元，較",
,,,,,,,,  上年度預算數無增減。,
,,,,　　327100,,,,,
,, 3,,　　建築及設備,"78,971,850","120,909,459","-41,937,609",,
,,,,,,,,,
,,,,　　　327102,,,,,
,,, 1,　　　營建工程,"38,860,000","74,178,599","-35,318,599",本年度預算編列內容如下：,
,,,,,,,,1.集水區佔墾地收回復舊，本項係,
,,,,,,,,  104-106年度連續性計畫，總經,
臺北市地方總預算案,,,,,,,,,
　　　　　　　　　,,,,,,,,,
歲出機關別預算表,,,,,,,,,
                      ,,,,,,,,,
中華民國105年度,,,,,,,,,
科　　目,,,,,本年度預算數,上年度預算數,比較,說明,
款,項,目,節,名稱及編號,,,,,
17,   1, 3, 1,,,,,"  費 2,040,000元，除至上年度已",
,,,,,,,,"  編列 1,320,000元外，本年度續",
,,,,,,,,"  編第2年經費 360,000元。",
,,,,,,,,"2.水土保持工程 19,000,000元。",
,,,,,,,,"3.新增橋樑隧道補強 7,500,000元",
,,,,,,,,  及壩區防雷接地網系統建置工程,
,,,,,,,,"   12,000,000元。",
,,,,　　　327103,,,,,
,,, 2,　　　交通及運輸設備,"1,095,000","4,550,000","-3,455,000",本年度預算編列內容如下：,
,,,,,,,,1.汰換客貨兩用車8人座1輛 545,
,,,,,,,,"  ,000元。",
,,,,,,,,2.汰換客貨兩用車5人座1輛 550,
,,,,,,,,"  ,000元。",
,,,,　　　327104,,,,,
,,, 3,　　　其他設備,"39,016,850","42,180,860","-3,164,010",本年度預算編列內容如下：,
,,,,,,,,"1.機械設備費 29,431,650元，包",
,,,,,,,,  括大壩安全自動監測系統即時同,
,,,,,,,,  步監測擴充建置、翡翠大壩#1~#,
,,,,,,,,  8弧型閘門開關箱汰換、滲水量,
,,,,,,,,  測定堰及電子溫度量測系統汰換,
,,,,,,,,  、翡翠#620 GCB斷路器汰換、GI,
,,,,,,,,  S空壓機本體汰換、溫度記錄器,
,,,,,,,,  購置、攔木浮柵船閘及平衡座改,
,,,,,,,,  善、無線電洩洪警報暨放水廣播,
,,,,,,,,  系統改善、汰換水質自動監測系,
,,,,,,,,  統泥沙濃度計、流速儀汰換及公,
,,,,,,,,  務碼頭組合浮台等。,
,,,,,,,,"2.資訊軟硬體設備費 701,700元，",
,,,,,,,,  包括汰換個人電腦14部、電腦周,
,,,,,,,,  邊設備及零組件、套裝軟體及伺,
,,,,,,,,  服器等。,
,,,,,,,,"3.雜項設備費 8,883,500元，包括",
,,,,,,,,  環境教育設施場所相關設施改善,
,,,,,,,,  、一對二分離式冷氣機 10KW、,
,,,,,,,,  汰換水資源生態教育館影音設備,
,,,,,,,,  、備勤區房舍內飲水機、會議室,
,,,,,,,,  影音設備、辦公傢俱設備及空調,
,,,,,,,,  設備等。,
,,,,　　327900,,,,,
,, 4,,　　臺北水源特定區設施,"1,000","54,749,000","-54,748,000",,
,,,,,,,,,
,,,,　　　327901,,,,,
,,, 1,　　　臺北水源特定區設施,"1,000","54,749,000","-54,748,000",臺北水源特定區污水下水道未納戶,
,,,,,,,,污水處理工程，本工程係104-106,
,,,,,,,,"年度連續性計畫，總經費 88,000",
,,,,,,,,",000元，除至上年度已編列 54",
,,,,,,,,",749,000元外，本年度續編第2年",
,,,,,,,,"經費 1,000元。",
,,,,　　324100,,,,,
,, 5,,　　第一預備金,"600,000","600,000",0,,
,,,,,,,,,
,,,,　　　324101,,,,,
,,, 1,　　　第一預備金,"600,000","600,000",0,編列第一預備金如列數，依法覈實,
,,,,,,,,動支。,
,,,,,,,,,
,,,,,,,,,
